model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,sst5,conll_en,scala_en,squad,cnn_dailymail,mmlu,hellaswag,sst5_version,conll_en_version,scala_en_version,squad_version,cnn_dailymail_version,mmlu_version,hellaswag_version
<a href='https://huggingface.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B (few-shot)</a>,🧠,1.60@@1.60,70553706496.0,128256.0,131072.0,✓,✗,68.54 ± 0.63 / 70.58 ± 1.25@@68.54461605951175,81.92 ± 1.50 / 79.48 ± 1.04@@81.9203018876775,53.40 ± 1.69 / 75.50 ± 1.39@@53.401276710737314,87.68 ± 0.86 / 76.44 ± 1.35@@87.68262976466421,68.78 ± 0.54 / 21.89 ± 1.28@@68.77760484843748,69.31 ± 0.92 / 76.81 ± 0.71@@69.30702513774133,65.42 ± 2.94 / 72.60 ± 2.56@@65.42488848217418,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702
<a href='https://huggingface.co/mistralai/Mistral-Small-24B-Instruct-2501'>mistralai/Mistral-Small-24B-Instruct-2501 (few-shot)</a>,📝,1.61@@1.61,23572403200.0,131072.0,32768.0,✓,✗,67.88 ± 0.86 / 72.29 ± 0.70@@67.87885554869975,77.61 ± 1.06 / 73.11 ± 1.11@@77.61000116401361,44.61 ± 1.43 / 66.48 ± 1.35@@44.60994780883443,85.89 ± 0.59 / 70.36 ± 1.45@@85.89462899934973,68.65 ± 0.07 / 22.01 ± 0.21@@68.64809178339783,69.23 ± 0.87 / 76.84 ± 0.66@@69.22505827642954,88.02 ± 0.64 / 91.01 ± 0.47@@88.02057859677845,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B (few-shot)</a>,🤔,1.61@@1.61,32762123264.0,151936.0,40960.0,✓,✗,67.34 ± 0.78 / 69.62 ± 0.38@@67.33694958104921,80.98 ± 0.70 / 75.70 ± 0.63@@80.98012267072585,47.68 ± 1.20 / 69.56 ± 0.71@@47.676484433065355,75.91 ± 15.61 / 65.08 ± 14.20@@75.90614539885632,67.38 ± 0.07 / 18.44 ± 0.22@@67.37768308332306,82.51 ± 0.75 / 86.90 ± 0.56@@82.50794146067666,78.74 ± 0.99 / 83.99 ± 0.75@@78.73604813541701,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
"<a href='https://platform.openai.com/docs/models/o3-mini'>o3-mini-2025-01-31 (few-shot, val)</a>",🤔,1.62@@1.62,,,200000.0,✓,✗,68.54 ± 2.37 / 72.74 ± 1.83@@68.53680692044085,84.79 ± 1.46 / 78.06 ± 1.69@@84.78799698550985,46.56 ± 5.58 / 71.55 ± 2.95@@46.56150098903418,78.61 ± 0.93 / 57.65 ± 1.05@@78.61312509084816,67.77 ± 0.13 / 19.72 ± 0.27@@67.76807302376255,82.20 ± 3.73 / 86.72 ± 2.75@@82.20297310036578,67.95 ± 2.77 / 75.78 ± 2.09@@67.95033171938441,15.0.0.dev0@@150000,15.0.0.dev0@@150000,15.0.0.dev0@@150000,15.0.0.dev0@@150000,15.0.0.dev0@@150000,15.0.0.dev0@@150000,15.0.0.dev0@@150000
"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (few-shot, val)</a>",📝,1.62@@1.62,,200019.0,8191.0,✓,✗,66.75 ± 2.50 / 73.93 ± 1.51@@66.75380011817357,77.38 ± 1.61 / 66.97 ± 2.42@@77.37874870084714,52.43 ± 3.69 / 74.46 ± 2.17@@52.42545924547228,84.07 ± 0.95 / 63.27 ± 1.61@@84.067196985125,68.73 ± 0.21 / 20.97 ± 0.36@@68.72755287215114,66.63 ± 2.82 / 74.92 ± 2.08@@66.62828290760284,79.95 ± 1.44 / 84.69 ± 1.09@@79.94748523459567,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000,15.1.0.dev0@@150100,14.0.1@@140001,14.0.1@@140001,14.0.1@@140001
<a href='https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503 (few-shot)</a>,🧠,1.62@@1.62,24011361280.0,131072.0,,✓,✗,66.35 ± 1.51 / 72.08 ± 1.00@@66.3547443456037,77.68 ± 1.53 / 74.59 ± 1.12@@77.67982819701021,48.15 ± 2.71 / 73.48 ± 1.38@@48.147804769270955,86.44 ± 1.26 / 72.47 ± 2.52@@86.43527432813815,70.08 ± 0.47 / 23.13 ± 0.70@@70.08269126410596,73.05 ± 0.60 / 79.80 ± 0.43@@73.04726280551368,71.62 ± 1.77 / 78.29 ± 1.43@@71.61924382019016,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901
"<a href='https://docs.x.ai/docs/models'>xai/grok-3-beta (zero-shot, val)</a>",📝,1.63@@1.63,,,131072.0,✓,✗,68.35 ± 2.39 / 71.76 ± 1.80@@68.3475194440718,78.27 ± 1.87 / 65.36 ± 1.93@@78.27074883377941,43.32 ± 3.87 / 71.19 ± 1.98@@43.322147338400256,79.20 ± 0.83 / 53.58 ± 1.43@@79.20470987720721,67.98 ± 0.20 / 18.62 ± 0.27@@67.97521643340588,80.57 ± 2.35 / 85.43 ± 1.73@@80.56529036730211,82.06 ± 1.90 / 86.17 ± 1.52@@82.05831931985493,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://docs.x.ai/docs/models'>xai/grok-2-1212 (zero-shot, val)</a>",📝,1.66@@1.66,,,131072.0,✓,✗,66.50 ± 2.13 / 72.16 ± 1.68@@66.49961859263247,72.27 ± 1.65 / 61.60 ± 1.72@@72.27050525736288,46.73 ± 2.52 / 68.21 ± 1.41@@46.73124692239735,80.24 ± 0.72 / 58.56 ± 1.34@@80.23930818758231,68.00 ± 0.15 / 18.55 ± 0.30@@67.99774329643697,79.98 ± 1.50 / 85.04 ± 1.11@@79.97857775234327,83.52 ± 0.92 / 87.15 ± 0.74@@83.52156526882884,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (few-shot)</a>,📝,1.67@@1.67,27432406640.0,262144.0,,✓,✗,69.29 ± 1.07 / 73.08 ± 0.55@@69.28844813608839,73.17 ± 1.28 / 69.65 ± 0.94@@73.17469706140665,50.74 ± 1.95 / 74.16 ± 1.33@@50.74071351968541,81.88 ± 0.88 / 62.66 ± 1.67@@81.87794347711767,67.63 ± 0.09 / 20.21 ± 0.21@@67.63267845730297,69.84 ± 0.74 / 77.32 ± 0.55@@69.84232587142058,76.40 ± 0.81 / 82.10 ± 0.63@@76.39777616512686,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901
"<a href='https://ollama.com/library/phi4:14b-q4_K_M'>ollama_chat/phi4:14b-q4_K_M (few-shot, val)</a>",📝,1.67@@1.67,14700000000.0,100352.0,16384.0,✓,✗,68.02 ± 2.62 / 75.16 ± 1.57@@68.02344076320276,73.94 ± 1.51 / 69.36 ± 1.87@@73.9428637887155,47.85 ± 5.56 / 72.92 ± 3.15@@47.85378144816945,81.94 ± 1.12 / 60.80 ± 2.18@@81.93520863494825,68.02 ± 0.21 / 18.56 ± 0.42@@68.01955995382741,70.53 ± 3.15 / 77.85 ± 2.38@@70.52839034681891,79.28 ± 1.68 / 84.02 ± 1.40@@79.27796186286724,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300
"<a href='https://docs.x.ai/docs/models'>xai/grok-3-mini-beta@high (zero-shot, val)</a>",🤔,1.67@@1.67,,,131072.0,✓,✗,66.08 ± 2.47 / 68.37 ± 2.39@@66.0820818787099,71.34 ± 1.16 / 52.94 ± 0.88@@71.34440637868735,46.56 ± 5.12 / 70.83 ± 2.74@@46.559848280312785,82.99 ± 1.06 / 65.72 ± 1.71@@82.99125294292706,67.39 ± 0.15 / 17.65 ± 0.23@@67.3922403738834,85.78 ± 1.69 / 89.34 ± 1.22@@85.78015689885574,74.41 ± 2.12 / 80.62 ± 1.64@@74.4117159850473,15.7.0.dev0@@150700,15.7.1.dev0@@150701,15.7.0.dev0@@150700,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-preview-04-17'>gemini/gemini-2.5-flash-preview-04-17 (zero-shot, val)</a>",🤔,1.68@@1.68,,256128.0,1048576.0,✓,✗,65.78 ± 2.42 / 66.68 ± 2.08@@65.77638342896121,76.86 ± 1.69 / 65.35 ± 2.25@@76.85810571219143,44.24 ± 3.79 / 70.57 ± 2.01@@44.24101835137345,79.80 ± 1.01 / 60.91 ± 1.66@@79.7959287901896,67.94 ± 0.21 / 19.29 ± 0.24@@67.94431721791625,77.61 ± 2.27 / 82.81 ± 1.78@@77.60930055895511,76.51 ± 2.18 / 81.76 ± 1.69@@76.51012162636019,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro-002'>gemini/gemini-1.5-pro-002 (zero-shot, val)</a>",📝,1.69@@1.69,,256128.0,2097152.0,✓,✗,65.53 ± 1.20 / 69.66 ± 1.05@@65.5268852676819,76.06 ± 1.51 / 61.32 ± 1.44@@76.05942924245232,45.42 ± 3.35 / 71.48 ± 1.88@@45.41903726394942,81.58 ± 0.72 / 60.17 ± 1.35@@81.58486562317827,67.78 ± 0.14 / 20.13 ± 0.23@@67.78000969439745,76.40 ± 2.42 / 82.34 ± 1.77@@76.39894923746226,78.62 ± 0.70 / 83.40 ± 0.60@@78.61641104411451,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/allenai/OLMo-2-0325-32B'>allenai/OLMo-2-0325-32B (few-shot)</a>,🧠,1.69@@1.69,32234279936.0,100352.0,4096.0,✓,✗,68.79 ± 0.46 / 59.60 ± 0.51@@68.79466801016375,60.82 ± 2.95 / 55.09 ± 1.69@@60.818332732528035,57.02 ± 2.07 / 78.23 ± 1.04@@57.02149890826177,90.77 ± 0.38 / 80.29 ± 0.67@@90.76905466967358,71.94 ± 0.08 / 31.65 ± 0.19@@71.93531657860149,63.40 ± 1.06 / 72.52 ± 0.79@@63.40294239997143,61.22 ± 1.51 / 70.22 ± 1.18@@61.22287203072558,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B (few-shot)</a>,🤔,1.70@@1.70,14768307200.0,151936.0,40960.0,✓,✗,67.84 ± 0.84 / 71.59 ± 0.62@@67.84127183331503,66.01 ± 4.73 / 58.63 ± 4.08@@66.01106725732268,47.06 ± 1.06 / 68.56 ± 0.74@@47.06072728343864,85.46 ± 0.51 / 70.91 ± 1.00@@85.45976195569517,67.75 ± 0.07 / 19.65 ± 0.22@@67.75229005186702,80.41 ± 0.61 / 85.33 ± 0.45@@80.40747944875172,73.23 ± 0.99 / 79.77 ± 0.75@@73.23448219797574,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
"<a href='https://ollama.com/library/gemma3:27b-it-q4_K_M'>ollama_chat/gemma3:27b-it-q4_K_M (few-shot, val)</a>",📝,1.70@@1.70,27400000000.0,262144.0,128000.0,✓,✗,67.60 ± 2.28 / 73.28 ± 1.91@@67.60372562683077,80.92 ± 1.32 / 78.80 ± 1.81@@80.9168953812127,45.72 ± 5.64 / 72.21 ± 2.88@@45.72476962210993,80.29 ± 1.49 / 60.44 ± 1.87@@80.29153212788773,67.51 ± 0.21 / 20.43 ± 0.47@@67.50849516829476,67.27 ± 1.78 / 75.47 ± 1.31@@67.27113428335575,76.86 ± 3.07 / 82.15 ± 2.48@@76.85914700810567,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300
<a href='https://huggingface.co/google/gemma-3-12b-it'>google/gemma-3-12b-it (few-shot)</a>,📝,1.72@@1.72,12187325040.0,262144.0,,✓,✗,66.58 ± 1.02 / 71.88 ± 0.68@@66.5812978744302,76.96 ± 1.12 / 68.31 ± 1.06@@76.9641881313009,47.40 ± 1.73 / 71.76 ± 1.56@@47.400287389386406,81.15 ± 0.87 / 61.49 ± 1.39@@81.14527250730615,67.91 ± 0.08 / 20.89 ± 0.17@@67.90600645617815,63.28 ± 0.96 / 72.37 ± 0.74@@63.2755173756657,74.74 ± 1.81 / 80.91 ± 1.45@@74.73960554517281,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,1.72@@1.72,,,1047576.0,✓,✗,63.22 ± 2.03 / 71.80 ± 1.48@@63.22134437638902,74.08 ± 1.95 / 55.83 ± 2.02@@74.0790638292862,46.41 ± 4.88 / 70.57 ± 2.52@@46.41452267581017,82.68 ± 0.63 / 61.40 ± 1.16@@82.67667455759164,68.19 ± 0.14 / 19.90 ± 0.22@@68.19395210361108,75.25 ± 1.67 / 81.52 ± 1.23@@75.253204926861,73.57 ± 2.64 / 79.57 ± 2.09@@73.56541406830037,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0 (few-shot)</a>,🧠,1.73@@1.73,10731524096.0,32000.0,4096.0,✓,✗,69.91 ± 0.49 / 60.08 ± 0.34@@69.90768955237925,69.51 ± 1.54 / 63.18 ± 1.23@@69.51374773105651,41.87 ± 1.86 / 70.39 ± 0.89@@41.8679679983829,89.20 ± 0.38 / 76.76 ± 0.81@@89.19610909789125,71.13 ± 0.06 / 29.90 ± 0.18@@71.1298444030399,48.34 ± 1.63 / 60.51 ± 1.47@@48.33970377541743,88.35 ± 0.75 / 91.22 ± 0.57@@88.34542242668368,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-001'>gemini/gemini-2.0-flash-001 (zero-shot, val)</a>",📝,1.73@@1.73,,256128.0,1048576.0,✓,✗,63.57 ± 2.14 / 67.86 ± 1.59@@63.56845626545952,74.72 ± 1.73 / 70.35 ± 1.65@@74.7210939320181,40.88 ± 4.13 / 69.87 ± 2.03@@40.881063493233086,78.75 ± 0.68 / 53.72 ± 1.51@@78.74759711813178,68.29 ± 0.16 / 20.92 ± 0.32@@68.29325513914227,80.38 ± 1.83 / 85.35 ± 1.34@@80.38235291432164,74.81 ± 1.73 / 80.62 ± 1.44@@74.81492988790633,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://platform.openai.com/docs/models/o3-mini'>o3-mini-2025-01-31 (zero-shot, val)</a>",🤔,1.73@@1.73,,,200000.0,✓,✗,66.77 ± 1.71 / 72.19 ± 1.41@@66.76690731945226,79.95 ± 1.78 / 71.50 ± 1.96@@79.9504012541283,40.45 ± 4.41 / 69.92 ± 2.30@@40.45468079247702,77.74 ± 1.15 / 57.97 ± 1.61@@77.74168644382179,67.58 ± 0.16 / 19.15 ± 0.22@@67.58025024319068,83.88 ± 1.83 / 87.93 ± 1.37@@83.87799047216842,63.79 ± 1.82 / 72.73 ± 1.31@@63.79462416834668,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.7.1.dev0@@150701,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B (few-shot)</a>,📝,1.74@@1.74,8030261248.0,128256.0,131072.0,✓,✗,68.03 ± 0.80 / 72.39 ± 0.50@@68.03201773482051,71.35 ± 1.63 / 60.91 ± 1.76@@71.34949473337353,44.69 ± 1.66 / 71.62 ± 0.81@@44.69187054683496,83.90 ± 0.47 / 67.68 ± 0.91@@83.9021753524711,68.64 ± 0.07 / 21.75 ± 0.25@@68.63666486548027,65.30 ± 0.81 / 73.88 ± 0.60@@65.30061259732474,79.17 ± 0.73 / 84.31 ± 0.55@@79.16693200552297,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt (few-shot)</a>,🧠,1.75@@1.75,27432406640.0,262144.0,,✓,✗,69.45 ± 0.86 / 67.43 ± 2.26@@69.45168915008182,61.80 ± 3.59 / 59.47 ± 2.58@@61.80312159133834,47.33 ± 2.36 / 72.84 ± 1.27@@47.33435976664791,85.89 ± 1.15 / 71.28 ± 2.39@@85.887686970121,70.21 ± 0.60 / 23.85 ± 0.86@@70.2087480816408,70.32 ± 0.65 / 77.76 ± 0.48@@70.31745059829039,65.20 ± 5.80 / 72.40 ± 5.31@@65.20016293792533,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (zero-shot, val)</a>",📝,1.76@@1.76,,200019.0,8191.0,✓,✗,61.65 ± 2.17 / 71.46 ± 1.72@@61.649008802597024,75.80 ± 0.83 / 52.95 ± 1.04@@75.80220903663049,47.74 ± 4.29 / 73.28 ± 2.23@@47.73600728993793,79.90 ± 0.76 / 56.98 ± 1.46@@79.9035222237648,68.60 ± 0.16 / 20.57 ± 0.28@@68.5960940644145,63.18 ± 2.47 / 72.23 ± 1.82@@63.182359253640975,77.31 ± 1.71 / 82.54 ± 1.37@@77.31481786726864,14.0.1@@140001,14.0.1@@140001,14.0.1@@140001,14.0.1@@140001,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (zero-shot, val)</a>",📝,1.76@@1.76,,256128.0,1048576.0,✓,✗,64.90 ± 1.94 / 70.68 ± 1.72@@64.90174672848677,76.45 ± 1.93 / 62.87 ± 2.04@@76.44661602874973,39.87 ± 3.95 / 68.29 ± 1.98@@39.869402737163554,75.06 ± 1.17 / 46.99 ± 1.45@@75.05668327518265,68.12 ± 0.15 / 19.87 ± 0.18@@68.12205221038312,71.84 ± 2.69 / 78.98 ± 1.97@@71.84129660103451,78.01 ± 1.85 / 83.40 ± 1.38@@78.00639703728703,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/VAGOsolutions/SauerkrautLM-7b-LaserChat'>VAGOsolutions/SauerkrautLM-7b-LaserChat (few-shot)</a>,📝,1.76@@1.76,7241748480.0,32002.0,4096.0,✗,✗,69.64 ± 0.81 / 74.44 ± 0.54@@69.63600485890119,72.31 ± 0.95 / 58.34 ± 1.84@@72.3101141293861,46.08 ± 1.45 / 71.39 ± 0.74@@46.07821400644586,86.80 ± 0.57 / 72.23 ± 1.24@@86.80039823936268,70.23 ± 0.09 / 26.49 ± 0.30@@70.23092542978702,48.37 ± 1.21 / 61.11 ± 0.87@@48.37004860094514,76.87 ± 0.79 / 82.49 ± 0.62@@76.87031796044162,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/RekaAI/reka-flash-3'>RekaAI/reka-flash-3 (few-shot)</a>,🤔,1.76@@1.76,20905482240.0,100352.0,32768.0,✓,✗,69.19 ± 0.64 / 69.79 ± 0.70@@69.18810051927427,81.67 ± 0.70 / 65.64 ± 1.86@@81.67323763560705,45.50 ± 1.56 / 71.17 ± 0.90@@45.495434294131634,80.44 ± 0.56 / 64.34 ± 1.00@@80.44373022521923,66.98 ± 0.06 / 17.90 ± 0.20@@66.97924783540657,70.93 ± 1.00 / 78.18 ± 0.76@@70.93431907824927,58.80 ± 0.85 / 68.86 ± 0.62@@58.79535559663939,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/tiiuae/Falcon3-10B-Instruct'>tiiuae/Falcon3-10B-Instruct (few-shot)</a>,📝,1.76@@1.76,10305653760.0,131072.0,32768.0,✓,✗,69.45 ± 1.23 / 72.39 ± 1.09@@69.45136536988039,70.63 ± 0.98 / 67.04 ± 1.05@@70.6309601766646,44.16 ± 2.08 / 71.77 ± 0.95@@44.15788166499001,87.09 ± 0.74 / 73.23 ± 1.53@@87.09251062662625,68.84 ± 0.41 / 24.86 ± 0.47@@68.84072820699657,62.33 ± 0.73 / 71.80 ± 0.56@@62.32833575629212,68.21 ± 2.14 / 76.14 ± 1.61@@68.21497525375723,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/CohereForAI/aya-23-35B'>CohereForAI/aya-23-35B (few-shot)</a>,📝,1.77@@1.77,34980831232.0,256000.0,8192.0,✗,✗,69.02 ± 0.60 / 64.89 ± 0.93@@69.02486714421748,67.89 ± 2.24 / 62.93 ± 2.03@@67.891981181093,42.28 ± 2.06 / 71.01 ± 1.02@@42.277499464870544,87.41 ± 0.92 / 78.35 ± 1.72@@87.40647636285738,71.96 ± 0.07 / 31.65 ± 0.16@@71.96433076707763,45.94 ± 1.46 / 59.33 ± 1.14@@45.9404686742724,80.53 ± 1.09 / 85.19 ± 0.86@@80.53137930340742,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701
<a href='https://huggingface.co/CohereForAI/c4ai-command-r-08-2024'>CohereForAI/c4ai-command-r-08-2024 (few-shot)</a>,📝,1.78@@1.78,32296476672.0,256000.0,131072.0,✗,✗,67.62 ± 0.95 / 70.27 ± 1.06@@67.6168668569845,78.35 ± 1.42 / 68.56 ± 1.40@@78.35492998868895,46.50 ± 1.03 / 71.67 ± 0.79@@46.503724033860664,80.12 ± 0.66 / 63.20 ± 1.15@@80.12072468352571,70.22 ± 0.23 / 26.49 ± 0.34@@70.21724390098825,60.40 ± 0.83 / 70.22 ± 0.62@@60.39823453998174,60.49 ± 2.10 / 69.11 ± 1.87@@60.487072387212784,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/mistralai/Mistral-Nemo-Instruct-2407'>mistralai/Mistral-Nemo-Instruct-2407 (few-shot)</a>,📝,1.79@@1.79,12247782400.0,131072.0,1024001.0,✓,✗,63.05 ± 1.41 / 70.34 ± 0.52@@63.05045642892807,75.24 ± 0.84 / 67.78 ± 2.01@@75.24186541576582,44.75 ± 2.73 / 71.43 ± 1.71@@44.75241526858641,83.88 ± 1.27 / 67.70 ± 1.57@@83.87567916015523,70.56 ± 0.58 / 25.57 ± 0.59@@70.5585121086915,57.55 ± 1.00 / 68.02 ± 0.70@@57.55122485063373,67.97 ± 1.89 / 75.51 ± 1.48@@67.96736629284955,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
"<a href='https://ollama.com/library/gemma3:12b-it-fp16'>ollama_chat/gemma3:12b-it-fp16 (few-shot, val)</a>",📝,1.80@@1.80,12187325040.0,262144.0,128000.0,✓,✗,67.88 ± 1.75 / 74.78 ± 1.60@@67.88463386373695,78.37 ± 1.36 / 70.05 ± 1.92@@78.37496124563602,41.99 ± 4.53 / 70.41 ± 2.41@@41.98559363269867,80.17 ± 0.85 / 60.07 ± 1.52@@80.16774573891055,67.83 ± 0.15 / 20.87 ± 0.34@@67.83385185175575,60.52 ± 2.30 / 70.35 ± 1.70@@60.51551576750944,68.84 ± 3.16 / 76.09 ± 2.52@@68.84403337760567,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/google/gemma-2-27b-it'>google/gemma-2-27b-it (few-shot)</a>,📝,1.80@@1.80,27227128320.0,256000.0,8192.0,✓,✗,68.57 ± 1.10 / 73.40 ± 0.80@@68.5713941608526,56.64 ± 1.24 / 50.47 ± 1.23@@56.636876615831746,49.62 ± 1.57 / 73.18 ± 0.88@@49.62430193629162,81.82 ± 0.89 / 61.84 ± 1.64@@81.81874213677227,68.06 ± 0.08 / 21.43 ± 0.22@@68.0604309719638,66.24 ± 0.86 / 74.58 ± 0.65@@66.24211177044052,77.48 ± 1.04 / 82.97 ± 0.82@@77.48042603356802,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/152334H/miqu-1-70b-sf'>152334H/miqu-1-70b-sf (few-shot)</a>,📝,1.81@@1.81,68976648192.0,32000.0,32764.0,✓,✗,68.54 ± 1.10 / 72.91 ± 0.58@@68.53798054124822,71.78 ± 1.40 / 59.29 ± 2.63@@71.78074299033523,45.80 ± 3.08 / 72.58 ± 1.38@@45.80486781761199,72.99 ± 1.48 / 50.49 ± 2.62@@72.98665742441025,69.16 ± 0.08 / 21.25 ± 0.14@@69.16178476414643,65.05 ± 0.89 / 73.76 ± 0.68@@65.05070235595663,69.71 ± 2.62 / 77.06 ± 2.13@@69.7054182002941,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
