model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,dbrd,conll_nl,scala_nl,squad_nl,wiki_lingua_nl,mmlu_nl,hellaswag_nl,dbrd_version,conll_nl_version,scala_nl_version,squad_nl_version,wiki_lingua_nl_version,mmlu_nl_version,hellaswag_nl_version
<a href='https://huggingface.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct (few-shot)</a>,📝,2.90@@2.90,7241748480.0,32002.0,4096.0,✗,✗,89.27 ± 1.17 / 94.47 ± 0.66@@89.27086987419462,53.83 ± 3.13 / 34.97 ± 1.44@@53.825595992557915,10.63 ± 2.83 / 47.43 ± 5.06@@10.632701616731186,34.27 ± 1.09 / 0.09 ± 0.06@@34.267193331768304,64.83 ± 0.77 / 16.25 ± 1.04@@64.83268131618388,19.27 ± 1.22 / 38.83 ± 0.88@@19.27175103390465,7.78 ± 1.33 / 29.72 ± 0.92@@7.77597551734713,15.7.1.dev0@@150701,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/meta-llama/Llama-2-7b-chat-hf'>meta-llama/Llama-2-7b-chat-hf (few-shot)</a>,📝,2.90@@2.90,6738417664.0,32000.0,4096.0,✓,✗,52.44 ± 6.95 / 69.22 ± 5.60@@52.44368873651658,42.55 ± 1.87 / 28.36 ± 1.44@@42.5521350024532,15.71 ± 2.86 / 52.10 ± 4.01@@15.70930195090893,60.82 ± 1.47 / 44.37 ± 1.23@@60.81935689687066,67.59 ± 0.56 / 18.45 ± 0.65@@67.59002687118482,20.19 ± 1.26 / 39.24 ± 1.03@@20.185613933821166,11.42 ± 1.29 / 32.50 ± 1.10@@11.423700388625749,15.7.1.dev0@@150701,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,12.4.0@@120400,9.3.1@@90301,9.3.1@@90301
<a href='https://huggingface.co/ibm-granite/granite-3.0-3b-a800m-base'>ibm-granite/granite-3.0-3b-a800m-base (few-shot)</a>,🧠,2.92@@2.92,3374286336.0,49152.0,4096.0,✓,✗,89.16 ± 1.41 / 94.43 ± 0.76@@89.15832884525067,41.25 ± 1.79 / 31.31 ± 1.31@@41.245105481010256,3.43 ± 2.47 / 37.12 ± 3.70@@3.4299049830784063,68.75 ± 0.86 / 57.16 ± 0.85@@68.75045564116256,63.60 ± 0.52 / 16.77 ± 0.94@@63.60201707793749,9.20 ± 0.95 / 31.37 ± 0.75@@9.204090373226506,8.78 ± 1.34 / 28.21 ± 0.87@@8.779147851514127,15.7.1.dev0@@150701,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/BramVanroy/fietje-2b-instruct'>BramVanroy/fietje-2b-instruct (few-shot)</a>,📝,2.92@@2.92,2775059577.0,50297.0,2048.0,✗,✗,57.66 ± 4.18 / 73.38 ± 3.42@@57.65572870955322,36.50 ± 2.72 / 28.73 ± 1.41@@36.50431753211246,4.81 ± 2.20 / 43.19 ± 1.45@@4.806265798248378,66.74 ± 1.83 / 54.52 ± 1.58@@66.73653131823852,66.01 ± 0.42 / 17.97 ± 0.65@@66.01181307967636,26.76 ± 1.00 / 44.94 ± 0.74@@26.76403939172614,12.93 ± 1.54 / 34.12 ± 1.22@@12.926564204553143,15.7.1.dev0@@150701,12.6.1@@120601,12.6.1@@120601,14.2.0.dev0@@140200,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
<a href='https://huggingface.co/Qwen/Qwen2.5-Math-7B'>Qwen/Qwen2.5-Math-7B (few-shot)</a>,📝,2.93@@2.93,7615616512.0,152064.0,4096.0,✓,✗,82.71 ± 1.13 / 91.34 ± 0.56@@82.71377193828471,53.52 ± 2.89 / 37.67 ± 2.63@@53.51999142434739,0.35 ± 0.49 / 33.44 ± 0.27@@0.3455606736347516,48.85 ± 6.87 / 29.65 ± 7.56@@48.85252165381987,59.14 ± 1.35 / 9.67 ± 1.45@@59.13614172975941,26.42 ± 0.67 / 43.94 ± 0.51@@26.42030491438717,13.06 ± 1.43 / 33.99 ± 1.08@@13.064332312672766,15.7.1.dev0@@150701,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/google/gemma-2-2b'>google/gemma-2-2b (few-shot)</a>,🧠,2.94@@2.94,2614341888.0,256000.0,8192.0,✓,✗,87.45 ± 1.90 / 93.36 ± 1.09@@87.45278791552904,28.71 ± 3.24 / 25.97 ± 1.68@@28.70508549601267,9.53 ± 1.84 / 50.69 ± 1.89@@9.530830886131353,69.05 ± 1.57 / 54.32 ± 1.51@@69.04634641311208,61.28 ± 0.85 / 16.40 ± 0.72@@61.27829346616635,21.17 ± 0.64 / 39.99 ± 0.80@@21.169894614611522,7.09 ± 1.59 / 28.40 ± 1.07@@7.087622802020492,15.7.1.dev0@@150701,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/infly/OpenCoder-8B-Instruct'>infly/OpenCoder-8B-Instruct (few-shot)</a>,📝,2.94@@2.94,7771262976.0,96640.0,8192.0,✓,✗,69.40 ± 2.40 / 84.09 ± 1.41@@69.4014071235697,52.60 ± 3.92 / 27.83 ± 1.33@@52.599992023643175,9.90 ± 1.91 / 48.52 ± 4.41@@9.89502375027502,61.11 ± 3.15 / 40.73 ± 5.09@@61.108592161040164,65.37 ± 0.33 / 16.10 ± 0.35@@65.373795551277,4.76 ± 1.75 / 27.32 ± 1.53@@4.7606868154939015,2.29 ± 1.55 / 26.62 ± 0.94@@2.294371959492202,15.7.1.dev0@@150701,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/openGPT-X/Teuken-7B-instruct-research-v0.4'>openGPT-X/Teuken-7B-instruct-research-v0.4 (few-shot)</a>,📝,2.96@@2.96,7452725248.0,250680.0,4096.0,✗,✗,63.08 ± 4.42 / 79.29 ± 2.96@@63.08000695496754,39.24 ± 2.43 / 24.25 ± 1.34@@39.24081654055841,11.48 ± 1.02 / 52.86 ± 2.43@@11.47935019875848,67.83 ± 0.99 / 53.92 ± 0.62@@67.82582218479024,65.55 ± 0.28 / 15.78 ± 0.39@@65.54922432056628,13.37 ± 0.76 / 32.35 ± 0.82@@13.36910134924954,9.13 ± 1.17 / 27.27 ± 0.70@@9.13167819271574,15.7.1.dev0@@150701,14.0.4@@140004,14.0.4@@140004,14.2.0.dev0@@140200,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/ChocoLlama/ChocoLlama-2-7B-base'>ChocoLlama/ChocoLlama-2-7B-base (few-shot)</a>,🧠,2.97@@2.97,6738415616.0,32000.0,4096.0,✓,✗,82.77 ± 2.41 / 90.62 ± 1.45@@82.7712945910564,28.05 ± 2.71 / 28.25 ± 3.57@@28.046224854076247,14.79 ± 1.90 / 47.16 ± 4.47@@14.791634007895643,71.14 ± 1.71 / 58.97 ± 1.38@@71.1376059434652,64.40 ± 0.80 / 18.78 ± 1.13@@64.39777210667671,8.24 ± 1.01 / 29.35 ± 0.95@@8.23662791074279,3.04 ± 0.99 / 26.12 ± 0.82@@3.0415366828525228,15.7.1.dev0@@150701,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://huggingface.co/tiiuae/Falcon3-3B-Instruct'>tiiuae/Falcon3-3B-Instruct (few-shot)</a>,📝,2.98@@2.98,3227655168.0,131072.0,32768.0,✓,✗,61.01 ± 1.33 / 79.96 ± 0.89@@61.00717501942181,53.09 ± 1.96 / 41.18 ± 3.05@@53.090769792058154,9.59 ± 2.66 / 46.95 ± 4.26@@9.58657647917899,53.76 ± 0.96 / 40.59 ± 0.64@@53.76283546186588,63.07 ± 1.21 / 13.84 ± 1.20@@63.06801993312548,14.10 ± 0.80 / 35.52 ± 0.60@@14.104652015600443,6.68 ± 1.04 / 30.01 ± 0.80@@6.675451570726057,15.7.2.dev0@@150702,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://huggingface.co/MaLA-LM/emma-500-llama2-7b'>MaLA-LM/emma-500-llama2-7b (few-shot)</a>,🧠,3.01@@3.01,6738415616.0,32000.0,4096.0,✓,✗,83.90 ± 1.63 / 91.36 ± 0.96@@83.89809763067684,41.39 ± 2.24 / 34.52 ± 1.98@@41.38873155601459,3.92 ± 2.80 / 37.43 ± 2.69@@3.92273167514967,74.27 ± 0.70 / 60.07 ± 1.68@@74.27067068318539,54.50 ± 5.78 / 15.01 ± 1.59@@54.497866064484704,14.90 ± 1.44 / 35.20 ± 1.09@@14.902736581660761,7.26 ± 1.56 / 29.91 ± 1.18@@7.256327451153886,15.7.1.dev0@@150701,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/openGPT-X/Teuken-7B-instruct-commercial-v0.4'>openGPT-X/Teuken-7B-instruct-commercial-v0.4 (few-shot)</a>,📝,3.01@@3.01,7452725248.0,250680.0,4096.0,✓,✗,60.15 ± 3.98 / 77.35 ± 2.82@@60.14960954493205,42.61 ± 2.74 / 28.99 ± 1.70@@42.60679693840953,2.60 ± 2.37 / 40.34 ± 2.28@@2.601884858305236,61.25 ± 2.78 / 46.43 ± 2.22@@61.24809583262297,65.32 ± 0.26 / 16.11 ± 0.29@@65.3197488746082,14.59 ± 0.65 / 34.74 ± 0.52@@14.594794083010127,11.78 ± 1.60 / 32.91 ± 0.98@@11.775641336682341,15.7.1.dev0@@150701,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/LumiOpen/Viking-33B'>LumiOpen/Viking-33B (few-shot)</a>,🧠,3.04@@3.04,33119034368.0,131072.0,4096.0,✓,✗,89.74 ± 0.96 / 94.80 ± 0.51@@89.74115577733744,48.64 ± 2.30 / 32.59 ± 1.19@@48.63621693862477,3.83 ± 2.32 / 35.27 ± 1.51@@3.8292522271861507,61.39 ± 1.34 / 49.24 ± 1.07@@61.390928910920664,58.61 ± 1.57 / 14.74 ± 1.27@@58.613013073190814,5.26 ± 1.25 / 28.34 ± 0.86@@5.255366690738809,0.63 ± 1.19 / 24.77 ± 0.76@@0.6279306385109934,15.7.0.dev0@@150700,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/ibm-granite/granite-7b-base'>ibm-granite/granite-7b-base (few-shot)</a>,🧠,3.04@@3.04,6738415616.0,32000.0,2048.0,✓,✗,82.39 ± 2.03 / 90.86 ± 1.15@@82.3932568547867,37.39 ± 3.37 / 32.77 ± 1.97@@37.39073520708501,3.11 ± 0.88 / 50.54 ± 0.90@@3.1097982677360885,64.54 ± 0.92 / 49.49 ± 1.47@@64.53854762699082,57.63 ± 1.86 / 12.27 ± 0.83@@57.62645702445297,14.52 ± 1.25 / 35.34 ± 0.95@@14.52211254661268,6.60 ± 1.13 / 29.30 ± 0.97@@6.597606554845015,15.7.1.dev0@@150701,12.10.5@@121005,12.10.5@@121005,14.3.0@@140300,12.10.5@@121005,12.10.8@@121008,12.10.8@@121008
<a href='https://huggingface.co/BramVanroy/fietje-2b'>BramVanroy/fietje-2b (few-shot)</a>,🧠,3.05@@3.05,2779683840.0,51200.0,2048.0,✓,✗,47.25 ± 9.48 / 69.59 ± 7.80@@47.24883847719063,33.92 ± 3.43 / 28.63 ± 2.42@@33.91813568034666,6.75 ± 2.55 / 41.28 ± 2.37@@6.752486136815664,70.77 ± 1.59 / 57.42 ± 1.26@@70.76577714269186,61.49 ± 0.90 / 16.13 ± 0.80@@61.494662859622615,24.66 ± 0.67 / 42.68 ± 0.55@@24.66229655320506,4.78 ± 1.80 / 27.19 ± 1.20@@4.783919451622854,15.7.1.dev0@@150701,12.6.1@@120601,12.6.1@@120601,14.3.0@@140300,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
<a href='https://huggingface.co/google/gemma-3-1b-it'>google/gemma-3-1b-it (few-shot)</a>,📝,3.05@@3.05,999885952.0,262144.0,32768.0,✓,✗,78.95 ± 2.02 / 89.34 ± 1.04@@78.9525035930431,46.04 ± 2.39 / 38.97 ± 1.87@@46.035909777624354,10.64 ± 1.49 / 50.28 ± 4.03@@10.644920007007732,45.31 ± 1.78 / 30.93 ± 1.77@@45.313693053002524,64.30 ± 0.22 / 13.83 ± 0.33@@64.30497216628282,5.99 ± 0.91 / 28.69 ± 0.82@@5.9866210947208325,4.36 ± 0.77 / 27.29 ± 0.68@@4.3596280746381195,15.7.1.dev0@@150701,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/ChocoLlama/ChocoLlama-2-7B-instruct'>ChocoLlama/ChocoLlama-2-7B-instruct (few-shot)</a>,📝,3.09@@3.09,6738415616.0,32000.0,4096.0,✗,✗,66.87 ± 7.55 / 79.95 ± 5.45@@66.87396175819632,30.03 ± 3.15 / 29.81 ± 3.12@@30.0319921788317,8.84 ± 1.52 / 38.13 ± 2.33@@8.841321056567047,67.92 ± 0.63 / 50.42 ± 1.53@@67.92269029387492,65.36 ± 0.94 / 16.34 ± 1.03@@65.36070887348615,6.68 ± 0.98 / 29.20 ± 0.71@@6.677728368769298,3.78 ± 0.95 / 27.03 ± 0.78@@3.7786396868564616,15.7.1.dev0@@150701,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://huggingface.co/stabilityai/stablelm-2-1_6b'>stabilityai/stablelm-2-1_6b (few-shot)</a>,🧠,3.15@@3.15,1644515328.0,100352.0,4096.0,✓,✗,85.84 ± 1.19 / 92.59 ± 0.69@@85.84263136883918,36.58 ± 3.88 / 33.82 ± 2.87@@36.584328653874664,4.01 ± 2.01 / 36.03 ± 1.61@@4.008630432706511,64.81 ± 1.61 / 51.32 ± 1.60@@64.80582135150655,52.24 ± 1.79 / 10.76 ± 0.68@@52.24139777681558,10.24 ± 1.06 / 31.02 ± 0.79@@10.242849062662106,6.75 ± 0.83 / 28.50 ± 0.84@@6.752532384929511,15.7.1.dev0@@150701,12.10.8@@121008,12.10.8@@121008,14.3.0@@140300,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008
<a href='https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct (few-shot)</a>,📝,3.16@@3.16,1235814400.0,128256.0,131328.0,✓,✗,66.38 ± 2.67 / 81.06 ± 1.98@@66.37980296000073,42.01 ± 2.06 / 37.16 ± 1.98@@42.00522519805291,1.11 ± 2.15 / 36.71 ± 3.89@@1.107657011406834,49.71 ± 1.40 / 34.38 ± 0.82@@49.70502012432601,58.72 ± 1.05 / 12.47 ± 0.62@@58.72339785229996,17.71 ± 0.69 / 38.01 ± 0.61@@17.710644304097883,6.98 ± 1.11 / 28.05 ± 1.00@@6.9844102274389845,15.7.1.dev0@@150701,13.0.0@@130000,13.0.0@@130000,14.2.0.dev0@@140200,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://ollama.com/library/gemma3:1b'>ollama_chat/gemma3:1b (few-shot)</a>,📝,3.17@@3.17,1000000000.0,262144.0,32768.0,✓,✗,64.50 ± 1.39 / 80.57 ± 1.11@@64.49802060159546,38.96 ± 1.95 / 32.68 ± 1.42@@38.96183246114172,10.47 ± 1.34 / 54.19 ± 1.04@@10.465632740520773,43.93 ± 1.59 / 29.61 ± 1.55@@43.92728288648486,63.42 ± 0.13 / 12.68 ± 0.21@@63.415342176740516,8.21 ± 1.25 / 30.31 ± 0.84@@8.21110609079139,4.97 ± 1.03 / 26.61 ± 0.58@@4.971081371509793,15.7.1.dev0@@150701,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B-Instruct'>HuggingFaceTB/SmolLM2-1.7B-Instruct (few-shot)</a>,📝,3.21@@3.21,1711376384.0,49152.0,8192.0,✓,✗,74.14 ± 1.95 / 86.37 ± 1.29@@74.13924877528298,30.21 ± 3.14 / 23.61 ± 1.01@@30.21466342599681,7.66 ± 1.53 / 46.39 ± 4.21@@7.664567725454599,49.69 ± 0.65 / 34.61 ± 1.43@@49.68569195946478,62.30 ± 0.50 / 13.34 ± 0.25@@62.29748662837664,7.73 ± 1.14 / 30.33 ± 0.90@@7.732832992737768,1.98 ± 1.03 / 26.39 ± 1.04@@1.9836713822352539,15.7.1.dev0@@150701,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/Qwen/Qwen1.5-4B'>Qwen/Qwen1.5-4B (few-shot)</a>,📝,3.21@@3.21,3950369280.0,151936.0,32768.0,✓,✗,83.66 ± 0.90 / 91.74 ± 0.46@@83.66166982833411,35.74 ± 3.22 / 31.74 ± 2.24@@35.737534861970474,0.23 ± 0.44 / 33.35 ± 0.31@@0.22560501914600364,24.05 ± 0.72 / 1.74 ± 0.60@@24.049574485684232,58.90 ± 1.59 / 14.17 ± 0.80@@58.903305678177276,22.20 ± 1.53 / 41.49 ± 1.08@@22.204076319237398,13.11 ± 1.85 / 33.86 ± 1.69@@13.111097515741838,15.7.1.dev0@@150701,12.5.2@@120502,12.1.0@@120100,14.3.0@@140300,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100
<a href='https://huggingface.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B (few-shot)</a>,🤔,3.21@@3.21,751632384.0,151936.0,40960.0,✓,✗,60.54 ± 2.64 / 79.50 ± 1.56@@60.54132698194037,29.62 ± 1.27 / 28.12 ± 1.98@@29.61850847384121,4.42 ± 1.99 / 48.52 ± 1.82@@4.419861558021545,43.01 ± 1.29 / 24.51 ± 2.09@@43.01192533373201,64.54 ± 0.32 / 15.00 ± 0.34@@64.53864589202567,17.86 ± 1.00 / 37.50 ± 0.85@@17.85640591208353,7.72 ± 2.24 / 30.18 ± 1.61@@7.721710556048109,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701
<a href='https://huggingface.co/NorwAI/NorwAI-Mistral-7B'>NorwAI/NorwAI-Mistral-7B (few-shot)</a>,🧠,3.26@@3.26,7536586752.0,67993.0,4224.0,✓,✗,85.17 ± 1.79 / 92.13 ± 1.10@@85.17001594906792,24.15 ± 5.73 / 26.49 ± 4.13@@24.153869376650412,1.60 ± 1.71 / 41.51 ± 3.60@@1.6041423094656782,57.36 ± 2.41 / 44.11 ± 1.33@@57.36311852704832,59.43 ± 1.17 / 14.57 ± 0.83@@59.43166423865478,3.04 ± 1.28 / 26.56 ± 0.79@@3.041665035711463,3.70 ± 1.54 / 26.98 ± 1.26@@3.695981531433505,15.7.1.dev0@@150701,12.10.4@@121004,12.10.4@@121004,14.3.0@@140300,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004
<a href='https://huggingface.co/google/gemma-2b'>google/gemma-2b (few-shot)</a>,🧠,3.26@@3.26,2506172416.0,256000.0,8192.0,✓,✗,86.55 ± 1.97 / 93.03 ± 1.19@@86.5528848227693,17.57 ± 4.49 / 17.87 ± 2.72@@17.57297260826504,1.13 ± 1.19 / 34.16 ± 1.29@@1.1283205104151368,61.18 ± 1.63 / 49.22 ± 1.71@@61.184343619284576,59.23 ± 0.85 / 13.16 ± 0.75@@59.22776000297745,7.34 ± 1.33 / 29.86 ± 1.16@@7.344723727268216,2.48 ± 1.06 / 25.74 ± 0.67@@2.4817537637706577,15.7.1.dev0@@150701,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/utter-project/EuroLLM-1.7B'>utter-project/EuroLLM-1.7B (few-shot)</a>,🧠,3.28@@3.28,,128000.0,4096.0,✓,✗,73.24 ± 6.08 / 84.72 ± 4.30@@73.24186394417586,27.89 ± 2.57 / 27.81 ± 2.11@@27.890241511212743,0.75 ± 2.22 / 41.08 ± 3.65@@0.7471907392168792,57.53 ± 1.78 / 44.11 ± 1.67@@57.530733808915954,61.82 ± 0.58 / 12.56 ± 0.42@@61.82224464668252,0.50 ± 0.76 / 24.60 ± 0.62@@0.498401971325792,-0.87 ± 1.25 / 23.75 ± 0.47@@-0.8688576224327305,15.7.1.dev0@@150701,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/infly/OpenCoder-8B-Base'>infly/OpenCoder-8B-Base (few-shot)</a>,📝,3.29@@3.29,7771263040.0,96640.0,8192.0,✓,✗,67.65 ± 1.50 / 82.95 ± 1.13@@67.64852431082093,56.01 ± 2.89 / 30.97 ± 3.04@@56.01143918233309,3.20 ± 1.55 / 37.85 ± 2.40@@3.1996130974664236,28.66 ± 2.06 / 0.05 ± 0.05@@28.65977205116517,53.10 ± 2.53 / 10.03 ± 1.08@@53.09526982775423,6.44 ± 1.31 / 28.57 ± 0.86@@6.441008533734151,3.02 ± 1.38 / 26.17 ± 0.77@@3.020312712309485,15.7.1.dev0@@150701,14.4.0@@140400,14.4.0@@140400,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B'>HuggingFaceTB/SmolLM2-1.7B (few-shot)</a>,🧠,3.29@@3.29,1711376384.0,49152.0,8192.0,✓,✗,74.28 ± 2.92 / 85.68 ± 1.97@@74.28328732167988,26.69 ± 5.02 / 27.37 ± 4.30@@26.68772724377461,1.74 ± 1.83 / 38.39 ± 3.53@@1.743151666071584,46.59 ± 1.16 / 37.30 ± 0.98@@46.58579046962865,60.52 ± 0.42 / 13.13 ± 0.85@@60.52307071935502,8.08 ± 1.26 / 30.97 ± 0.90@@8.076042699164681,1.73 ± 0.94 / 24.57 ± 0.57@@1.733200611997367,15.7.1.dev0@@150701,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/BSC-LT/salamandra-2b-instruct'>BSC-LT/salamandra-2b-instruct (few-shot)</a>,📝,3.30@@3.30,2253490176.0,256000.0,8192.0,✓,✗,64.59 ± 6.49 / 78.81 ± 5.25@@64.59372644565752,29.38 ± 3.16 / 26.61 ± 1.82@@29.37535776085517,2.45 ± 1.78 / 46.03 ± 3.05@@2.446220406634942,59.50 ± 1.22 / 39.00 ± 2.44@@59.5034827682255,59.95 ± 0.58 / 13.12 ± 0.68@@59.95307765319012,1.56 ± 1.27 / 26.23 ± 0.94@@1.559019637238639,1.70 ± 0.86 / 25.75 ± 0.64@@1.7047971550922774,15.7.1.dev0@@150701,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/tiiuae/Falcon3-3B-Base'>tiiuae/Falcon3-3B-Base (few-shot)</a>,🧠,3.30@@3.30,3227655168.0,131072.0,32768.0,✓,✗,46.94 ± 2.34 / 66.15 ± 1.93@@46.944973945582575,46.74 ± 3.20 / 39.02 ± 2.78@@46.73898789626552,2.01 ± 2.90 / 38.53 ± 5.01@@2.009577934842283,46.33 ± 1.67 / 36.70 ± 1.52@@46.33195889371266,57.68 ± 2.51 / 11.33 ± 1.02@@57.678379033241065,10.60 ± 1.35 / 32.43 ± 1.14@@10.59531954834572,1.86 ± 0.86 / 25.60 ± 0.38@@1.8594476711293428,15.7.2.dev0@@150702,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://huggingface.co/Qwen/Qwen1.5-1.8B-Chat'>Qwen/Qwen1.5-1.8B-Chat (few-shot)</a>,📝,3.30@@3.30,1836828672.0,151936.0,32768.0,✗,✗,67.06 ± 2.96 / 82.32 ± 2.18@@67.06178162559448,23.44 ± 5.09 / 25.00 ± 2.33@@23.44362130331714,4.11 ± 1.73 / 43.70 ± 3.47@@4.109901744602294,47.43 ± 1.55 / 31.45 ± 2.42@@47.4289296347124,60.91 ± 0.99 / 12.65 ± 0.41@@60.90916884350008,12.11 ± 0.90 / 33.62 ± 0.61@@12.114447974214995,6.41 ± 1.13 / 29.73 ± 0.82@@6.407023171061208,15.7.1.dev0@@150701,12.5.2@@120502,12.1.0@@120100,14.2.0.dev0@@140200,12.5.0@@120500,12.1.0@@120100,12.1.0@@120100
<a href='https://huggingface.co/ibm-granite/granite-3b-code-base-2k'>ibm-granite/granite-3b-code-base-2k (few-shot)</a>,🧠,3.33@@3.33,3482503680.0,49152.0,2048.0,✓,✗,49.61 ± 6.20 / 72.78 ± 4.70@@49.608276898470294,51.45 ± 3.30 / 41.27 ± 2.68@@51.45164859222028,3.98 ± 1.59 / 40.56 ± 4.11@@3.9829318209519715,61.92 ± 0.99 / 49.70 ± 1.14@@61.919369322329885,46.07 ± 8.69 / 11.76 ± 1.96@@46.06768253244809,5.44 ± 0.51 / 28.61 ± 0.45@@5.439086772590669,2.18 ± 1.33 / 25.13 ± 0.78@@2.1761085152746196,15.7.1.dev0@@150701,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://huggingface.co/LumiOpen/Viking-13B'>LumiOpen/Viking-13B (few-shot)</a>,🧠,3.33@@3.33,14030361600.0,131072.0,4352.0,✓,✗,84.61 ± 1.86 / 92.06 ± 1.11@@84.60622746142062,36.74 ± 3.36 / 32.36 ± 1.39@@36.73635762774583,3.01 ± 1.94 / 46.03 ± 4.19@@3.0144610408661716,48.04 ± 2.39 / 36.57 ± 1.81@@48.04013279837403,51.76 ± 1.36 / 10.67 ± 0.56@@51.76212791891886,0.67 ± 1.15 / 24.89 ± 0.79@@0.6723871567601875,-0.30 ± 1.01 / 23.52 ± 0.38@@-0.30336867740255274,15.7.0.dev0@@150700,12.5.2@@120502,12.5.2@@120502,14.3.0@@140300,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502
<a href='https://huggingface.co/google/gemma-2b-it'>google/gemma-2b-it (few-shot)</a>,📝,3.34@@3.34,2506172416.0,256000.0,8192.0,✗,✗,73.05 ± 2.05 / 85.64 ± 1.52@@73.0473128707382,35.26 ± 1.99 / 29.18 ± 2.67@@35.26039151926448,1.78 ± 1.98 / 47.52 ± 2.02@@1.7839919055435367,32.44 ± 3.87 / 16.22 ± 3.97@@32.43956054187741,61.76 ± 0.83 / 12.39 ± 0.52@@61.758854791260084,3.12 ± 1.15 / 26.10 ± 0.77@@3.1230239348494013,1.81 ± 1.10 / 24.07 ± 0.33@@1.809884965898367,15.7.1.dev0@@150701,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
