model,rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets_mcc,angry_tweets_macro_f1,dansk_micro_f1_no_misc,dansk_micro_f1,scala_da_mcc,scala_da_macro_f1,scandiqa_da_f1,scandiqa_da_em,swerec_mcc,swerec_macro_f1,suc3_micro_f1_no_misc,suc3_micro_f1,scala_sv_mcc,scala_sv_macro_f1,scandiqa_sv_f1,scandiqa_sv_em,norec_mcc,norec_macro_f1,norne_nb_micro_f1_no_misc,norne_nb_micro_f1,norne_nn_micro_f1_no_misc,norne_nn_micro_f1,scala_nb_mcc,scala_nb_macro_f1,scala_nn_mcc,scala_nn_macro_f1,norquad_f1,norquad_em,hotter_and_colder_sentiment_mcc,hotter_and_colder_sentiment_macro_f1,mim_gold_ner_micro_f1_no_misc,mim_gold_ner_micro_f1,scala_is_mcc,scala_is_macro_f1,nqii_f1,nqii_em,fosent_mcc,fosent_macro_f1,fone_micro_f1_no_misc,fone_micro_f1,scala_fo_mcc,scala_fo_macro_f1,foqa_f1,foqa_em,dutch_social_mcc,dutch_social_macro_f1,conll_nl_micro_f1_no_misc,conll_nl_micro_f1,scala_nl_mcc,scala_nl_macro_f1,squad_nl_f1,squad_nl_em,sb10k_mcc,sb10k_macro_f1,germeval_micro_f1_no_misc,germeval_micro_f1,scala_de_mcc,scala_de_macro_f1,germanquad_f1,germanquad_em,sst5_mcc,sst5_macro_f1,conll_en_micro_f1_no_misc,conll_en_micro_f1,scala_en_mcc,scala_en_macro_f1,squad_f1,squad_em,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,hotter_and_colder_sentiment_version,mim_gold_ner_version,scala_is_version,nqii_version,fosent_version,fone_version,scala_fo_version,foqa_version,dutch_social_version,conll_nl_version,scala_nl_version,squad_nl_version,sb10k_version,germeval_version,scala_de_version,germanquad_version,sst5_version,conll_en_version,scala_en_version,squad_version
dbmdz/bert-tiny-historic-multilingual-cased,3.93,5.0,32.0,512,78027.26,True,False,20.71,40.07,33.62,31.69,1.19,48.46,7.68,4.19,57.41,53.5,26.87,25.42,-1.06,48.72,10.83,5.54,19.19,37.36,46.11,43.54,35.18,33.22,2.76,50.99,0.42,49.39,0.0,0.0,9.46,28.69,43.93,46.59,0.04,47.53,21.73,6.13,-1.81,15.54,72.08,72.93,2.65,48.48,0.0,0.0,8.45,29.85,41.38,56.29,1.55,49.24,6.62,4.4,33.61,55.01,33.18,32.48,1.83,49.4,0.0,0.0,25.85,40.72,65.85,68.72,1.21,50.03,11.02,4.0,0.0.0,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,12.6.1,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
PleIAs/Pleias-Nano (few-shot),3.99,1195.0,66.0,2048,2519.09,True,False,29.12,49.93,16.17,14.33,-0.47,33.18,41.23,34.8,23.71,32.87,14.09,15.95,1.74,38.94,37.8,32.0,22.22,32.6,27.47,27.1,23.82,27.33,-2.06,35.29,-0.77,35.74,5.33,2.48,2.13,21.55,9.9,15.24,0.02,34.31,31.31,10.64,-1.78,16.36,20.76,22.79,0.87,34.86,6.25,3.58,7.9,33.04,23.58,26.01,1.79,40.53,35.07,26.11,15.58,29.45,24.32,22.08,1.25,37.57,20.51,6.82,45.04,50.6,21.6,23.22,-0.46,44.56,44.25,33.46,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.0.4,14.1.2,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4
PleIAs/Pleias-3b-Preview (few-shot),4.01,3212.0,66.0,4096,6513.19,True,False,13.01,28.28,15.93,14.68,0.05,40.73,41.96,36.85,45.75,50.33,21.42,20.27,-0.25,44.95,37.44,32.71,18.74,27.39,28.82,28.03,27.81,26.0,-0.46,36.22,-0.84,37.42,21.98,12.66,-0.67,21.03,18.86,18.63,-0.76,33.16,26.19,8.09,-0.03,23.66,22.75,23.52,-0.78,33.93,12.38,7.75,7.24,29.45,31.13,29.34,1.23,44.71,39.28,32.13,7.41,23.37,23.08,21.68,0.89,40.64,33.36,17.32,36.35,45.58,27.37,26.5,-0.37,44.67,16.44,7.42,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.0.4,14.1.2,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4
HuggingFaceTB/SmolLM2-360M (few-shot),4.13,362.0,49.0,8192,22023.39,True,False,3.61,19.01,12.68,12.32,1.79,36.23,32.48,28.12,11.52,29.3,18.22,17.97,1.72,34.96,31.25,27.27,6.21,23.74,26.6,23.6,23.7,23.04,-0.39,33.4,0.21,35.33,10.23,4.65,3.82,24.09,13.43,13.81,1.14,36.93,16.21,3.71,-0.56,23.83,28.14,28.12,-0.06,33.85,6.05,2.43,6.84,27.74,20.95,25.63,-1.5,34.07,30.14,22.67,19.64,36.97,19.94,18.01,0.0,33.32,20.5,8.78,43.97,55.08,31.14,28.54,3.49,46.52,60.41,47.91,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,14.1.2,13.1.0,13.1.0,13.1.0,14.1.2,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
HuggingFaceTB/SmolLM2-360M-Instruct (few-shot),4.15,362.0,49.0,8192,21776.98,True,False,2.66,16.29,8.97,8.62,1.65,44.5,28.73,24.92,9.34,26.0,13.64,16.38,2.2,41.62,30.05,26.06,7.6,26.47,20.37,21.57,21.27,22.34,1.31,45.75,0.51,38.71,10.53,4.8,3.12,27.55,13.6,13.99,0.28,37.58,16.34,4.09,3.07,28.68,26.85,27.35,-0.12,45.84,4.02,1.39,6.73,27.67,15.68,22.21,0.63,43.48,27.47,19.73,12.59,22.64,18.77,18.65,1.64,34.84,21.58,9.27,59.51,54.82,30.73,29.47,1.55,43.18,60.0,49.03,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
PleIAs/Pleias-350m-Preview (few-shot),4.26,353.0,66.0,2048,10241.69,True,False,9.47,25.66,13.84,13.12,-0.36,39.52,26.85,22.1,14.15,25.9,22.09,21.86,-0.04,36.18,26.25,21.6,7.91,17.44,26.59,26.61,26.78,26.94,0.28,36.0,0.04,41.17,2.88,0.65,2.38,21.79,17.73,18.22,-0.18,37.94,12.57,1.59,0.0,13.57,31.99,32.31,0.48,37.69,0.89,0.29,3.57,16.42,24.47,26.64,-2.03,39.46,17.17,10.18,13.9,30.42,25.3,24.21,-0.25,39.25,15.65,6.12,19.13,33.51,31.79,31.32,-0.03,36.37,21.93,12.35,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.0.4,14.1.2,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4
PleIAs/Pleias-Pico (few-shot),4.31,353.0,66.0,2048,2330.93,True,False,13.31,34.38,10.59,10.29,0.52,33.76,20.46,16.61,17.38,34.6,16.28,16.34,-0.45,36.19,22.13,17.78,8.05,22.59,25.02,25.54,21.59,21.51,-0.15,36.65,-0.97,39.0,2.47,0.37,2.17,22.31,13.8,14.46,-0.63,36.66,10.96,1.29,0.67,13.76,22.55,22.62,0.87,38.38,0.91,0.27,4.37,18.06,21.32,22.2,-0.19,41.66,15.78,9.38,10.99,27.88,21.03,21.02,0.13,36.48,11.45,3.61,27.39,39.38,27.45,27.11,0.31,39.37,26.76,15.62,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.0.4,14.1.2,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4
fresh-xlm-roberta-base,4.35,278.0,250.0,512,2214.08,True,False,17.37,36.83,16.04,15.6,1.34,35.45,6.64,1.58,51.11,50.09,11.91,11.31,0.86,39.16,7.2,2.0,12.6,32.27,25.49,23.54,25.94,24.1,0.5,36.93,1.83,37.67,0.0,0.0,25.25,44.4,17.34,16.43,-0.06,36.73,21.61,1.02,1.07,17.71,48.7,48.51,2.37,37.68,0.0,0.0,0.92,25.39,13.09,16.25,1.93,40.76,2.7,0.26,23.44,42.87,8.03,8.63,-0.17,39.21,0.0,0.0,4.0,24.24,34.64,34.41,1.33,42.07,6.18,0.43,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
HuggingFaceTB/SmolLM2-135M (few-shot),4.45,135.0,49.0,8192,26346.08,True,False,3.79,21.06,13.72,13.41,-0.45,39.69,17.28,14.69,-3.03,24.39,19.15,20.52,0.06,36.05,16.55,14.18,8.84,29.74,24.37,26.91,24.69,27.6,-1.2,36.09,-0.5,36.68,2.31,0.16,3.13,22.51,14.74,16.01,-0.25,34.69,10.92,1.35,-0.24,26.18,25.51,26.43,0.46,36.19,3.01,0.15,2.01,15.88,17.49,18.59,-0.02,34.86,3.23,0.53,2.74,23.3,16.89,16.63,-0.34,39.21,2.91,0.28,26.69,34.46,31.26,30.44,1.78,43.5,22.49,13.88,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,14.1.2,13.1.0,13.1.0,13.1.0,14.1.2,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
HuggingFaceTB/SmolLM2-135M-Instruct (few-shot),4.47,135.0,49.0,8192,25602.11,True,False,2.61,18.95,12.11,11.48,0.25,39.65,16.74,14.02,7.41,28.42,17.09,18.78,0.47,38.19,13.94,11.73,2.78,26.17,20.89,22.28,19.62,21.82,-0.98,40.63,0.93,40.91,2.19,0.15,3.01,22.58,13.7,15.01,-0.83,32.99,10.22,0.94,3.78,27.36,23.22,24.3,0.41,39.64,3.34,0.54,-0.62,16.18,15.82,16.46,1.16,34.3,5.89,3.25,2.51,21.27,15.54,15.29,0.36,39.04,5.69,1.77,18.64,28.83,29.96,28.98,1.85,44.03,36.91,26.9,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
ssmits/Falcon2-5.5B-multilingual (few-shot),4.95,5465.0,65.0,8192,7691.9,True,False,0.0,18.12,0.0,0.0,0.0,33.25,0.03,0.02,0.0,19.16,0.0,0.0,0.0,33.3,0.0,0.0,0.0,9.59,0.0,0.0,0.0,0.0,0.0,33.25,0.0,32.79,0.09,0.0,-1.3,18.79,0.0,0.0,0.0,33.69,0.02,0.0,0.74,13.97,0.0,0.0,0.0,33.4,0.0,0.0,0.0,8.62,0.0,0.0,0.0,33.34,0.01,0.0,0.0,17.05,0.0,0.0,0.0,33.34,0.02,0.0,0.0,19.61,0.0,0.0,2.48,34.52,0.03,0.01,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,14.1.2,13.0.0,13.0.0,13.0.0,14.1.2,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
