model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,sst5_primary,sst5_secondary,conll_en_primary,conll_en_secondary,scala_en_primary,scala_en_secondary,squad_primary,squad_secondary,cnn_dailymail_primary,cnn_dailymail_secondary,mmlu_primary,mmlu_secondary,hellaswag_primary,hellaswag_secondary,sst5_version,conll_en_version,scala_en_version,squad_version,cnn_dailymail_version,mmlu_version,hellaswag_version,speed_version
RuterNorway/Llama-2-13b-chat-norwegian (few-shot),2.07,2.43,,32.0,4096,3254.47,False,False,64.14,68.0,64.93,57.95,28.08,62.71,79.57,62.09,68.84,24.99,36.49,52.02,38.09,52.6,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.9.0
google/gemma-7b-it (few-shot),2.08,2.62,8538.0,256.0,8192,1792.03,False,False,55.62,64.98,66.7,61.08,31.36,65.21,84.67,72.58,67.24,21.99,35.27,50.12,32.54,46.58,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.7.0
mistralai/Mistral-7B-Instruct-v0.1 (few-shot),2.08,2.37,7242.0,32.0,32768,633.64,False,False,61.44,69.47,57.58,47.94,34.92,66.67,81.9,65.38,69.62,24.65,38.4,53.43,35.72,49.69,9.3.1,9.3.1,9.3.1,12.4.0,12.4.0,9.3.1,9.3.1,12.9.0
meta-llama/Llama-2-13b-chat-hf (few-shot),2.1,2.35,13016.0,32.0,4096,2849.49,True,False,62.37,67.79,68.75,60.01,25.07,61.02,80.11,61.56,69.4,24.79,38.0,52.95,42.14,55.96,12.10.4,12.11.0,12.10.4,12.11.0,12.11.0,12.10.4,12.10.4,12.10.4
ibm-granite/granite-3.0-2b-base (few-shot),2.1,2.16,2534.0,49.0,4097,10186.88,True,False,67.81,61.89,57.78,50.3,22.81,60.07,83.67,72.9,67.33,22.76,37.8,53.52,67.23,75.34,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
timpal0l/Mistral-7B-v0.1-flashback-v2 (few-shot),2.1,2.44,7242.0,32.0,32768,5053.68,True,False,68.41,70.85,59.1,51.31,25.43,60.79,82.99,71.89,67.99,22.12,44.09,56.37,32.29,45.16,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3
ibm-granite/granite-8b-code-base (few-shot),2.11,2.93,8055.0,49.0,4096,1002.12,True,False,62.31,67.31,72.64,67.38,22.38,59.67,81.4,69.84,67.71,23.43,25.41,44.1,16.5,36.76,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5
ibm-granite/granite-8b-code-base-4k (few-shot),2.11,2.93,8055.0,49.0,4096,2312.61,True,False,62.35,67.34,72.76,67.49,21.57,59.22,81.37,69.8,67.73,23.48,25.63,44.26,16.44,36.73,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
"mlabonne/AlphaMonarch-7B (few-shot, val)",2.11,1.84,7242.0,32.0,8192,5340.04,False,True,63.77,71.13,69.19,55.64,28.43,62.28,71.79,44.39,69.77,24.6,46.53,59.53,71.36,78.36,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
"cstr/Spaetzle-v8-7b (few-shot, val)",2.11,1.65,7242.0,32.0,32768,5979.63,False,True,65.39,73.11,69.4,54.63,26.69,62.82,75.27,49.74,71.02,25.9,52.23,63.71,74.61,80.66,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
neuralmagic/Sparse-Llama-3.1-8B-2of4 (few-shot),2.12,1.99,8030.0,128.0,131072,2996.46,True,False,68.49,58.77,59.28,55.81,21.95,49.75,87.44,78.16,69.54,26.96,46.35,59.11,60.61,67.8,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,14.0.3
meta-llama/Llama-2-13b-hf (few-shot),2.13,2.59,13016.0,32.0,4096,2898.43,True,False,61.85,69.02,63.75,59.28,26.41,59.67,85.27,73.48,67.73,22.39,38.04,53.3,28.16,44.8,12.10.4,12.10.5,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,12.10.4
google-bert/bert-base-multilingual-cased,2.15,999.0,178.0,120.0,512,14083.03,True,False,41.89,47.23,89.32,88.95,38.34,67.51,66.42,55.19,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
google/gemma-7b (few-shot),2.16,2.22,8538.0,256.0,8192,1377.83,True,False,63.88,66.49,47.2,41.96,35.75,66.41,82.46,69.4,69.25,24.32,50.57,61.48,35.79,46.37,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.10.0,12.10.0
occiglot/occiglot-7b-de-en (few-shot),2.18,2.43,7242.0,32.0,32768,1992.22,True,False,65.29,69.38,56.07,51.66,25.78,61.5,83.85,73.13,68.76,23.14,41.47,55.81,32.75,48.17,12.3.1,12.3.2,12.3.1,12.3.1,12.3.1,12.3.1,12.3.1,12.3.1
ibm-granite/granite-8b-code-instruct-4k (few-shot),2.18,2.92,8055.0,49.0,4096,5616.81,True,False,61.61,67.09,72.59,65.83,18.37,56.26,78.95,66.68,68.41,24.66,24.14,42.17,14.42,34.5,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
