model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets,dansk,scala_da,scandiqa_da,nordjylland_news,danske_talemaader,danish_citizen_tests,hellaswag_da,swerec,suc3,scala_sv,scandiqa_sv,swedn,mmlu_sv,hellaswag_sv,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,no_sammendrag,mmlu_no,hellaswag_no,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,swedn_version,mmlu_sv_version,hellaswag_sv_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,mmlu_no_version,hellaswag_no_version,speed_version
RabotaRu/HRBert-mini,4.15,999.0,80,200,512,54950.85,True,False,20.33,22.21,0.9,7.23,,,,,52.31,24.61,1.32,8.44,,,,15.07,31.87,32.47,1.26,0.49,0.0,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
tollefj/nordavind-7b-instruct-warm (few-shot),4.15,5.25,7248,33,2048,6450.44,False,False,49.44,38.39,7.5,57.72,66.09,3.53,12.86,1.29,77.91,47.24,5.55,57.55,61.11,1.49,3.97,38.05,38.82,43.28,8.45,7.5,64.21,64.04,2.6,3.83,12.3.2,12.5.2,12.3.2,12.4.0,12.6.1,12.3.2,12.3.2,12.3.2,12.3.2,12.5.2,12.3.2,12.4.0,12.4.0,12.3.2,12.3.2,12.3.2,12.5.2,12.5.2,12.3.2,12.3.2,12.4.0,12.4.0,12.3.2,12.3.2,12.3.2
allenai/OLMo-1B (few-shot),4.17,5.24,1177,50,2051,8536.09,True,False,17.94,13.39,-2.02,26.24,48.87,-0.33,0.05,-0.08,38.95,29.39,-1.35,20.3,43.75,-0.22,0.75,9.95,30.79,31.12,-0.95,-0.04,3.06,40.45,0.32,0.12,12.1.0,12.5.2,12.1.0,12.1.0,12.6.1,12.1.0,12.1.0,12.1.0,12.1.0,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.5.2,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0
norallm/normistral-7b-warm (few-shot),4.17,5.24,7248,33,2048,3174.78,True,False,40.51,37.8,3.35,55.58,65.81,-0.9,3.61,0.4,76.09,48.78,2.53,55.09,57.49,1.28,1.27,27.05,42.29,46.29,1.63,2.57,61.85,62.81,1.5,-0.05,11.0.0,11.0.0,11.0.0,11.0.0,12.6.1,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0
stabilityai/stablelm-2-1_6b (few-shot),4.19,5.25,1645,100,4096,7258.53,True,False,39.09,28.45,1.43,57.34,57.67,11.94,18.18,2.67,75.15,38.0,1.04,58.91,55.63,8.72,3.19,33.71,41.64,42.37,-0.19,-0.01,50.96,49.22,6.67,3.5,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8
timpal0l/Mistral-7B-v0.1-flashback-v2-instruct (few-shot),4.21,5.25,7242,32,32768,5172.48,False,False,40.65,37.02,7.48,59.07,64.46,47.26,49.54,9.02,77.06,46.74,14.0,63.45,62.56,30.87,15.79,32.19,50.34,52.06,-0.22,0.0,40.19,58.71,22.27,11.71,12.3.2,12.5.2,12.3.2,12.4.0,12.6.1,12.3.2,12.3.2,12.3.2,12.3.2,12.5.2,12.3.2,12.4.0,12.4.0,12.3.2,12.3.2,12.3.2,12.5.2,12.5.2,12.3.2,12.3.2,12.4.0,12.4.0,12.3.2,12.3.2,12.3.2
mideind/IceBERT-xlmr-ic3,4.22,999.0,278,250,512,11004.24,True,False,37.47,58.49,6.71,35.52,,,,,66.01,70.57,10.2,36.08,,,,37.19,82.46,74.22,13.25,7.96,30.21,,,,12.7.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,0.0.0
utter-project/EuroLLM-1.7B-Instruct (few-shot),4.22,5.25,1657,128,4096,15008.58,True,False,37.92,19.61,2.81,56.82,63.91,2.54,17.85,0.52,72.24,27.41,0.13,56.59,63.23,3.39,0.54,30.63,31.43,36.92,0.98,1.67,55.11,59.45,1.85,-1.18,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
sarnikowski/convbert-medium-small-da-cased,4.27,999.0,24,29,512,13820.64,True,False,36.85,64.28,63.55,29.88,,,,,57.67,58.01,13.4,30.11,,,,32.4,79.5,73.03,41.65,25.53,8.15,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
AI-Sweden-Models/gpt-sw3-126m-instruct (few-shot),4.29,3.47,186,64,2048,7717.03,True,False,6.37,13.98,0.41,24.27,60.87,0.53,4.72,-0.07,12.47,23.05,0.08,24.25,59.8,0.72,0.11,5.13,27.66,30.88,0.0,0.0,15.63,58.91,-0.68,0.32,9.3.2,11.0.0,11.0.0,12.4.0,12.6.1,11.0.0,11.0.0,11.0.0,9.3.2,9.3.2,11.0.0,12.4.0,12.4.0,11.0.0,11.0.0,9.3.2,11.0.0,11.0.0,11.0.0,11.0.0,12.4.0,12.4.0,11.0.0,11.0.0,11.0.0
