model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets,dansk,scala_da,scandiqa_da,nordjylland_news,danske_talemaader,danish_citizen_tests,hellaswag_da,swerec,suc3,scala_sv,scandiqa_sv,swedn,mmlu_sv,hellaswag_sv,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,no_sammendrag,mmlu_no,hellaswag_no,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,swedn_version,mmlu_sv_version,hellaswag_sv_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,mmlu_no_version,hellaswag_no_version,speed_version
"merge-crew/da-sv-dare-ties-density-0.9 (few-shot, val)",2.86,5.24,7242,32,32768,2442.55,True,True,53.73,45.61,17.08,61.18,66.14,60.58,57.89,16.45,76.38,46.61,34.16,63.5,66.77,29.77,25.38,49.4,48.24,61.5,24.12,13.2,69.52,64.56,26.21,17.0,10.0.1,10.0.1,10.0.1,10.0.1,12.6.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1
Geotrend/bert-base-da-cased,2.87,999.0,104,23,512,15432.35,True,False,32.06,62.76,30.95,42.36,,,,,62.18,74.13,36.93,41.94,,,,32.73,87.52,82.66,36.41,30.37,49.9,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"meta-llama/Llama-2-70b-chat-hf (few-shot, val)",2.87,5.24,68977,32,4096,1979.03,True,False,50.66,52.22,23.57,61.94,67.13,69.26,46.4,39.72,64.52,55.91,23.85,65.82,67.57,37.6,31.78,55.12,60.21,62.99,27.12,6.82,69.99,65.11,32.3,34.43,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
KBLab/megatron-bert-base-swedish-cased-125k,2.9,999.0,135,64,512,15762.86,True,False,36.31,53.93,23.46,34.34,,,,,75.85,79.29,70.43,44.01,,,,33.88,77.98,75.0,24.23,18.18,30.08,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"merge-crew/da-sv-dare-ties-density-0.6 (few-shot, val)",2.9,5.24,7242,32,32768,2514.54,True,True,49.59,46.03,12.72,61.58,65.24,59.88,59.51,16.86,78.74,45.12,19.74,65.22,66.41,31.24,22.3,54.93,47.26,59.35,9.0,5.26,68.0,64.25,21.89,15.32,10.0.1,10.0.1,10.0.1,10.0.1,12.6.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1
"merge-crew/da-sv-task-arithmetic (few-shot, val)",2.9,5.24,7242,32,32768,2500.05,True,True,51.51,46.06,27.68,62.26,66.62,68.64,66.17,23.95,76.62,47.28,33.23,64.62,66.68,29.95,31.12,55.87,49.69,61.78,2.99,-1.29,68.17,64.94,28.26,25.83,10.0.1,10.0.1,10.0.1,10.0.1,12.6.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1
"merge-crew/da-sv-ties (few-shot, val)",2.9,5.24,7242,32,32768,2457.19,True,True,51.95,45.39,13.25,62.73,66.33,57.16,60.06,13.62,76.57,48.36,20.94,63.87,66.59,31.44,26.04,44.46,47.61,60.57,23.99,11.6,69.07,64.59,27.13,15.65,10.0.1,10.0.1,10.0.1,10.0.1,12.6.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1
ZurichNLP/unsup-simcse-xlm-roberta-base,2.9,999.0,278,250,512,34520.24,True,False,45.07,65.1,26.83,35.05,,,,,71.12,75.49,36.69,38.9,,,,49.62,86.56,80.57,38.45,11.38,47.61,,,,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.7.0
Nexusflow/Starling-LM-7B-beta (few-shot),2.9,4.2,7242,32,8192,5875.95,False,False,51.75,53.2,32.72,65.36,67.46,59.78,58.63,50.74,77.49,60.38,29.32,65.84,65.75,36.05,51.15,55.48,66.22,64.14,26.13,17.32,77.08,65.32,29.72,46.78,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
"merge-crew/da-sv-slerp (few-shot, val)",2.91,5.24,7242,32,32768,2467.48,True,True,51.75,45.94,28.04,62.03,66.65,68.88,64.81,23.63,76.53,46.57,33.43,64.53,66.76,28.89,30.36,56.07,49.67,61.11,3.81,-1.29,68.18,64.97,28.63,25.43,10.0.1,10.0.1,10.0.1,10.0.1,12.6.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1
intfloat/multilingual-e5-base,2.91,999.0,278,250,512,14965.0,True,False,49.88,68.7,44.2,45.91,,,,,76.06,79.02,50.19,46.62,,,,54.61,88.26,81.37,50.35,22.15,45.47,,,,0.0.0,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
ibm-granite/granite-3.0-8b-base (few-shot),2.91,5.24,8171,49,4097,5116.13,True,False,47.16,44.58,19.2,63.32,65.64,32.05,47.42,28.73,75.92,44.8,24.84,62.01,63.65,26.71,30.43,53.27,49.94,52.17,17.22,12.01,69.52,63.01,24.31,30.34,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
ibm-granite/granite-3.0-8b-instruct (few-shot),2.92,5.24,8171,49,4096,5090.05,True,False,49.31,44.92,10.14,63.24,66.02,33.71,43.55,21.34,76.78,44.94,16.96,63.13,65.09,26.57,24.62,51.36,53.79,56.13,6.83,8.09,73.03,62.4,24.55,26.71,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
ltg/norbert3-small,2.94,999.0,41,50,508,13515.41,True,False,39.34,67.89,50.9,39.58,,,,,63.8,74.22,37.77,35.81,,,,51.36,90.02,86.52,67.29,56.67,63.28,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
flax-community/nordic-roberta-wiki,2.97,999.0,125,50,512,16226.52,True,False,34.45,60.82,41.89,31.55,,,,,61.11,72.9,55.05,33.6,,,,36.27,85.42,78.92,48.07,29.81,1.08,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
KBLab/bert-base-swedish-cased-new,2.98,999.0,135,64,512,15932.9,True,False,38.46,59.37,4.61,28.47,,,,,76.04,79.99,73.52,35.83,,,,33.94,83.23,79.16,9.56,4.16,33.72,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Twitter/twhin-bert-base,2.98,999.0,279,250,512,11513.72,True,False,42.17,60.01,29.43,34.82,,,,,66.62,70.17,46.72,35.79,,,,37.02,84.11,77.22,35.42,6.87,36.16,,,,0.0.0,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
meta-llama/Llama-2-13b-chat-hf (few-shot),2.99,5.24,13016,32,4096,2849.49,True,False,45.41,44.0,16.17,63.94,66.88,45.21,51.06,16.5,77.19,49.9,14.67,63.72,66.25,24.4,19.3,38.93,57.21,59.62,8.65,5.92,69.24,65.12,23.88,22.33,12.10.4,12.10.5,12.10.4,12.11.0,12.11.0,12.10.4,12.10.4,12.10.4,12.10.4,12.10.5,12.10.4,12.11.0,12.11.0,12.10.4,12.10.4,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,12.11.0,12.11.0,12.10.4,12.10.4,12.10.4
google/gemma-7b (few-shot),3.0,5.24,8538,256,8192,1377.83,True,False,46.55,19.59,32.64,64.81,66.63,74.32,65.58,24.74,77.72,43.68,36.25,64.23,64.44,39.94,25.96,41.82,26.43,32.66,25.82,20.16,75.16,64.02,39.96,27.82,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.10.0,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.10.0
distilbert/distilbert-base-multilingual-cased,3.03,999.0,135,120,512,26354.74,True,False,32.53,58.12,35.53,32.96,,,,,59.66,70.08,33.71,36.44,,,,33.16,83.62,80.69,36.1,30.1,30.04,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
google/gemma-2-2b-it (few-shot),3.04,5.24,2614,256,8193,5373.87,True,False,47.11,28.22,19.99,58.49,66.73,52.85,52.74,29.94,75.84,35.61,15.62,58.65,65.16,27.0,31.43,46.84,35.56,37.7,17.15,14.38,63.79,64.58,23.02,33.13,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
CohereForAI/aya-expanse-8b (few-shot),3.05,3.05,8028,256,8192,5581.05,False,False,52.0,51.32,18.48,62.08,66.18,41.32,52.24,37.67,78.43,57.38,14.52,63.0,65.69,37.32,38.28,38.61,66.55,63.63,15.8,12.3,71.49,64.48,36.48,35.85,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
Geotrend/distilbert-base-25lang-cased,3.05,999.0,109,85,512,26098.8,True,False,31.81,58.44,34.13,32.18,,,,,60.69,70.56,30.83,36.45,,,,33.19,83.59,80.29,32.6,24.97,30.69,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Geotrend/distilbert-base-en-no-cased,3.06,999.0,69,33,512,26597.05,True,False,32.95,57.53,33.63,32.05,,,,,59.53,69.28,29.36,35.34,,,,32.32,83.93,79.39,36.15,30.17,30.26,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Geotrend/distilbert-base-en-fr-de-no-da-cased,3.06,999.0,76,42,512,26081.06,True,False,31.3,58.78,34.92,32.53,,,,,59.83,69.94,29.82,36.2,,,,32.66,83.49,80.23,33.65,29.07,29.94,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Geotrend/distilbert-base-en-da-cased,3.07,999.0,69,33,512,26196.27,True,False,31.89,59.5,36.0,33.19,,,,,59.42,69.62,29.01,36.82,,,,29.37,83.27,79.59,31.5,24.06,29.69,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
clips/mfaq,3.07,999.0,278,250,128,5591.18,True,False,45.6,68.49,28.26,18.6,,,,,73.32,76.31,32.29,19.52,,,,52.91,89.46,79.71,27.55,15.2,17.38,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
meta-llama/Llama-3.2-3B (few-shot),3.07,5.24,3213,128,131073,3713.14,True,False,38.9,41.13,9.6,62.25,63.35,45.46,46.77,12.19,77.76,51.06,5.88,62.93,62.73,27.05,13.3,39.96,49.57,52.13,3.2,3.72,68.67,58.99,21.88,14.24,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
Mabeck/Heidrun-Mistral-7B-chat (few-shot),3.07,4.2,7242,32,32768,5821.93,False,False,42.79,50.8,23.25,65.47,67.5,66.61,64.8,29.18,77.5,55.06,17.47,64.58,64.18,31.04,23.57,49.19,61.41,59.49,15.17,10.78,73.08,64.22,27.64,25.74,10.0.1,10.0.1,10.0.1,12.5.0,12.6.1,10.0.1,11.0.0,10.0.1,10.0.1,10.0.1,10.0.1,12.5.0,12.5.0,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,12.5.0,12.5.0,10.0.1,10.0.1,10.0.1
ibm-granite/granite-8b-code-base-4k (few-shot),3.08,5.24,8055,49,4096,2312.61,True,False,39.07,48.44,9.72,56.54,63.93,33.11,18.96,9.03,74.45,59.77,3.97,56.07,62.61,14.34,7.4,42.0,68.4,65.15,5.2,3.32,60.94,61.27,12.42,8.32,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
meta-llama/Llama-3.2-3B-Instruct (few-shot),3.08,5.24,3213,128,131073,10423.76,False,False,42.77,41.12,11.52,60.18,65.19,49.78,45.88,21.89,76.98,43.74,16.01,57.83,64.98,29.44,22.42,44.13,49.66,51.98,0.67,1.11,56.91,60.5,26.82,20.98,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
meta-llama/Llama-2-7b-hf (few-shot),3.08,5.24,6738,32,4096,930.05,True,False,43.91,31.77,0.31,63.54,65.5,20.18,35.69,7.93,79.05,44.11,7.34,63.16,64.63,15.65,8.74,41.74,42.13,43.8,0.0,0.02,66.18,62.3,14.48,6.49,9.2.0,9.2.0,9.2.0,12.5.1,12.6.1,10.0.1,10.0.1,9.2.0,9.2.0,9.2.0,9.2.0,12.5.1,12.0.0,9.2.0,9.2.0,9.2.0,9.2.0,9.2.0,9.2.0,9.2.0,12.5.1,11.0.0,9.2.0,9.2.0,12.9.0
Geotrend/distilbert-base-da-cased,3.09,999.0,61,23,512,28949.94,True,False,32.13,58.36,34.75,32.16,,,,,58.47,69.25,29.8,35.37,,,,30.7,82.84,78.83,34.24,27.2,26.22,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"birgermoell/Flashback-Bellman (few-shot, val)",3.09,5.24,7242,32,32768,2887.36,False,True,48.21,47.71,19.55,61.69,65.46,61.29,60.29,28.33,78.29,55.29,18.45,63.83,67.54,29.44,37.45,53.24,56.44,66.56,11.96,2.5,64.09,64.96,26.64,31.14,9.3.1,9.3.1,9.3.1,12.5.2,12.6.1,10.0.1,10.0.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.2,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.2,9.3.1,9.3.1,9.3.1,9.3.1
ibm-granite/granite-3.0-2b-instruct (few-shot),3.09,5.24,2634,49,4097,10193.87,True,False,41.86,41.79,11.86,59.28,64.86,29.55,26.2,3.64,72.76,45.23,11.25,59.36,61.56,18.14,6.77,39.87,52.68,53.17,12.08,7.18,61.0,62.24,15.78,9.98,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
"birgermoell/BeagleCatMunin-Flashback-Bellman (few-shot, val)",3.11,5.24,7242,32,32768,2890.1,False,True,52.3,50.4,21.3,63.79,66.25,65.32,64.76,33.7,76.99,52.96,14.27,64.87,67.62,27.95,36.11,52.7,53.96,63.45,14.87,2.48,67.26,65.23,27.42,36.05,9.3.1,9.3.1,9.3.1,12.5.2,12.6.1,10.0.1,10.0.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.2,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.2,9.3.1,9.3.1,9.3.1,9.3.1
"RJuro/munin-neuralbeagle-SkoleGPTOpenOrca-7b (few-shot, val)",3.11,4.2,7242,32,32768,3007.6,False,True,43.41,50.83,19.72,64.53,66.77,72.92,68.11,40.62,72.04,59.36,22.38,64.06,65.13,29.81,35.59,47.78,53.68,61.92,0.91,1.24,70.99,64.23,28.59,42.57,9.3.2,9.3.2,9.3.2,12.5.2,12.6.1,10.0.1,10.0.1,9.3.2,9.3.2,9.3.2,9.3.2,12.5.2,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,12.5.2,9.3.2,9.3.2,9.3.2,9.3.2
"birgermoell/Rapid-Cycling (few-shot, val)",3.11,5.24,7242,32,32768,2345.88,False,True,51.25,49.99,20.66,62.4,65.58,67.48,63.69,32.11,77.72,53.66,16.22,64.72,67.57,27.24,32.04,50.41,55.93,63.85,15.74,2.23,65.65,65.1,26.34,34.85,9.3.2,9.3.2,9.3.2,12.5.2,12.6.1,10.0.1,10.0.1,9.3.2,9.3.2,9.3.2,9.3.2,12.5.2,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,12.5.2,9.3.2,9.3.2,9.3.2,9.3.2
"merge-crew/da-sv-dare-ties-density-0.3 (few-shot, val)",3.11,5.24,7242,32,32768,2460.88,True,True,48.49,30.16,5.52,57.22,64.24,43.57,35.6,6.76,75.33,32.37,12.73,58.32,64.74,15.6,9.81,38.98,35.98,47.39,11.54,5.2,56.56,61.99,10.4,2.52,10.0.1,10.0.1,10.0.1,10.0.1,12.6.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1
google-bert/bert-base-multilingual-cased,3.12,999.0,178,120,512,14083.03,True,False,32.38,63.17,27.93,44.06,,,,,61.78,76.29,47.74,46.07,,,,35.87,88.72,83.08,44.22,39.55,53.62,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
ibm-granite/granite-8b-code-instruct-4k (few-shot),3.12,5.24,8055,49,4096,5616.81,True,False,37.11,45.9,11.7,55.71,63.86,32.44,7.46,5.62,73.93,52.85,8.27,54.5,60.98,13.69,5.68,40.71,66.91,62.82,9.5,6.74,55.3,60.59,11.35,6.21,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
google-bert/bert-base-multilingual-uncased,3.13,999.0,167,106,512,13992.5,True,False,33.5,64.92,46.75,41.77,,,,,63.3,70.85,48.97,42.69,,,,37.28,82.9,77.33,49.41,43.58,54.01,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
danish-foundation-models/munin-7b-v0.1dev0 (few-shot),3.13,5.24,7242,32,8192,6112.86,True,False,36.47,39.12,26.76,64.41,67.89,91.32,79.92,24.76,73.05,47.1,30.29,63.51,64.69,27.4,21.08,39.21,50.43,54.2,20.51,11.66,73.95,65.46,28.97,25.41,12.4.0,12.5.2,12.4.0,12.4.0,12.4.0,12.4.0,12.4.0,12.4.0,12.4.0,12.5.2,12.4.0,12.4.0,12.4.0,12.4.0,12.4.0,12.4.0,12.5.2,12.5.2,12.4.0,12.4.0,12.4.0,12.4.0,12.4.0,12.4.0,12.5.0
meta-llama/Llama-2-7b-chat-hf (few-shot),3.13,5.24,6738,32,4096,2643.05,False,False,44.88,35.44,9.74,61.34,66.15,32.17,35.74,11.32,66.18,39.72,6.74,60.9,65.92,17.73,12.85,41.56,44.99,49.09,3.04,4.03,61.99,63.59,14.81,12.69,9.3.1,9.3.1,9.3.1,12.4.0,12.6.1,10.0.1,10.0.1,9.3.1,9.3.1,9.3.1,9.3.1,12.4.0,12.4.0,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.4.0,12.4.0,9.3.1,9.3.1,9.3.1
"birgermoell/WestLake-Munin-Cat-NorskGPT (few-shot, val)",3.14,5.24,7242,32,32768,2856.11,False,True,44.02,51.85,1.22,64.09,67.69,68.45,65.51,42.09,73.72,63.85,-0.56,66.26,68.11,27.79,42.43,58.28,63.33,68.84,18.65,10.72,70.76,65.94,26.61,46.64,9.3.1,9.3.1,9.3.1,12.5.2,12.6.1,10.0.1,10.0.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.2,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.2,9.3.1,9.3.1,9.3.1,9.3.1
"birgermoell/Munin-NeuralBeagle-NorskGPT (few-shot, val)",3.14,5.24,7242,32,32768,2902.56,False,True,44.02,51.85,1.22,64.09,67.69,68.45,65.51,42.09,73.72,63.85,-0.56,66.26,68.11,27.79,42.43,58.28,63.33,68.84,18.65,10.72,70.76,65.94,26.61,46.64,9.3.1,9.3.1,9.3.1,12.5.2,12.6.1,10.0.1,10.0.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.2,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.2,9.3.1,9.3.1,9.3.1,9.3.1
DDSC/roberta-base-scandinavian,3.14,999.0,125,50,512,14490.87,True,False,44.48,43.9,30.37,33.71,,,,,72.28,58.84,37.61,35.43,,,,46.74,71.73,79.8,8.02,17.04,42.5,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Addedk/kbbert-distilled-cased,3.16,999.0,82,50,512,29698.43,True,False,31.18,57.84,13.25,27.5,,,,,71.28,80.12,51.58,33.47,,,,33.42,81.82,75.89,14.99,13.63,0.0,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
