generative_type,model,rank,danish,norwegian,swedish,parameters,vocabulary_size,context,commercial,merge,angry_tweets,dansk,scala_da,scandiqa_da,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,swerec,suc3,scala_sv,scandiqa_sv,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version
🧠,<a href='https://huggingface.co/NorGLM/NorGPT-369M'>NorGLM/NorGPT-369M (few-shot)</a>,4.78@@4.78,4.84@@4.84,4.75@@4.75,4.75@@4.75,,64000.0,1024.0,✓,✗,2.06 ± 2.30 / 20.38 ± 2.71@@2.0649381514022203,1.13 ± 1.19 / 0.97 ± 1.03@@1.12505773973119,-0.36 ± 0.97 / 41.52 ± 4.00@@-0.3604909182368881,4.20 ± 0.61 / 0.32 ± 0.12@@4.202063933057338,3.41 ± 2.11 / 14.87 ± 2.38@@3.410078717940157,3.14 ± 2.12 / 2.91 ± 2.02@@3.143719978869018,3.00 ± 1.58 / 2.65 ± 1.41@@2.9959570986274713,0.22 ± 0.42 / 33.42 ± 0.29@@0.21632618787903388,0.27 ± 0.79 / 38.20 ± 3.48@@0.2691477648776779,2.27 ± 0.89 / 0.00 ± 0.00@@2.268170746509957,5.50 ± 4.49 / 28.77 ± 3.76@@5.497750665287675,1.47 ± 1.90 / 1.32 ± 1.69@@1.4651130481729866,-2.19 ± 1.29 / 40.52 ± 3.02@@-2.1949295825039457,4.36 ± 0.44 / 0.10 ± 0.06@@4.358786905678886,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502
🧠,<a href='https://huggingface.co/ai-forever/mGPT'>ai-forever/mGPT (few-shot)</a>,4.81@@4.81,4.85@@4.85,4.85@@4.85,4.74@@4.74,,100000.0,1024.0,✓,✗,2.61 ± 2.75 / 20.51 ± 2.48@@2.6084624247603183,0.65 ± 0.68 / 0.59 ± 0.63@@0.648821052660044,-0.73 ± 1.72 / 41.15 ± 3.71@@-0.7251190031194412,2.68 ± 1.87 / 1.99 ± 1.69@@2.683373635947206,4.76 ± 1.84 / 16.95 ± 5.07@@4.760455738328133,0.08 ± 0.16 / 0.07 ± 0.14@@0.08084074373484237,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.67 ± 1.94 / 40.42 ± 4.43@@0.6677466664735452,-0.88 ± 1.89 / 40.70 ± 4.30@@-0.8783004904139746,0.74 ± 0.05 / 0.00 ± 0.00@@0.7384715275377074,0.00 ± 0.00 / 19.32 ± 0.16@@0.0,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.49 ± 1.29 / 39.12 ± 3.92@@0.4885169045643502,7.85 ± 3.67 / 6.24 ± 3.13@@7.849832343639844,10.0.1@@100001,9.3.1@@90301,11.0.0@@110000,12.5.1@@120501,10.0.1@@100001,9.3.1@@90301,9.3.1@@90301,11.0.0@@110000,11.0.0@@110000,12.5.1@@120501,10.0.1@@100001,9.3.1@@90301,11.0.0@@110000,12.5.1@@120501
🧠,<a href='https://huggingface.co/ssmits/Falcon2-5.5B-multilingual'>ssmits/Falcon2-5.5B-multilingual (few-shot)</a>,4.91@@4.91,4.94@@4.94,4.92@@4.92,4.88@@4.88,5465415680.0,65024.0,8192.0,✓,✓,0.00 ± 0.00 / 18.12 ± 0.19@@0.0,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 33.25 ± 0.23@@0.0,0.03 ± 0.03 / 0.02 ± 0.02@@0.026536133761079623,0.00 ± 0.00 / 9.59 ± 0.29@@0.0,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 33.25 ± 0.30@@0.0,0.00 ± 0.00 / 32.79 ± 0.34@@0.0,0.09 ± 0.03 / 0.00 ± 0.00@@0.09478370406347925,0.00 ± 0.00 / 19.16 ± 0.14@@0.0,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 33.30 ± 0.27@@0.0,0.00 ± 0.00 / 0.00 ± 0.00@@0.002159800063339986,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
🧠,<a href='https://huggingface.co/Sigurdur/qa-icebreaker'>Sigurdur/qa-icebreaker (few-shot)</a>,4.91@@4.91,4.94@@4.94,4.90@@4.90,4.88@@4.88,110418432.0,32000.0,1024.0,✗,✗,0.07 ± 0.70 / 27.86 ± 0.36@@0.07176985285786364,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 33.25 ± 0.23@@0.0,0.08 ± 0.02 / 0.00 ± 0.00@@0.08447812406168635,1.00 ± 1.27 / 13.84 ± 2.10@@0.9964639956243027,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 33.25 ± 0.30@@0.0,0.00 ± 0.00 / 32.79 ± 0.34@@0.0,0.53 ± 0.06 / 0.00 ± 0.00@@0.5321373716415672,-0.10 ± 1.04 / 22.69 ± 0.52@@-0.10298707142501327,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 33.30 ± 0.27@@0.0,0.02 ± 0.01 / 0.00 ± 0.00@@0.023580169284180698,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
🧠,<a href='https://huggingface.co/Sigurdur/icebreaker'>Sigurdur/icebreaker (few-shot)</a>,4.93@@4.93,4.94@@4.94,4.92@@4.92,4.92@@4.92,110418432.0,32000.0,1024.0,✗,✗,0.00 ± 0.00 / 18.12 ± 0.19@@0.0,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 33.25 ± 0.23@@0.0,0.04 ± 0.01 / 0.00 ± 0.00@@0.04025303058364268,0.00 ± 0.00 / 9.59 ± 0.29@@0.0,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 33.25 ± 0.30@@0.0,0.00 ± 0.00 / 32.79 ± 0.34@@0.0,0.47 ± 0.03 / 0.00 ± 0.00@@0.4679794782661645,-3.60 ± 3.63 / 20.29 ± 1.99@@-3.5965171926442183,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 33.30 ± 0.27@@0.0,0.05 ± 0.03 / 0.00 ± 0.00@@0.04545076082730548,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
🔍,<a href='https://huggingface.co/KBLab/roberta-base-swedish-cased'>KBLab/roberta-base-swedish-cased</a>,-@@100,-@@100,-@@100,-@@100,125980419.0,52000.0,512.0,✓,✗,29.75 ± 1.78 / 51.42 ± 2.00@@29.75037531158908,-@@-1,11.90 ± 4.80 / 52.36 ± 4.24@@11.896826553774009,-@@-1,24.86 ± 1.57 / 39.65 ± 1.46@@24.863694269814577,79.24 ± 1.34 / 75.79 ± 1.35@@79.2421471599026,73.74 ± 1.08 / 69.83 ± 1.22@@73.74151090436038,17.30 ± 3.31 / 57.52 ± 1.66@@17.299443414169208,9.79 ± 4.47 / 52.07 ± 3.65@@9.790394094560014,-@@-1,66.73 ± 0.95 / 63.29 ± 2.21@@66.72824991846436,75.78 ± 1.02 / 69.88 ± 1.12@@75.77823229660854,59.64 ± 1.57 / 78.93 ± 0.73@@59.64240471953215,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0
🧠,<a href='https://huggingface.co/timpal0l/dolphin-2.9-llama3-8b-flashback'>timpal0l/dolphin-2.9-llama3-8b-flashback (few-shot)</a>,-@@100,-@@100,-@@100,-@@100,8030261248.0,128256.0,8192.0,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
🔍,<a href='https://huggingface.co/KBLab/electra-small-swedish-cased-discriminator'>KBLab/electra-small-swedish-cased-discriminator</a>,-@@100,-@@100,-@@100,-@@100,16084355.0,50325.0,512.0,✓,✗,21.48 ± 1.76 / 39.08 ± 2.35@@21.480013606526864,-@@-1,26.99 ± 2.37 / 62.28 ± 0.96@@26.991412371335148,-@@-1,24.46 ± 1.06 / 40.08 ± 0.71@@24.463662369180422,66.04 ± 3.77 / 62.41 ± 3.57@@66.0365780159144,65.43 ± 1.33 / 60.89 ± 1.33@@65.42811095992566,23.54 ± 1.78 / 60.01 ± 1.30@@23.539816409120107,15.53 ± 3.71 / 55.47 ± 3.76@@15.525518910276576,-@@-1,62.59 ± 1.26 / 56.06 ± 1.13@@62.58627220451465,66.70 ± 2.34 / 61.57 ± 2.40@@66.70417212742186,67.85 ± 0.55 / 83.34 ± 0.33@@67.84855151348853,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0
🧠,<a href='https://huggingface.co/RJuro/munin-neuralbeagle-7b'>RJuro/munin-neuralbeagle-7b (few-shot)</a>,-@@100,-@@100,-@@100,-@@100,7241732096.0,32000.0,4096.0,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
🔍,<a href='https://huggingface.co/KBLab/bert-base-swedish-cased-alpha'>KBLab/bert-base-swedish-cased-alpha</a>,-@@100,-@@100,-@@100,-@@100,124445187.0,50002.0,512.0,✓,✗,26.78 ± 1.90 / 48.51 ± 2.47@@26.776348070242584,-@@-1,18.84 ± 5.73 / 58.47 ± 2.90@@18.841685170690454,-@@-1,29.81 ± 2.15 / 43.25 ± 1.57@@29.812821305471797,79.97 ± 1.07 / 76.61 ± 1.24@@79.96581698844828,72.17 ± 0.85 / 68.12 ± 1.10@@72.17389407284497,23.05 ± 3.40 / 58.49 ± 2.66@@23.052574414323985,17.52 ± 3.51 / 57.06 ± 2.97@@17.516288244367825,-@@-1,73.13 ± 0.96 / 71.48 ± 2.57@@73.1273740259607,80.03 ± 1.27 / 74.19 ± 1.57@@80.03213760236785,72.31 ± 1.20 / 85.67 ± 0.74@@72.30561552888945,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0
📝,<a href='https://huggingface.co/RJuro/munin-neuralbeagle-SkoleGPTOpenOrca-7b'>RJuro/munin-neuralbeagle-SkoleGPTOpenOrca-7b (few-shot)</a>,-@@100,-@@100,-@@100,-@@100,7241748480.0,32002.0,4096.0,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
🔍,<a href='https://huggingface.co/FacebookAI/xlm-mlm-17-1280'>FacebookAI/xlm-mlm-17-1280</a>,-@@100,-@@100,-@@100,-@@100,571500803.0,200000.0,512.0,✓,✗,23.48 ± 3.40 / 44.84 ± 3.52@@23.475502252673785,-@@-1,2.35 ± 2.28 / 46.66 ± 3.09@@2.350386603460601,-@@-1,15.79 ± 4.92 / 36.60 ± 3.01@@15.785061205544856,-@@-1,-@@-1,3.09 ± 2.67 / 42.92 ± 3.71@@3.0916936319337918,2.60 ± 1.01 / 47.08 ± 4.15@@2.6006103835550953,-@@-1,59.61 ± 6.35 / 60.69 ± 4.72@@59.60800502625523,-@@-1,32.58 ± 12.13 / 63.79 ± 7.40@@32.576143698356056,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0,-@@0,<9.2.0@@0,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0
🔍,<a href='https://huggingface.co/thenlper/gte-base'>thenlper/gte-base</a>,-@@100,-@@100,-@@100,-@@100,109484547.0,30522.0,512.0,✓,✗,27.50 ± 2.17 / 47.23 ± 3.71@@27.49954820431157,-@@-1,2.66 ± 1.84 / 47.50 ± 2.84@@2.656466626111629,-@@-1,20.21 ± 1.94 / 37.93 ± 1.05@@20.211780929276877,51.20 ± 1.84 / 51.56 ± 1.77@@51.19687238176899,47.15 ± 1.35 / 47.41 ± 1.30@@47.14584608558027,1.00 ± 1.33 / 49.48 ± 1.17@@1.0002446807941652,1.36 ± 1.96 / 47.74 ± 2.14@@1.362196045397983,-@@-1,60.29 ± 1.45 / 56.28 ± 2.38@@60.28835490311293,28.68 ± 8.10 / 27.43 ± 7.85@@28.675189174811194,2.67 ± 1.22 / 50.23 ± 0.76@@2.6659755012742448,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0
🔍,<a href='https://huggingface.co/FacebookAI/xlm-mlm-100-1280'>FacebookAI/xlm-mlm-100-1280</a>,-@@100,-@@100,-@@100,-@@100,571500803.0,200000.0,512.0,✓,✗,30.69 ± 4.27 / 52.07 ± 3.96@@30.694699933279395,-@@-1,25.09 ± 12.58 / 58.09 ± 8.16@@25.0852059722543,-@@-1,33.06 ± 4.99 / 48.15 ± 3.41@@33.06024044148782,-@@-1,-@@-1,26.99 ± 11.79 / 60.56 ± 6.83@@26.990201131085517,7.26 ± 2.07 / 49.84 ± 3.25@@7.258512876017396,-@@-1,61.89 ± 4.02 / 61.89 ± 4.33@@61.891316447771906,-@@-1,36.65 ± 11.81 / 66.24 ± 6.62@@36.64647739770942,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0,-@@0,<9.2.0@@0,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0
🔍,<a href='https://huggingface.co/pere/roberta-debug-8'>pere/roberta-debug-8</a>,-@@100,-@@100,-@@100,-@@100,277455362.0,250002.0,514.0,✓,✗,-@@-1,-@@-1,-@@-1,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,14.3.0@@140300,-@@0,-@@0,-@@0,-@@0,-@@0,14.3.0@@140300,-@@0,-@@0,-@@0,-@@0
🔍,<a href='https://huggingface.co/pere/roberta-debug-32'>pere/roberta-debug-32</a>,-@@100,-@@100,-@@100,-@@100,277455362.0,250002.0,514.0,✓,✗,-@@-1,-@@-1,-@@-1,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,14.4.0@@140400,-@@0,-@@0,-@@0,-@@0,-@@0,14.3.0@@140300,-@@0,-@@0,-@@0,-@@0
🔍,<a href='https://huggingface.co/pere/roberta-base-exp-8'>pere/roberta-base-exp-8</a>,-@@100,-@@100,1.92@@1.92,-@@100,278045186.0,250002.0,514.0,✓,✗,-@@-1,-@@-1,-@@-1,-@@-1,49.26 ± 3.65 / 60.83 ± 5.32@@49.26474674676741,86.96 ± 0.95 / 87.21 ± 0.89@@86.9593767113533,81.95 ± 1.31 / 83.56 ± 1.12@@81.94641981328012,54.72 ± 16.82 / 73.96 ± 10.86@@54.71504764116754,56.17 ± 11.02 / 74.28 ± 8.65@@56.16804010938592,49.08 ± 3.55 / 35.98 ± 3.30@@49.08473554893536,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,-@@0,-@@0,-@@0,-@@0
🔍,<a href='https://huggingface.co/pere/roberta-base-exp-32'>pere/roberta-base-exp-32</a>,-@@100,-@@100,1.93@@1.93,-@@100,278045186.0,250002.0,514.0,✓,✗,-@@-1,-@@-1,-@@-1,-@@-1,54.19 ± 2.81 / 66.96 ± 3.79@@54.19398713881575,89.86 ± 1.35 / 89.67 ± 1.36@@89.85859332316888,85.91 ± 0.81 / 87.02 ± 0.57@@85.9064584654624,55.82 ± 13.65 / 74.96 ± 8.44@@55.82373984633493,47.90 ± 16.56 / 70.52 ± 9.97@@47.89718455089396,41.54 ± 9.20 / 30.19 ± 6.67@@41.54135063485275,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,-@@0,-@@0,-@@0,-@@0
🔍,<a href='https://huggingface.co/pere/nb-roberta-base-scandinavian-long'>pere/nb-roberta-base-scandinavian-long</a>,-@@100,-@@100,-@@100,-@@100,124647939.0,50265.0,512.0,✓,✗,40.71 ± 1.48 / 59.29 ± 1.86@@40.71276915518645,-@@-1,52.05 ± 9.20 / 74.77 ± 4.76@@52.0460544006473,-@@-1,48.17 ± 1.52 / 62.07 ± 2.22@@48.174672431874185,86.03 ± 1.30 / 82.51 ± 1.34@@86.02909920314661,82.69 ± 1.79 / 78.79 ± 1.82@@82.68987445183782,64.02 ± 2.42 / 80.90 ± 1.69@@64.02136037352713,53.43 ± 10.63 / 75.89 ± 5.55@@53.42793317083452,-@@-1,67.99 ± 1.13 / 65.00 ± 3.31@@67.98684865191923,70.83 ± 1.59 / 64.97 ± 1.70@@70.82863175903665,60.13 ± 0.96 / 79.47 ± 0.78@@60.13307111604739,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0
🔍,<a href='https://huggingface.co/pdelobelle/robbert-v2-dutch-base'>pdelobelle/robbert-v2-dutch-base</a>,-@@100,-@@100,-@@100,-@@100,116764419.0,40000.0,512.0,✓,✗,29.75 ± 1.68 / 52.53 ± 1.20@@29.75426276232177,-@@-1,2.21 ± 1.34 / 48.56 ± 2.17@@2.206616326970699,-@@-1,19.12 ± 4.18 / 37.47 ± 3.42@@19.117517944623387,67.30 ± 1.55 / 65.28 ± 1.79@@67.29779631161878,63.58 ± 2.49 / 59.94 ± 2.59@@63.57522588815135,0.45 ± 1.67 / 45.13 ± 3.10@@0.4457528226407239,1.48 ± 1.68 / 46.67 ± 2.59@@1.482132267542028,-@@-1,53.95 ± 2.73 / 52.13 ± 1.40@@53.95245931448216,57.82 ± 1.19 / 53.74 ± 1.03@@57.82275131977689,1.16 ± 1.80 / 48.26 ± 1.50@@1.1578450385152916,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0
🔍,<a href='https://huggingface.co/FacebookAI/roberta-base'>FacebookAI/roberta-base</a>,-@@100,-@@100,-@@100,-@@100,124647939.0,50265.0,512.0,✓,✗,29.27 ± 3.00 / 51.00 ± 3.94@@29.26908156951865,-@@-1,1.18 ± 1.48 / 40.35 ± 4.04@@1.183648353007184,-@@-1,17.25 ± 4.57 / 34.91 ± 3.73@@17.25404560703941,75.97 ± 2.00 / 73.25 ± 2.35@@75.96878036498642,67.89 ± 2.17 / 63.94 ± 2.11@@67.88806021015941,2.95 ± 1.93 / 44.03 ± 4.72@@2.9493481033019733,1.30 ± 1.85 / 41.87 ± 4.06@@1.3009414307921565,-@@-1,53.74 ± 3.02 / 52.22 ± 1.67@@53.74417518634609,65.03 ± 1.31 / 60.30 ± 1.25@@65.03148269107027,2.67 ± 1.29 / 38.57 ± 3.00@@2.6688831459737097,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0
🔍,<a href='https://huggingface.co/KennethEnevoldsen/dfm-sentence-encoder-large-1'>KennethEnevoldsen/dfm-sentence-encoder-large-1</a>,-@@100,1.57@@1.57,-@@100,-@@100,407389520.0,50000.0,512.0,✓,✗,51.44 ± 2.19 / 67.20 ± 1.47@@51.435168817872814,70.44 ± 1.80 / 66.28 ± 1.53@@70.43554979156565,70.42 ± 4.59 / 84.06 ± 2.72@@70.41767872588662,51.96 ± 1.29 / 46.01 ± 1.18@@51.96084021420114,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
📝,<a href='https://huggingface.co/Qwen/Qwen1.5-7B-Chat'>Qwen/Qwen1.5-7B-Chat (few-shot)</a>,-@@100,-@@100,-@@100,-@@100,7721324544.0,151936.0,32768.0,✗,✗,31.65 ± 4.03 / 51.95 ± 2.76@@31.645447003923383,-@@-1,-@@-1,-@@-1,40.00 ± 2.40 / 56.24 ± 2.03@@39.99980090293142,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,69.51 ± 1.97 / 72.49 ± 1.03@@69.50921551434662,-@@-1,-@@-1,-@@-1,12.10.0@@121000,-@@0,-@@0,-@@0,12.10.0@@121000,-@@0,-@@0,-@@0,-@@0,-@@0,12.10.0@@121000,-@@0,-@@0,-@@0
🔍,<a href='https://huggingface.co/DeepPavlov/rubert-base-cased'>DeepPavlov/rubert-base-cased</a>,-@@100,-@@100,-@@100,-@@100,177855747.0,119547.0,512.0,✓,✗,26.41 ± 1.45 / 49.24 ± 1.23@@26.41082081506922,-@@-1,3.84 ± 2.52 / 43.36 ± 4.13@@3.840807692775241,-@@-1,21.34 ± 2.21 / 38.12 ± 2.10@@21.336788068894595,74.82 ± 1.33 / 72.02 ± 1.41@@74.82153123755401,72.52 ± 1.87 / 68.79 ± 2.23@@72.51731544528397,5.21 ± 3.54 / 45.00 ± 5.24@@5.211913970787658,3.00 ± 2.36 / 43.58 ± 2.74@@3.0041269754503337,-@@-1,54.68 ± 2.31 / 52.79 ± 1.54@@54.682959893677804,63.07 ± 1.74 / 58.18 ± 1.69@@63.07206495729047,6.15 ± 2.42 / 49.78 ± 2.07@@6.1542886605451885,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0
🧠,<a href='https://huggingface.co/KennethEnevoldsen/munin_mistral-7b'>KennethEnevoldsen/munin_mistral-7b (few-shot)</a>,-@@100,-@@100,-@@100,-@@100,7241732096.0,32000.0,4096.0,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
🧠,<a href='https://huggingface.co/syvai/llama3-da-base'>syvai/llama3-da-base (few-shot)</a>,-@@100,2.27@@2.27,-@@100,-@@100,8030261248.0,128256.0,8192.0,✓,✗,48.24 ± 1.79 / 60.75 ± 1.99@@48.241520026496055,50.00 ± 1.63 / 35.34 ± 3.29@@50.00386378316502,25.59 ± 2.31 / 54.46 ± 3.86@@25.590331231792078,66.38 ± 0.47 / 60.49 ± 0.61@@66.38486509781515,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,65.10 ± 3.95 / 39.93 ± 3.83@@65.10493829774919,-@@-1,-@@-1,-@@-1,65.11 ± 0.86 / 59.19 ± 1.10@@65.10674203447135,14.1.2@@140102,14.0.3@@140003,14.1.2@@140102,14.3.0@@140300,-@@0,-@@0,-@@0,-@@0,-@@0,14.3.0@@140300,-@@0,-@@0,-@@0,14.3.0@@140300
🔍,<a href='https://huggingface.co/NbAiLab/nb-roberta-base-scandinavian'>NbAiLab/nb-roberta-base-scandinavian</a>,-@@100,-@@100,-@@100,-@@100,124647939.0,50265.0,512.0,✓,✗,40.71 ± 1.48 / 59.29 ± 1.86@@40.71276915518645,-@@-1,52.05 ± 9.20 / 74.77 ± 4.76@@52.0460544006473,-@@-1,48.17 ± 1.52 / 62.07 ± 2.22@@48.174672431874185,86.03 ± 1.30 / 82.51 ± 1.34@@86.02909920314661,82.69 ± 1.79 / 78.79 ± 1.82@@82.68987445183782,64.02 ± 2.42 / 80.90 ± 1.69@@64.02136037352713,53.43 ± 10.63 / 75.89 ± 5.55@@53.42793317083452,-@@-1,67.99 ± 1.13 / 65.00 ± 3.31@@67.98684865191923,70.83 ± 1.59 / 64.97 ± 1.70@@70.82863175903665,60.13 ± 0.96 / 79.47 ± 0.78@@60.13307111604739,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0
📝,"syvai/danskgpt-chat-llama3-70b (few-shot, val)</a>",-@@100,1.34@@1.34,-@@100,-@@100,70553706496.0,128258.0,8221.0,✓,✗,62.78 ± 3.01 / 75.05 ± 1.92@@62.78235921911367,65.40 ± 1.90 / 54.29 ± 1.61@@65.40462845026147,57.88 ± 3.35 / 78.50 ± 3.07@@57.88288623025409,68.23 ± 1.77 / 62.24 ± 2.43@@68.22587743498049,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,12.10.0@@121000,12.10.0@@121000,12.10.0@@121000,12.10.0@@121000,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
