model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets_primary,angry_tweets_secondary,dansk_primary,dansk_secondary,scala_da_primary,scala_da_secondary,scandiqa_da_primary,scandiqa_da_secondary,nordjylland_news_primary,nordjylland_news_secondary,danske_talemaader_primary,danske_talemaader_secondary,danish_citizen_tests_primary,danish_citizen_tests_secondary,hellaswag_da_primary,hellaswag_da_secondary,swerec_primary,swerec_secondary,suc3_primary,suc3_secondary,scala_sv_primary,scala_sv_secondary,scandiqa_sv_primary,scandiqa_sv_secondary,swedn_primary,swedn_secondary,mmlu_sv_primary,mmlu_sv_secondary,hellaswag_sv_primary,hellaswag_sv_secondary,norec_primary,norec_secondary,norne_nb_primary,norne_nb_secondary,norne_nn_primary,norne_nn_secondary,scala_nb_primary,scala_nb_secondary,scala_nn_primary,scala_nn_secondary,norquad_primary,norquad_secondary,no_sammendrag_primary,no_sammendrag_secondary,mmlu_no_primary,mmlu_no_secondary,hellaswag_no_primary,hellaswag_no_secondary,hotter_and_colder_sentiment_primary,hotter_and_colder_sentiment_secondary,mim_gold_ner_primary,mim_gold_ner_secondary,scala_is_primary,scala_is_secondary,nqii_primary,nqii_secondary,rrn_primary,rrn_secondary,arc_is_primary,arc_is_secondary,winogrande_is_primary,winogrande_is_secondary,fosent_primary,fosent_secondary,fone_primary,fone_secondary,scala_fo_primary,scala_fo_secondary,foqa_primary,foqa_secondary,dutch_social_primary,dutch_social_secondary,conll_nl_primary,conll_nl_secondary,scala_nl_primary,scala_nl_secondary,squad_nl_primary,squad_nl_secondary,wiki_lingua_nl_primary,wiki_lingua_nl_secondary,mmlu_nl_primary,mmlu_nl_secondary,hellaswag_nl_primary,hellaswag_nl_secondary,sb10k_primary,sb10k_secondary,germeval_primary,germeval_secondary,scala_de_primary,scala_de_secondary,germanquad_primary,germanquad_secondary,mlsum_primary,mlsum_secondary,mmlu_de_primary,mmlu_de_secondary,hellaswag_de_primary,hellaswag_de_secondary,sst5_primary,sst5_secondary,conll_en_primary,conll_en_secondary,scala_en_primary,scala_en_secondary,squad_primary,squad_secondary,cnn_dailymail_primary,cnn_dailymail_secondary,mmlu_primary,mmlu_secondary,hellaswag_primary,hellaswag_secondary,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,swedn_version,mmlu_sv_version,hellaswag_sv_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,mmlu_no_version,hellaswag_no_version,hotter_and_colder_sentiment_version,mim_gold_ner_version,scala_is_version,nqii_version,rrn_version,arc_is_version,winogrande_is_version,fosent_version,fone_version,scala_fo_version,foqa_version,dutch_social_version,conll_nl_version,scala_nl_version,squad_nl_version,wiki_lingua_nl_version,mmlu_nl_version,hellaswag_nl_version,sb10k_version,germeval_version,scala_de_version,germanquad_version,mlsum_version,mmlu_de_version,hellaswag_de_version,sst5_version,conll_en_version,scala_en_version,squad_version,cnn_dailymail_version,mmlu_version,hellaswag_version,speed_version
"claude-3-5-haiku-20241022 (zero-shot, val)",2.81,3.27,,,200000,276.86,True,False,56.46,71.07,59.48,42.21,20.57,49.85,57.7,38.23,64.38,13.19,53.54,64.3,69.09,77.89,21.03,36.45,59.89,62.05,57.06,38.72,9.3,35.59,58.05,39.97,65.29,14.61,16.34,28.83,0.0,23.16,3.97,32.77,69.39,47.1,62.76,42.75,31.65,54.96,5.86,38.81,66.51,36.65,62.53,10.78,16.62,27.77,2.63,22.23,31.19,43.32,34.99,17.39,-10.68,33.95,46.35,23.65,66.12,15.71,9.0,20.47,0.0,59.3,-3.58,14.94,51.06,30.27,4.1,37.28,72.97,45.29,12.71,30.22,61.15,43.6,35.26,59.55,68.96,41.27,64.93,13.88,8.55,28.32,10.69,31.29,43.73,61.91,55.59,31.16,23.74,45.75,50.29,21.36,62.97,11.18,16.53,28.83,-1.78,25.27,31.19,44.96,74.35,63.12,21.76,59.95,74.84,45.7,67.96,18.65,28.8,39.84,42.52,53.63,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.2,14.0.2,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.2,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.2,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.2,14.0.3,14.0.3,14.0.3,14.0.2,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.2,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.2,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.1
occiglot/occiglot-7b-eu5-instruct (few-shot),2.82,2.98,7242.0,32.0,32768,2087.8,False,False,42.31,59.29,40.19,29.73,1.14,33.83,63.95,57.89,66.68,22.38,44.3,57.0,48.76,65.51,15.44,35.82,71.73,74.97,47.67,36.91,7.9,41.24,64.48,57.78,65.07,19.59,25.52,43.68,14.06,35.12,44.46,62.0,45.5,40.02,45.96,41.28,0.0,33.41,0.0,33.86,74.97,52.19,63.95,16.91,20.61,39.79,16.18,36.19,14.7,36.09,40.71,34.57,0.71,36.9,45.91,20.66,65.25,19.09,5.35,28.11,0.35,51.16,8.21,27.79,60.37,59.38,0.0,33.26,60.55,43.69,7.78,24.33,53.78,41.29,16.23,55.09,73.88,63.09,66.46,19.49,28.37,45.81,15.25,35.83,43.16,57.79,52.63,42.99,27.09,60.29,63.29,34.01,69.43,29.48,32.56,49.02,23.61,41.55,62.1,68.81,56.9,51.16,20.17,54.76,86.48,75.29,69.63,25.61,38.48,53.32,27.67,43.61,12.2.0,12.5.2,12.3.1,12.4.0,12.6.1,12.3.1,12.3.1,12.3.1,12.2.0,12.5.2,12.3.1,12.4.0,12.4.0,12.3.1,12.3.1,12.2.0,12.5.2,12.5.2,12.3.1,12.3.1,12.4.0,12.4.0,12.3.1,12.3.1,13.3.0,12.5.2,12.3.1,12.4.0,12.4.0,12.10.8,12.3.1,13.3.0,12.5.2,12.3.1,13.0.0,12.2.0,12.5.2,12.3.1,12.4.0,12.4.0,12.3.1,12.3.1,12.2.0,12.5.2,12.3.1,12.4.0,12.4.0,12.3.1,12.3.1,12.2.0,12.5.2,12.3.1,12.4.0,12.4.0,12.3.1,12.3.1,12.3.1
ibm-granite/granite-8b-code-instruct-4k (few-shot),2.82,3.52,8055.0,49.0,4096,5616.81,True,False,37.11,56.47,45.9,33.0,11.7,50.31,55.71,50.11,63.86,18.38,32.44,46.63,7.46,39.41,5.62,28.71,73.93,73.97,52.85,35.11,8.27,43.29,54.5,48.49,60.98,16.18,13.69,33.34,5.68,27.99,40.71,59.35,66.91,54.98,62.82,53.14,9.5,46.31,6.74,42.1,55.3,32.83,60.59,12.74,11.35,32.01,6.21,29.05,2.54,17.05,43.2,32.1,0.0,33.69,38.21,14.28,49.66,7.97,3.07,25.74,2.79,47.97,21.59,40.68,60.46,58.29,0.51,36.2,49.02,33.54,12.38,29.91,60.72,45.52,10.96,47.97,61.75,51.2,63.23,16.22,15.26,35.76,4.03,27.17,43.62,59.82,54.45,42.36,15.24,55.49,51.82,26.0,66.68,24.8,15.81,36.18,9.6,31.31,61.61,67.09,72.59,65.83,18.37,56.26,78.95,66.68,68.41,24.66,24.14,42.17,14.42,34.5,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
Twitter/twhin-bert-large,2.83,999.0,561.0,250.0,512,9706.97,True,False,39.36,58.64,66.39,62.24,7.06,49.71,38.42,33.88,,,,,,,,,63.35,60.33,74.26,68.2,16.07,52.48,41.72,36.77,,,,,,,34.17,43.74,86.26,83.48,80.1,76.17,12.11,50.33,4.28,45.75,16.38,11.74,,,,,,,32.07,50.25,71.48,73.71,2.2,43.42,33.02,8.19,,,,,,,-0.64,22.47,84.73,85.19,1.37,39.78,5.74,4.15,6.55,28.68,77.35,82.5,18.25,54.0,36.84,28.37,,,,,,,53.52,68.49,74.36,73.61,22.26,58.51,22.54,11.68,,,,,,,45.98,49.81,89.5,89.39,30.58,61.93,59.47,48.44,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.7.0
Geotrend/distilbert-base-25lang-cased,2.84,999.0,109.0,85.0,512,26098.8,True,False,31.81,53.25,58.44,55.32,34.13,65.98,32.18,27.6,,,,,,,,,60.69,56.69,70.56,64.49,30.83,63.39,36.45,31.41,,,,,,,33.19,46.63,83.59,80.55,80.29,76.08,32.6,65.19,24.97,61.39,30.69,19.93,,,,,,,29.56,50.69,65.76,68.15,2.08,48.68,30.96,6.81,,,,,,,3.9,25.25,83.21,83.81,2.37,48.46,2.54,1.35,7.45,29.7,75.02,81.57,45.28,71.89,27.86,20.18,,,,,,,41.51,60.79,72.97,71.83,45.39,71.6,6.88,1.89,,,,,,,36.77,45.15,87.08,87.08,37.1,67.2,37.98,26.99,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
occiglot/occiglot-7b-eu5 (few-shot),2.86,3.07,7242.0,32.0,32768,2219.46,True,False,44.62,62.62,37.93,29.5,0.28,33.48,62.89,58.05,66.05,21.82,38.54,53.57,45.89,63.14,12.38,33.54,76.56,78.16,49.02,41.69,2.18,36.26,63.65,58.98,64.42,18.79,23.68,42.15,14.05,34.81,44.95,61.88,45.28,41.73,46.0,42.96,0.0,33.41,0.0,33.86,66.65,43.88,63.26,16.04,20.87,39.98,13.1,34.2,15.49,34.45,40.08,37.15,1.59,39.93,39.67,15.98,62.55,15.26,5.98,28.18,-0.51,47.23,13.6,34.63,58.67,58.47,0.0,33.26,55.82,40.95,7.41,26.93,51.31,42.95,13.04,53.54,69.67,59.28,64.66,18.22,27.12,44.36,13.99,34.45,47.3,62.28,51.39,44.47,21.83,57.05,60.39,31.55,69.31,28.27,32.49,48.82,22.25,40.28,63.32,68.5,55.37,51.08,18.92,57.96,83.46,72.38,68.61,23.48,37.04,52.33,23.54,40.78,12.1.0,12.5.2,12.1.0,12.1.0,12.6.1,12.1.0,12.1.0,12.2.0,12.1.0,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.2.0,12.1.0,12.5.2,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.2.0,13.3.0,12.5.2,12.1.0,12.1.0,12.1.0,12.10.8,12.2.0,13.3.0,12.5.2,12.1.0,13.0.0,12.1.0,12.5.2,12.1.0,12.1.0,12.1.0,12.2.0,12.2.0,12.1.0,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.2.0,12.1.0,12.5.2,12.1.0,12.1.0,12.1.0,12.2.0,12.2.0,12.2.0
meta-llama/Llama-2-7b-chat-hf (few-shot),2.9,3.19,6738.0,32.0,4096,2643.05,False,False,44.88,62.35,35.44,24.63,9.74,47.42,61.34,55.04,66.15,19.69,32.17,46.67,35.74,55.18,11.32,32.24,66.18,72.0,39.72,29.85,6.74,45.55,60.9,54.05,65.92,18.51,17.73,37.55,12.85,33.37,41.56,57.09,44.99,38.59,49.09,39.09,3.04,36.81,4.03,40.55,61.99,33.77,63.59,14.15,14.81,34.79,12.69,31.84,13.59,36.87,41.1,40.54,-1.07,44.83,39.51,16.13,62.3,13.28,3.16,27.4,1.84,43.79,13.24,38.49,59.77,56.97,-0.54,36.94,46.21,31.87,10.07,35.66,50.23,37.12,14.73,54.59,66.24,53.42,67.59,18.45,20.19,39.24,11.42,32.5,46.52,63.64,50.09,38.59,15.23,55.08,56.07,25.54,67.62,23.52,20.12,39.48,13.98,34.07,62.23,68.09,62.53,53.42,22.71,60.79,80.79,64.45,69.95,25.22,30.47,46.82,30.18,45.85,9.3.1,9.3.1,9.3.1,12.4.0,12.6.1,10.0.1,10.0.1,9.3.1,9.3.1,9.3.1,9.3.1,12.4.0,12.4.0,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.4.0,12.4.0,9.3.1,9.3.1,13.3.0,9.3.1,9.3.1,12.4.0,12.4.0,12.10.8,12.1.0,13.3.0,9.3.1,9.3.1,13.0.0,9.3.1,9.3.1,9.3.1,12.4.0,12.4.0,9.3.1,9.3.1,12.9.0,12.9.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,9.3.1,9.3.1,9.3.1,12.4.0,12.4.0,9.3.1,9.3.1,9.3.1
MaLA-LM/emma-500-llama2-7b (few-shot),3.09,3.77,6738.0,32.0,4096,6275.17,True,False,29.32,41.08,28.18,24.25,2.9,37.93,62.92,56.48,53.81,9.42,27.86,43.42,34.62,55.21,4.73,27.77,75.64,76.06,41.49,38.09,0.66,33.73,63.85,57.48,55.94,13.29,10.56,31.45,5.03,28.41,32.67,44.37,36.96,34.68,39.38,37.06,2.18,38.05,5.33,44.3,67.75,45.23,51.44,8.37,9.35,30.22,4.85,27.55,19.61,33.96,31.81,29.47,3.63,44.49,46.83,16.72,58.72,13.71,12.62,34.51,3.43,44.56,14.19,28.15,40.18,39.95,0.31,41.35,60.78,41.6,8.77,25.31,36.61,31.91,3.52,35.34,70.33,59.51,54.5,15.01,14.9,35.2,7.26,29.91,26.39,36.06,32.33,30.2,1.44,33.6,54.13,28.15,58.62,13.54,14.94,35.44,8.7,31.09,64.82,67.11,47.2,44.0,7.57,45.83,83.56,73.88,67.34,21.61,16.59,35.35,11.97,32.72,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
ibm-granite/granite-3.0-3b-a800m-instruct (few-shot),3.11,3.38,3374.0,49.0,4096,10246.27,True,False,31.44,48.96,37.37,26.81,5.27,40.63,55.05,48.41,63.82,18.09,18.25,38.38,19.54,46.35,2.64,26.88,68.96,72.76,40.68,24.33,4.77,43.64,56.63,49.73,60.93,14.76,13.55,34.97,5.27,27.92,32.29,51.91,44.89,34.93,48.08,34.39,7.49,47.79,4.65,45.75,47.59,26.37,59.77,11.96,11.54,32.89,3.42,26.93,5.07,27.01,23.14,23.09,0.18,33.93,36.1,14.15,60.8,10.79,2.86,26.61,-1.31,50.29,7.44,28.9,45.56,42.78,0.92,40.29,31.49,20.82,9.45,39.66,49.25,36.48,11.87,47.32,67.04,54.2,64.77,16.74,21.52,40.76,22.32,39.89,48.28,64.07,47.31,31.36,14.08,52.67,55.92,28.37,61.97,19.06,22.99,41.98,20.06,38.69,65.92,70.47,52.79,43.45,16.74,55.45,80.88,64.92,65.5,21.9,33.84,50.07,49.84,61.87,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
sentence-transformers/quora-distilbert-multilingual,3.15,999.0,135.0,120.0,512,26458.45,True,False,36.6,56.93,54.48,52.85,8.84,51.76,19.76,13.97,,,,,,,,,68.36,63.94,65.5,59.72,14.81,55.5,22.88,16.11,,,,,,,44.59,59.87,77.81,74.83,72.22,68.32,8.98,52.49,5.72,50.4,0.0,0.0,,,,,,,33.1,52.77,63.36,65.24,1.02,47.05,27.44,6.48,,,,,,,9.77,32.64,82.91,83.43,1.67,46.2,0.0,0.0,23.25,44.88,67.89,74.48,21.36,59.5,9.94,4.5,,,,,,,49.66,66.33,64.12,62.5,0.58,49.27,0.36,0.05,,,,,,,50.69,50.9,81.71,82.33,2.16,49.99,11.99,4.19,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
ibm-granite/granite-3b-code-base-2k (few-shot),3.16,4.09,3483.0,49.0,2048,2731.51,True,False,35.47,52.7,38.62,27.71,5.07,43.91,50.96,45.21,62.5,15.45,13.46,33.24,15.31,43.65,6.0,29.24,70.61,60.47,51.76,41.73,6.24,46.34,50.56,44.67,41.31,7.2,7.41,30.14,5.42,29.15,23.83,45.39,53.93,48.95,54.04,49.74,3.91,42.54,1.55,40.63,12.14,2.37,50.59,7.28,8.68,31.15,6.19,29.29,5.15,21.1,38.52,28.84,0.0,33.69,36.06,12.94,58.58,12.91,2.11,27.8,-4.75,50.4,6.24,31.19,60.88,60.02,-0.35,34.5,29.79,18.54,12.39,30.05,50.88,39.51,3.31,37.97,58.85,48.44,52.5,10.11,9.22,31.06,4.45,28.26,41.72,60.45,49.38,42.66,7.67,46.66,30.21,13.7,45.88,8.3,8.73,31.46,6.18,29.78,61.2,61.92,60.64,55.14,7.63,46.39,80.15,69.83,56.62,13.8,16.29,36.25,10.37,32.6,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
ibm-granite/granite-3b-code-instruct-2k (few-shot),3.2,3.9,3483.0,49.0,2048,9058.91,True,False,31.54,50.61,37.21,27.74,6.3,49.09,51.51,44.86,61.56,13.64,17.92,37.22,10.79,40.86,1.7,26.14,65.67,64.0,50.1,42.8,4.55,45.11,49.35,42.83,45.16,11.84,7.58,28.54,3.79,27.39,26.21,43.33,53.78,49.41,55.14,51.07,3.9,43.86,2.42,41.58,45.77,24.86,57.11,10.81,10.36,29.64,5.85,27.84,0.6,16.42,33.57,33.47,0.0,33.69,33.54,11.27,49.32,8.01,1.37,25.57,-4.04,50.55,3.8,28.41,56.88,57.68,-0.21,34.2,24.11,13.72,10.15,22.01,48.53,38.2,4.88,38.78,56.09,45.38,59.56,15.2,7.38,29.6,2.69,25.85,35.17,51.15,49.16,40.34,9.79,50.77,45.9,22.48,60.81,15.92,6.89,28.82,4.79,28.4,59.01,62.37,58.3,53.45,10.33,53.28,75.93,65.04,67.46,23.04,14.1,34.24,10.67,32.66,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,3.21,999.0,118.0,250.0,512,29200.68,True,False,44.48,63.11,56.75,53.43,26.74,62.19,25.53,17.89,,,,,,,,,72.19,67.88,66.5,59.99,28.75,63.3,23.08,15.91,,,,,,,47.53,62.73,78.31,74.65,72.13,67.28,26.92,61.93,14.63,56.24,0.0,0.0,,,,,,,31.32,51.09,62.44,64.98,1.91,46.54,27.48,3.69,,,,,,,6.35,29.58,82.24,82.84,2.84,50.47,0.0,0.0,0.0,24.33,59.61,67.02,-0.04,48.65,9.04,3.28,,,,,,,54.99,70.0,60.54,59.68,0.52,49.4,7.76,0.8,,,,,,,53.1,51.88,77.5,78.82,-0.35,48.74,9.98,3.13,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0,12.8.0,12.8.0,12.8.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking,3.24,999.0,135.0,120.0,512,33753.4,True,False,36.6,56.93,54.48,52.85,8.84,51.76,21.36,15.42,,,,,,,,,68.33,64.03,65.5,59.72,14.81,55.5,22.88,16.11,,,,,,,44.59,59.87,77.81,74.83,72.22,68.32,8.98,52.49,5.72,50.4,0.0,0.0,,,,,,,33.1,52.77,59.15,61.27,0.8,45.59,28.02,6.14,,,,,,,9.77,32.64,82.91,83.43,1.67,46.2,0.0,0.0,17.4,39.25,65.04,70.94,-0.95,49.0,9.5,3.94,,,,,,,49.69,66.32,63.78,62.34,0.74,48.97,0.2,0.02,,,,,,,50.69,50.9,81.71,82.33,2.16,49.99,11.93,4.16,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0,12.8.0,12.8.0,12.8.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
dbmdz/bert-base-historic-multilingual-cased,3.25,999.0,111.0,32.0,512,20046.97,True,False,24.17,43.75,47.61,45.91,8.14,51.78,30.51,25.19,,,,,,,,,64.25,63.62,68.83,63.29,28.62,59.33,34.26,28.78,,,,,,,25.68,41.65,68.63,64.83,67.7,63.7,6.73,48.2,3.35,47.52,34.64,22.57,,,,,,,24.79,45.25,56.62,59.34,-1.21,47.43,29.08,6.01,,,,,,,0.9,26.49,80.45,81.32,2.52,47.78,1.12,0.58,9.29,30.73,56.69,68.42,3.02,50.08,31.59,22.14,,,,,,,37.77,58.2,65.35,63.62,16.07,54.09,16.63,5.67,,,,,,,12.42,33.8,77.64,79.56,13.65,53.84,45.71,33.29,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0,12.8.0,12.8.0,12.8.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
