model,nlu_rank,parameters,vocabulary_size,context,speed,commercial,merge,fosent_primary,fosent_secondary,fone_primary,fone_secondary,scala_fo_primary,scala_fo_secondary,foqa_primary,foqa_secondary,fosent_version,fone_version,scala_fo_version,foqa_version,speed_version
google/rembert,3.55,576.0,250.0,512,11735.9,True,False,0.04,17.28,87.35,87.65,14.65,46.36,48.41,36.1,13.3.0,0.0.0,0.0.0,13.0.0,12.7.0
CohereForAI/aya-23-8B (few-shot),3.56,8028.0,256.0,8192,5607.73,False,False,25.58,44.11,62.22,58.79,0.01,37.74,54.7,38.7,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0
ZurichNLP/unsup-simcse-xlm-roberta-base,3.58,278.0,250.0,512,34520.24,True,False,21.2,43.97,84.14,84.82,1.33,48.85,22.95,14.2,13.3.0,12.6.1,12.6.1,13.0.0,12.7.0
jonfd/electra-small-nordic,3.59,22.0,96.0,128,5989.23,True,False,-0.16,22.65,85.8,86.58,30.88,63.79,0.0,0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
AI-Sweden-Models/roberta-large-1160k,3.61,355.0,50.0,512,14014.08,True,False,6.42,24.34,88.24,88.48,1.73,42.32,47.03,35.08,13.3.0,10.0.1,10.0.1,13.0.0,12.10.0
Nexusflow/Starling-LM-7B-beta (few-shot),3.61,7242.0,32.0,4096,1628.91,False,False,26.68,47.94,62.2,45.92,7.07,44.94,31.8,11.97,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4
intfloat/multilingual-e5-base,3.67,278.0,250.0,512,14965.0,True,False,10.97,30.74,87.44,88.01,7.38,47.69,22.12,14.8,13.3.0,12.6.1,12.6.1,13.0.0,0.0.0
mideind/IceBERT-large,3.67,355.0,50.0,512,5676.95,True,False,2.92,25.1,86.84,87.51,9.82,50.49,30.11,21.19,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
ibm-granite/granite-8b-code-instruct-4k (few-shot),3.7,8055.0,49.0,4096,5616.81,True,False,21.59,40.68,60.46,58.29,0.51,36.2,49.02,33.54,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0
mideind/IceBERT-ic3,3.7,124.0,50.0,512,12118.55,True,False,15.94,37.27,87.22,87.92,6.23,48.55,4.35,2.98,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
Geotrend/bert-base-25lang-cased,3.7,151.0,85.0,512,13908.28,True,False,5.17,26.72,86.09,86.85,15.24,50.54,22.99,14.82,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
vesteinn/XLMR-ENIS,3.72,124.0,50.0,512,10711.0,True,False,15.11,38.19,87.09,87.71,3.09,39.41,8.73,5.75,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
mideind/IceBERT,3.72,124.0,50.0,512,16697.4,True,False,8.64,29.8,86.5,87.11,10.13,47.31,8.28,5.35,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
FacebookAI/xlm-roberta-large,3.77,561.0,250.0,512,17896.69,True,False,5.14,22.03,87.85,88.21,1.17,40.94,39.88,27.72,13.3.0,0.0.0,0.0.0,13.0.0,12.7.0
bineric/NorskGPT-Llama-7B-v0.1 (few-shot),3.77,6738.0,32.0,4096,5384.08,False,False,21.25,40.72,53.38,53.04,0.46,44.83,51.25,35.99,13.3.0,12.5.2,12.3.2,13.0.0,12.3.2
meta-llama/Llama-3.2-3B-Instruct (few-shot),3.79,3213.0,128.0,131073,10423.76,False,False,13.76,33.66,58.24,47.44,1.77,45.44,64.71,45.13,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0
timpal0l/Mistral-7B-v0.1-flashback-v2 (few-shot),3.8,7242.0,32.0,32768,5053.68,True,False,15.18,36.01,58.96,52.2,0.0,33.26,54.89,39.2,13.3.0,12.5.3,12.5.3,13.0.0,12.5.3
