model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,scandisent_fi,turku_ner_fi,scala_fi,tydiqa_fi,xlsum_fi,hellaswag_fi,scandisent_fi_version,turku_ner_fi_version,scala_fi_version,tydiqa_fi_version,xlsum_fi_version,hellaswag_fi_version
<a href='https://huggingface.co/Twitter/twhin-bert-large'>Twitter/twhin-bert-large</a>,🔍,-@@100,561713298.0,250002.0,512.0,✓,✗,75.72 ± 4.48 / 87.69 ± 2.40@@75.71641973347856,71.19 ± 1.98 / 71.30 ± 1.77@@71.1926485666336,3.09 ± 1.39 / 44.19 ± 4.26@@3.0862550126730848,41.46 ± 3.45 / 24.92 ± 3.00@@41.461014194148596,-@@-1,0.73 ± 4.47 / 25.63 ± 3.34@@0.7263311534400211,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0@@151000
fresh-electra-small,🔍,-@@100,13738755.0,32000.0,128.0,✓,✗,67.08 ± 2.03 / 83.32 ± 0.93@@67.0754264277457,1.81 ± 0.63 / 2.21 ± 0.88@@1.8077776584107579,0.31 ± 0.45 / 33.42 ± 0.26@@0.3080926832081833,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,-@@-1,2.52 ± 2.93 / 26.89 ± 1.94@@2.519657066638173,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,-@@0,15.10.1.dev0@@151001
<a href='https://huggingface.co/EuropeanParliament/EUBERT'>EuropeanParliament/EUBERT</a>,🔍,-@@100,93990500.0,65636.0,512.0,✓,✗,67.01 ± 3.43 / 83.42 ± 1.74@@67.00576903952073,33.03 ± 2.60 / 35.44 ± 3.32@@33.02995302187951,2.34 ± 1.81 / 50.56 ± 0.87@@2.335189115373546,30.74 ± 0.62 / 14.87 ± 0.98@@30.741759118545296,-@@-1,0.05 ± 2.22 / 25.21 ± 1.61@@0.048781268025410406,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0@@151000
<a href='https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct'>meta-llama/Llama-3.1-70B-Instruct (few-shot)</a>,📝,-@@100,70553706496.0,128256.0,131072.0,✓,✗,92.65 ± 0.66 / 96.30 ± 0.34@@92.65213786177011,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.9.2.dev0@@150902,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/dbmdz/bert-tiny-historic-multilingual-cased'>dbmdz/bert-tiny-historic-multilingual-cased</a>,🔍,-@@100,4624642.0,32000.0,512.0,✓,✗,46.84 ± 3.04 / 73.07 ± 1.58@@46.83574856359948,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.19 ± 1.64 / 38.57 ± 2.93@@0.19317933557394057,14.50 ± 1.40 / 1.08 ± 0.34@@14.49673898097789,-@@-1,-0.40 ± 2.67 / 24.61 ± 2.04@@-0.4013113487127051,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0.dev0@@151000
<a href='https://huggingface.co/dbmdz/bert-base-historic-multilingual-cased'>dbmdz/bert-base-historic-multilingual-cased</a>,🔍,-@@100,111243522.0,32000.0,512.0,✓,✗,71.23 ± 2.33 / 85.58 ± 1.17@@71.22725699455606,62.44 ± 1.38 / 63.31 ± 1.07@@62.436514380070584,-0.89 ± 1.78 / 43.50 ± 2.57@@-0.8886201038609175,33.80 ± 1.22 / 18.28 ± 0.94@@33.79604670533766,-@@-1,-2.50 ± 3.90 / 23.23 ± 2.82@@-2.4995112260319883,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0@@151000
<a href='https://huggingface.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,-@@100,561192082.0,250002.0,512.0,✓,✗,89.85 ± 1.08 / 94.90 ± 0.54@@89.84631455539734,83.82 ± 1.43 / 81.02 ± 1.55@@83.81964690676662,35.46 ± 14.63 / 63.21 ± 10.60@@35.45858541130084,61.43 ± 1.60 / 38.25 ± 1.72@@61.43488806147458,-@@-1,-0.27 ± 3.59 / 24.79 ± 2.67@@-0.26965665832815977,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0@@151000
<a href='https://huggingface.co/intfloat/multilingual-e5-large'>intfloat/multilingual-e5-large</a>,🔍,-@@100,559890946.0,250002.0,512.0,✓,✗,89.62 ± 2.09 / 94.75 ± 1.13@@89.6198944366649,76.08 ± 2.71 / 74.43 ± 2.03@@76.0844853614556,5.54 ± 3.39 / 49.74 ± 3.83@@5.542037111163737,49.74 ± 5.51 / 30.22 ± 4.94@@49.735918769304746,-@@-1,1.39 ± 2.77 / 26.17 ± 2.06@@1.3878431154189443,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0@@151000
<a href='https://huggingface.co/intfloat/multilingual-e5-base'>intfloat/multilingual-e5-base</a>,🔍,-@@100,278044162.0,250002.0,512.0,✓,✗,86.32 ± 0.67 / 93.14 ± 0.34@@86.32015352112742,75.76 ± 1.65 / 75.06 ± 1.39@@75.76459272745967,7.95 ± 2.75 / 51.32 ± 3.52@@7.947383768818665,48.65 ± 2.13 / 29.60 ± 2.01@@48.64659861809356,-@@-1,0.86 ± 2.70 / 25.81 ± 2.02@@0.8640509288214252,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0@@151000
<a href='https://huggingface.co/Twitter/twhin-bert-base'>Twitter/twhin-bert-base</a>,🔍,-@@100,279080594.0,250002.0,512.0,✓,✗,72.46 ± 5.58 / 86.01 ± 2.83@@72.45598655652647,68.79 ± 0.95 / 69.06 ± 0.88@@68.78867476657643,3.56 ± 1.39 / 46.83 ± 3.17@@3.562544161931881,31.16 ± 0.51 / 16.79 ± 0.51@@31.161775981302533,-@@-1,-0.11 ± 3.45 / 24.91 ± 2.57@@-0.10904810096214168,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0@@151000
fresh-xlm-roberta-base,🔍,-@@100,278885778.0,250002.0,512.0,✓,✗,60.79 ± 4.85 / 80.21 ± 2.42@@60.78797890884883,5.05 ± 2.11 / 4.51 ± 1.94@@5.0473611856636,0.89 ± 1.16 / 36.97 ± 4.57@@0.8932877862761143,13.71 ± 1.23 / 0.65 ± 0.14@@13.711686149090577,-@@-1,-0.64 ± 2.31 / 24.73 ± 1.76@@-0.6395600041264099,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,-@@0,15.10.1.dev0@@151001
<a href='https://huggingface.co/microsoft/xlm-align-base'>microsoft/xlm-align-base</a>,🔍,-@@100,277455362.0,250002.0,514.0,✓,✗,81.91 ± 1.49 / 90.94 ± 0.74@@81.9098688806557,74.90 ± 1.09 / 72.82 ± 1.35@@74.90049541654243,2.37 ± 2.25 / 44.96 ± 2.62@@2.3683069722617955,34.42 ± 0.72 / 19.33 ± 0.70@@34.42210212474757,-@@-1,0.13 ± 1.79 / 25.15 ± 1.25@@0.12953337725272823,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0@@151000
<a href='https://huggingface.co/answerdotai/ModernBERT-large'>answerdotai/ModernBERT-large</a>,🔍,-@@100,395881664.0,50368.0,8192.0,✓,✗,57.64 ± 4.42 / 78.53 ± 2.21@@57.63957273906517,34.01 ± 2.93 / 33.70 ± 3.11@@34.008198748252134,1.67 ± 0.96 / 46.06 ± 3.21@@1.6727481935139323,27.27 ± 0.56 / 12.40 ± 0.78@@27.274875470374106,-@@-1,0.41 ± 3.19 / 25.33 ± 2.30@@0.40677595002060407,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0@@151000
<a href='https://huggingface.co/answerdotai/ModernBERT-base'>answerdotai/ModernBERT-base</a>,🔍,-@@100,149655232.0,50368.0,8192.0,✓,✗,57.82 ± 3.22 / 78.80 ± 1.64@@57.82165884590149,34.68 ± 1.03 / 32.75 ± 1.28@@34.681534623071464,1.82 ± 1.81 / 47.17 ± 2.22@@1.8203355268884995,26.33 ± 0.94 / 11.97 ± 0.53@@26.333495310858247,-@@-1,-2.25 ± 2.61 / 23.29 ± 1.90@@-2.248642300162558,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0.dev0@@151000
<a href='https://huggingface.co/CohereForAI/aya-23-35B'>CohereForAI/aya-23-35B (few-shot)</a>,📝,-@@100,34980831232.0,256000.0,8192.0,✗,✗,91.41 ± 0.58 / 95.66 ± 0.30@@91.41036189464188,55.44 ± 1.51 / 26.58 ± 2.52@@55.436894168574845,7.58 ± 1.92 / 48.49 ± 3.04@@7.5775397155446385,70.92 ± 0.87 / 54.19 ± 1.08@@70.92484804199573,61.99 ± 0.53 / 9.36 ± 0.49@@61.99142172554275,-@@-1,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,-@@0
<a href='https://huggingface.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b (few-shot)</a>,🧠,-@@100,7768117248.0,256000.0,8192.0,✓,✗,92.35 ± 0.58 / 96.16 ± 0.30@@92.3456480549028,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.10.0.dev0@@151000,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct (few-shot)</a>,📝,-@@100,7768117248.0,256000.0,8192.0,✓,✗,91.54 ± 0.70 / 95.76 ± 0.35@@91.5380944074968,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.10.0.dev0@@151000,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/ZurichNLP/unsup-simcse-xlm-roberta-base'>ZurichNLP/unsup-simcse-xlm-roberta-base</a>,🔍,-@@100,277453570.0,250002.0,514.0,✓,✗,83.14 ± 1.16 / 91.55 ± 0.58@@83.1432373644871,76.22 ± 1.98 / 73.91 ± 1.70@@76.22315095497692,2.46 ± 2.61 / 47.30 ± 4.11@@2.463862659904788,33.19 ± 1.39 / 17.38 ± 1.19@@33.18644053485961,-@@-1,2.33 ± 3.13 / 26.83 ± 2.33@@2.327057563753446,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0@@151000
<a href='https://huggingface.co/BSC-LT/salamandra-2b-instruct'>BSC-LT/salamandra-2b-instruct (few-shot)</a>,📝,-@@100,2253490176.0,256000.0,8192.0,✓,✗,85.18 ± 1.00 / 92.29 ± 0.57@@85.18427686430465,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.10.0@@151000,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/cardiffnlp/twitter-xlm-roberta-base'>cardiffnlp/twitter-xlm-roberta-base</a>,🔍,-@@100,277455362.0,250002.0,514.0,✓,✗,77.74 ± 3.31 / 88.84 ± 1.68@@77.73832682590873,73.75 ± 1.19 / 72.13 ± 0.90@@73.74902047879026,0.02 ± 1.47 / 37.99 ± 4.31@@0.018786403850710245,27.25 ± 2.15 / 13.68 ± 1.68@@27.252550441722633,-@@-1,0.03 ± 2.77 / 24.91 ± 1.94@@0.03250513634627776,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0@@151000
<a href='https://huggingface.co/microsoft/mdeberta-v3-base'>microsoft/mdeberta-v3-base</a>,🔍,-@@100,278220290.0,251000.0,512.0,✓,✗,85.45 ± 1.13 / 92.70 ± 0.58@@85.44746156594786,67.54 ± 4.36 / 65.74 ± 4.74@@67.53770037414671,23.18 ± 8.54 / 56.78 ± 7.76@@23.179413485169896,51.98 ± 1.69 / 33.78 ± 1.41@@51.97500720289046,-@@-1,1.84 ± 3.09 / 26.41 ± 2.20@@1.8355159062908923,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0@@151000
