model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets_primary,angry_tweets_secondary,dansk_primary,dansk_secondary,scala_da_primary,scala_da_secondary,scandiqa_da_primary,scandiqa_da_secondary,nordjylland_news_primary,nordjylland_news_secondary,danske_talemaader_primary,danske_talemaader_secondary,danish_citizen_tests_primary,danish_citizen_tests_secondary,hellaswag_da_primary,hellaswag_da_secondary,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,speed_version
sentence-transformers/use-cmlm-multilingual,1.87,999.0,472.0,501.0,512,30230.67,True,False,48.03,65.34,69.17,65.8,55.31,76.29,47.57,42.34,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
setu4993/LaBSE,1.88,999.0,471.0,501.0,512,25417.61,True,False,46.5,64.31,71.24,66.41,52.92,75.11,45.4,40.08,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
pere/roberta-debug-32,1.88,999.0,278.0,250.0,512,14958.48,True,False,50.48,66.71,68.46,64.34,64.34,80.92,35.3,30.3,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
pere/roberta-base-exp-8,1.89,999.0,278.0,250.0,512,15112.46,True,False,49.66,66.21,68.77,64.77,60.13,78.92,37.37,32.6,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
intfloat/multilingual-e5-large-instruct,1.9,999.0,560.0,250.0,514,5947.27,True,False,55.45,69.74,69.86,65.3,31.14,63.23,52.75,45.51,,,,,,,,,13.0.0,13.0.0,13.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.0.0
intfloat/multilingual-e5-base,1.92,999.0,278.0,250.0,512,14965.0,True,False,49.88,66.06,68.7,64.05,44.2,70.33,45.91,39.9,,,,,,,,,0.0.0,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
mhenrichsen/danskgpt-chat-v2.1 (few-shot),1.95,1.88,,32.0,32768,5085.22,True,False,54.69,69.5,51.08,35.83,30.95,62.15,64.32,56.56,66.9,20.9,79.39,84.29,73.22,81.91,48.16,60.83,12.0.0,12.0.0,12.0.0,12.0.0,12.0.0,12.0.0,12.0.0,12.0.0,12.0.0
ltg/norbert3-base,1.96,999.0,124.0,50.0,512,11405.28,True,False,43.94,61.91,73.26,67.83,51.62,73.99,45.68,40.7,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Nexusflow/Starling-LM-7B-beta (few-shot),2.01,1.97,7242.0,32.0,8192,5875.95,False,False,51.75,67.38,53.2,32.89,32.72,62.53,65.36,56.44,67.46,23.35,59.78,69.68,58.63,71.72,50.74,62.79,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
pere/roberta-base-exp-32,2.02,999.0,278.0,250.0,512,15080.54,True,False,51.33,67.04,71.9,67.25,44.45,70.51,37.0,32.51,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
mistralai/Mistral-Nemo-Instruct-2407 (few-shot),2.02,2.03,12248.0,131.0,1024001,7094.98,True,False,48.97,64.19,53.95,34.84,31.78,61.53,65.53,56.44,66.24,20.0,67.09,74.85,72.87,81.97,42.77,55.61,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
