model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets_primary,angry_tweets_secondary,dansk_primary,dansk_secondary,scala_da_primary,scala_da_secondary,scandiqa_da_primary,scandiqa_da_secondary,nordjylland_news_primary,nordjylland_news_secondary,danske_talemaader_primary,danske_talemaader_secondary,danish_citizen_tests_primary,danish_citizen_tests_secondary,hellaswag_da_primary,hellaswag_da_secondary,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,speed_version
alexanderfalk/danbert-small-cased,3.63,999.0,83.0,52.0,512,30013.37,True,False,30.67,51.76,33.05,31.68,13.01,55.11,5.3,1.56,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
ibm-granite/granite-3.0-1b-a400m-base (few-shot),3.67,3.89,1385.0,49.0,4096,7808.38,True,False,17.52,27.96,16.82,14.28,1.53,36.59,44.65,40.21,60.13,11.98,0.29,24.16,0.55,35.78,-0.21,25.02,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0
jannesg/bertsson,3.68,999.0,124.0,50.0,512,15313.79,True,False,24.11,44.78,32.63,32.76,2.91,46.98,22.17,15.37,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct (few-shot),3.68,3.02,7111.0,64.0,2048,1472.78,True,False,2.85,18.05,15.35,14.74,10.99,54.07,58.22,50.51,66.38,21.48,30.9,43.86,16.81,42.03,11.08,32.13,9.2.0,9.2.0,9.2.0,12.4.0,12.6.1,10.0.1,10.0.1,9.2.0,14.0.3
state-spaces/mamba-2.8b-hf (few-shot),3.69,3.63,2768.0,50.0,32769,2721.51,True,False,10.47,19.91,17.58,15.48,1.23,36.92,49.37,42.56,62.56,17.47,2.18,24.56,4.94,38.22,1.84,26.18,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
KBLab/albert-base-swedish-cased-alpha,3.73,999.0,14.0,50.0,512,15925.14,True,False,19.79,42.09,29.9,28.27,6.15,52.04,21.55,15.96,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
sentence-transformers/distiluse-base-multilingual-cased,3.74,999.0,135.0,120.0,512,19205.51,True,False,30.13,46.78,26.96,25.63,2.01,48.79,16.49,8.25,,,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
sentence-transformers/distiluse-base-multilingual-cased-v2,3.74,999.0,135.0,120.0,512,33246.61,True,False,30.13,46.78,26.96,25.63,2.01,48.79,16.4,8.22,,,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0
3ebdola/Dialectal-Arabic-XLM-R-Base,3.83,999.0,278.0,250.0,512,12782.54,True,False,22.07,44.7,36.51,36.31,1.63,45.36,9.48,3.09,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0
Qwen/Qwen1.5-0.5B-Chat (few-shot),3.83,3.88,620.0,152.0,32768,11740.04,False,False,10.72,25.21,17.38,15.74,1.32,42.05,40.37,34.58,55.87,11.87,4.56,25.87,22.41,42.73,1.71,25.84,11.0.0,12.5.2,12.1.0,12.4.0,12.6.1,12.1.0,12.1.0,12.1.0,9.3.2
Qwen/Qwen1.5-0.5B (few-shot),3.85,3.98,620.0,152.0,32768,11371.34,True,False,8.88,24.27,19.01,17.08,0.66,37.98,38.31,32.78,55.57,8.04,7.21,29.73,16.56,42.3,0.62,25.65,10.0.1,12.5.2,12.1.0,12.1.0,12.6.1,12.1.0,12.1.0,12.1.0,9.3.2
dbmdz/bert-tiny-historic-multilingual-cased,3.94,999.0,5.0,32.0,512,78027.26,True,False,20.71,40.07,33.62,31.69,1.19,48.46,7.68,4.19,,,,,,,,,0.0.0,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
allenai/OLMo-1B (few-shot),3.95,4.47,1177.0,50.0,2049,8536.09,True,False,17.94,32.8,13.39,12.39,-2.02,40.63,26.24,23.65,48.87,5.39,-0.33,23.91,0.05,34.67,-0.08,25.21,12.1.0,12.5.2,12.1.0,12.1.0,12.6.1,12.1.0,12.1.0,12.1.0,12.1.0
NbAiLab/nb-gpt-j-6B-v2 (few-shot),4.03,4.23,6051.0,50.0,1024,2555.5,False,False,27.8,43.8,0.24,0.25,0.56,34.04,21.33,6.84,53.76,11.17,-1.83,23.94,0.99,34.1,-0.48,24.73,10.0.1,9.3.1,11.0.0,12.5.1,12.6.1,11.0.0,11.0.0,11.0.0,9.3.1
RuterNorway/Llama-2-7b-chat-norwegian (few-shot),4.13,4.04,,32.0,4096,10889.7,False,False,10.65,28.33,10.12,9.84,-0.66,33.61,28.87,26.08,56.92,8.57,0.1,26.5,4.29,35.0,-0.88,24.43,9.3.1,9.3.1,9.3.1,12.5.2,12.6.1,10.0.1,10.0.1,9.3.1,9.3.1
RabotaRu/HRBert-mini,4.14,999.0,80.0,200.0,512,54950.85,True,False,20.33,40.95,22.21,21.7,0.9,48.85,7.23,2.73,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
HuggingFaceTB/SmolLM2-360M (few-shot),4.18,4.02,362.0,49.0,8192,22023.39,True,False,3.61,19.01,12.68,12.32,1.79,36.23,32.48,28.12,56.85,10.17,-0.03,23.99,6.03,37.58,0.2,25.12,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
AI-Sweden-Models/gpt-sw3-126m-instruct (few-shot),4.21,3.8,186.0,64.0,2048,7717.03,True,False,6.37,25.43,13.98,13.46,0.41,33.31,24.27,20.46,60.87,12.82,0.53,24.39,4.72,35.76,-0.07,24.9,9.3.2,11.0.0,11.0.0,12.4.0,12.6.1,11.0.0,11.0.0,11.0.0,11.0.0
HuggingFaceTB/SmolLM2-360M-Instruct (few-shot),4.26,4.13,362.0,49.0,8192,21776.98,True,False,2.66,16.29,8.97,8.62,1.65,44.5,28.73,24.92,55.39,10.01,0.28,23.92,3.55,35.45,-0.41,25.02,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
fresh-xlm-roberta-base,4.26,999.0,278.0,250.0,512,2214.08,True,False,17.37,36.83,16.04,15.6,1.34,35.45,6.64,1.58,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1
NorwAI/NorwAI-Mistral-7B-pretrain (few-shot),4.31,4.13,7537.0,68.0,4065,3023.95,True,False,3.55,22.75,12.82,12.37,0.68,35.13,24.31,19.85,55.58,10.39,-0.11,25.69,-2.13,33.89,0.88,25.49,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5
AI-Sweden-Models/gpt-sw3-126m (few-shot),4.32,4.32,186.0,64.0,2048,8957.78,True,False,9.18,26.36,3.43,5.56,-0.22,34.2,19.46,16.64,52.34,8.84,-0.58,24.0,5.18,36.68,-1.28,24.75,9.2.0,9.2.0,9.2.0,12.5.1,12.6.1,10.0.1,10.0.1,9.2.0,9.2.0
HuggingFaceTB/SmolLM2-135M (few-shot),4.32,4.54,135.0,49.0,8192,26346.08,True,False,3.79,21.06,13.72,13.41,-0.45,39.69,17.28,14.69,47.44,6.04,-0.58,25.72,10.99,38.26,-0.51,24.79,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
RJuro/kanelsnegl-v0.2 (few-shot),4.33,3.84,7242.0,32.0,512,1373.32,True,False,4.81,19.31,0.0,0.0,0.0,33.25,30.05,0.0,61.06,12.02,0.0,24.0,0.0,35.86,0.15,25.21,10.0.1,10.0.1,10.0.1,10.0.1,12.6.1,10.0.1,10.0.1,11.0.0,11.0.0
fresh-electra-small,4.36,999.0,14.0,31.0,512,7840.02,True,False,18.61,35.23,12.87,13.23,0.3,37.84,0.0,0.0,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0
NbAiLab/nb-gpt-j-6B@sharded (few-shot),4.38,4.3,,50.0,1024,2630.15,True,False,11.0,26.09,0.36,1.82,-0.11,33.76,17.35,5.15,51.83,10.14,-0.96,23.86,3.51,35.41,0.73,25.54,10.0.1,9.3.1,10.0.1,12.5.1,12.6.1,10.0.1,10.0.1,10.0.1,9.3.1
HuggingFaceTB/SmolLM2-135M-Instruct (few-shot),4.4,3.97,135.0,49.0,8192,25602.11,True,False,2.61,18.95,12.11,11.48,0.25,39.65,16.74,14.02,56.53,8.45,1.05,26.37,10.81,38.73,-0.5,24.15,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
RJuro/kanelsnegl-v0.1 (few-shot),4.49,3.81,7242.0,32.0,510,5847.39,True,False,13.0,24.41,0.0,0.0,0.0,33.25,12.39,0.0,61.25,12.03,0.0,24.0,0.0,35.86,0.04,25.18,9.3.1,9.3.1,9.3.1,12.5.1,12.6.1,10.0.1,10.0.1,9.3.1,12.10.0
NorGLM/NorGPT-369M (few-shot),4.78,4.24,,64.0,1024,19895.92,True,False,2.06,20.38,1.13,0.97,-0.36,41.52,4.2,0.32,54.0,9.08,-2.57,23.19,3.26,29.55,-0.62,24.55,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
ai-forever/mGPT (few-shot),4.79,5.16,,100.0,2046,11734.33,True,False,2.61,20.51,0.65,0.59,-0.73,41.15,2.68,1.99,35.64,4.7,-0.61,24.71,6.94,38.18,-1.12,24.71,10.0.1,9.3.1,11.0.0,12.5.1,12.6.1,11.0.0,11.0.0,11.0.0,12.10.0
peter-sk/gpt-neox-da (few-shot),4.84,4.44,1515.0,50.0,1024,6025.33,True,False,-0.52,28.55,0.64,0.52,-0.02,36.82,2.89,0.48,50.23,6.09,0.9,26.2,4.1,33.71,0.04,25.21,10.0.1,10.0.1,10.0.1,10.0.1,12.6.1,10.0.1,10.0.1,10.0.1,10.0.1
ssmits/Falcon2-5.5B-multilingual (few-shot),4.86,4.89,5465.0,65.0,8192,7691.9,True,False,0.0,18.12,0.0,0.0,0.0,33.25,0.03,0.02,42.82,0.2,4.55,25.74,-1.17,34.84,-1.26,24.88,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
Sigurdur/icebreaker (few-shot),4.86,5.2,110.0,32.0,1024,48618.98,False,False,0.0,18.12,0.0,0.0,0.0,33.25,0.04,0.0,37.85,0.76,0.26,23.72,-0.75,34.96,-0.88,24.6,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.5.2
Sigurdur/qa-icebreaker (few-shot),4.86,999.0,110.0,32.0,1024,44888.92,False,False,0.07,27.86,0.0,0.0,0.0,33.25,0.08,0.0,30.99,0.6,,,,,,,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,12.5.2
01-ai/Yi-6B (few-shot),999.0,3.03,6061.0,64.0,4094,6435.34,True,False,,,35.08,25.02,,,60.88,55.09,64.15,18.95,34.07,50.17,33.75,54.22,13.61,34.38,0.0.0,9.3.2,0.0.0,12.5.1,12.6.1,10.0.1,10.0.1,10.0.1,12.10.0
01-ai/Yi-6B-Chat (few-shot),999.0,2.81,6061.0,64.0,4096,2278.2,False,False,42.65,59.71,,,4.77,36.03,61.05,54.79,65.34,20.13,39.59,54.6,35.08,55.47,17.62,37.35,11.0.0,0.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0
norallm/normistral-7b-scratch (few-shot),999.0,3.66,7248.0,33.0,2048,3191.78,True,False,,,,,,,,,63.19,17.04,0.58,23.87,4.6,37.09,-0.34,24.79,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,10.0.1,10.0.1,10.0.1,10.0.1
