model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,sentiment_headlines_es,conll_es,scala_es,mlqa_es,mlsum_es,mmlu_es,hellaswag_es,sentiment_headlines_es_version,conll_es_version,scala_es_version,mlqa_es_version,mlsum_es_version,mmlu_es_version,hellaswag_es_version
<a href='https://huggingface.co/CohereForAI/aya-23-35B'>CohereForAI/aya-23-35B (few-shot)</a>,📝,1.81@@1.81,34980831232.0,256000.0,8192.0,✗,✗,44.70 ± 2.80 / 61.62 ± 2.53@@44.701591733792895,61.68 ± 2.38 / 55.30 ± 1.32@@61.68482575352792,24.55 ± 1.70 / 61.38 ± 1.42@@24.554030751192016,67.90 ± 1.40 / 40.96 ± 2.87@@67.89954331942579,63.21 ± 0.18 / 17.88 ± 0.28@@63.2148172770394,37.60 ± 0.88 / 53.03 ± 0.76@@37.595172676329625,61.90 ± 2.41 / 70.77 ± 2.09@@61.90056053797268,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702
<a href='https://huggingface.co/google/gemma-2-9b-it'>google/gemma-2-9b-it (few-shot)</a>,📝,1.81@@1.81,9241705984.0,256000.0,8192.0,✓,✗,49.85 ± 1.11 / 66.55 ± 0.76@@49.85266470269901,37.01 ± 0.98 / 32.34 ± 0.87@@37.010687060521384,33.78 ± 1.38 / 59.90 ± 1.51@@33.77939703984616,63.58 ± 0.63 / 36.46 ± 1.07@@63.58340385361023,63.07 ± 0.09 / 13.64 ± 0.31@@63.0722249779501,55.11 ± 0.88 / 66.25 ± 0.67@@55.107408552001004,62.76 ± 1.18 / 71.97 ± 0.86@@62.764842559290315,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0 (few-shot)</a>,🧠,1.83@@1.83,10731524096.0,32000.0,4096.0,✓,✗,43.31 ± 3.07 / 61.48 ± 2.46@@43.30960849680407,63.94 ± 1.66 / 59.40 ± 1.27@@63.942743382759495,19.48 ± 3.25 / 59.20 ± 1.75@@19.484485180647887,70.14 ± 0.72 / 43.67 ± 2.05@@70.14087925254576,62.47 ± 0.31 / 18.36 ± 0.36@@62.47185503278161,40.40 ± 1.04 / 55.13 ± 0.78@@40.40199094964826,68.41 ± 1.08 / 75.95 ± 0.88@@68.41279134144149,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-002'>gemini/gemini-1.5-flash-002 (zero-shot, val)</a>",📝,1.84@@1.84,,256128.0,1048576.0,✓,✗,43.33 ± 2.25 / 57.09 ± 1.98@@43.333033919492365,62.74 ± 1.23 / 37.61 ± 1.15@@62.73615390659256,26.71 ± 3.42 / 55.93 ± 2.00@@26.710339694751294,57.79 ± 1.22 / 26.34 ± 1.15@@57.788503889467975,62.14 ± 0.12 / 10.95 ± 0.15@@62.138697339687496,65.82 ± 1.74 / 74.22 ± 1.30@@65.82021589572801,39.54 ± 2.47 / 50.43 ± 1.81@@39.542821415504044,15.5.0.dev0@@150500,15.6.1.dev0@@150601,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/152334H/miqu-1-70b-sf'>152334H/miqu-1-70b-sf (few-shot)</a>,📝,1.84@@1.84,68976648192.0,32000.0,32764.0,✓,✗,51.27 ± 1.60 / 67.29 ± 1.09@@51.27363147721034,59.86 ± 1.34 / 45.11 ± 2.01@@59.86121269525842,28.65 ± 2.87 / 61.92 ± 1.98@@28.647745274451374,53.72 ± 3.28 / 23.50 ± 4.42@@53.72002094643655,62.73 ± 0.69 / 11.17 ± 1.81@@62.72522195402417,37.50 ± 3.19 / 49.80 ± 2.75@@37.50314360341952,60.09 ± 7.80 / 69.17 ± 6.30@@60.09334151566084,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701
<a href='https://huggingface.co/CohereForAI/c4ai-command-r7b-12-2024'>CohereForAI/c4ai-command-r7b-12-2024 (few-shot)</a>,📝,1.88@@1.88,8028033024.0,256000.0,8192.0,✗,✗,47.95 ± 1.51 / 64.81 ± 0.99@@47.949968051356365,65.84 ± 0.66 / 48.70 ± 1.89@@65.84429888953575,25.20 ± 2.21 / 60.27 ± 2.26@@25.198107778929984,64.05 ± 0.60 / 38.14 ± 1.65@@64.05349746798605,63.16 ± 0.09 / 12.74 ± 0.23@@63.16397583097568,42.85 ± 0.94 / 56.86 ± 0.72@@42.8511020612279,40.12 ± 1.34 / 54.18 ± 1.13@@40.12324591473478,15.7.2.dev0@@150702,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT (few-shot)</a>,📝,1.89@@1.89,8030326784.0,128264.0,131072.0,✓,✗,48.28 ± 3.07 / 64.95 ± 2.14@@48.27736779463018,63.34 ± 1.47 / 59.90 ± 1.42@@63.34451060191052,25.25 ± 3.75 / 60.36 ± 2.50@@25.250940956942962,65.59 ± 0.80 / 40.09 ± 1.78@@65.59204548258565,62.77 ± 0.22 / 18.88 ± 0.62@@62.77447346976259,38.95 ± 0.70 / 53.78 ± 0.55@@38.94502822589203,44.97 ± 0.90 / 57.69 ± 0.74@@44.967486687824746,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.2@@150802
<a href='https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct (few-shot)</a>,📝,1.93@@1.93,8030261248.0,128256.0,131072.0,✓,✗,44.85 ± 2.53 / 61.15 ± 2.07@@44.84586409432206,67.97 ± 1.50 / 60.92 ± 1.65@@67.96852626982543,20.78 ± 2.87 / 58.25 ± 1.86@@20.784481464923346,56.93 ± 0.84 / 23.74 ± 2.10@@56.92574793729749,63.40 ± 0.11 / 13.86 ± 0.41@@63.404245501587866,42.59 ± 0.74 / 56.82 ± 0.58@@42.58915781308,47.78 ± 1.62 / 60.58 ± 1.19@@47.78354593268034,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/CohereForAI/aya-expanse-8b'>CohereForAI/aya-expanse-8b (few-shot)</a>,📝,1.94@@1.94,8028033024.0,256000.0,8192.0,✗,✗,49.16 ± 2.09 / 65.02 ± 1.69@@49.15872998781623,59.90 ± 1.25 / 47.48 ± 1.04@@59.89543340320632,17.95 ± 2.44 / 58.06 ± 1.46@@17.945914264149174,65.25 ± 0.85 / 37.39 ± 1.76@@65.2511003366694,63.00 ± 0.09 / 12.79 ± 0.37@@62.999868552869884,39.97 ± 0.65 / 54.89 ± 0.50@@39.97217404295322,45.39 ± 1.62 / 57.53 ± 1.27@@45.38933527866658,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
"<a href='https://platform.openai.com/docs/models/o3-mini'>o3-mini-2025-01-31 (zero-shot, val)</a>",🤔,1.94@@1.94,,,200000.0,✓,✗,44.57 ± 1.48 / 59.47 ± 1.49@@44.56761079587244,33.01 ± 2.73 / 26.80 ± 1.66@@33.01438196322205,24.94 ± 4.56 / 58.32 ± 2.48@@24.942941879119275,60.53 ± 1.24 / 29.92 ± 1.84@@60.53061694941414,61.97 ± 0.14 / 9.30 ± 0.18@@61.96635686908849,77.45 ± 1.69 / 83.05 ± 1.26@@77.45448151979744,57.44 ± 1.72 / 67.93 ± 1.26@@57.440976770539955,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,1.95@@1.95,,,1047576.0,✓,✗,48.93 ± 2.25 / 60.34 ± 1.76@@48.927813391579534,60.73 ± 1.43 / 56.84 ± 1.60@@60.72582613975045,18.01 ± 3.90 / 58.87 ± 1.91@@18.007979036213612,55.20 ± 0.94 / 24.00 ± 1.05@@55.198576183694726,62.33 ± 0.14 / 10.91 ± 0.19@@62.326012733392425,49.50 ± 1.52 / 61.41 ± 1.19@@49.50096086532964,51.81 ± 2.68 / 63.71 ± 2.02@@51.81121968467994,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/mistralai/Ministral-8B-Instruct-2410'>mistralai/Ministral-8B-Instruct-2410 (few-shot)</a>,📝,1.96@@1.96,8019808256.0,131072.0,32768.0,✓,✗,41.61 ± 2.68 / 54.42 ± 2.32@@41.60541296001314,63.60 ± 1.57 / 53.78 ± 1.74@@63.595926619466034,18.03 ± 3.35 / 43.42 ± 3.59@@18.025789594838386,65.87 ± 1.07 / 41.68 ± 0.51@@65.87308764499872,63.01 ± 0.06 / 12.11 ± 0.15@@63.00608214907697,39.49 ± 0.98 / 53.85 ± 0.73@@39.49429100758676,51.41 ± 1.05 / 61.07 ± 1.07@@51.40507592273941,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
