model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,sentiment_headlines_es,conll_es,scala_es,mlqa_es,mlsum_es,mmlu_es,hellaswag_es,sentiment_headlines_es_version,conll_es_version,scala_es_version,mlqa_es_version,mlsum_es_version,mmlu_es_version,hellaswag_es_version
<a href='https://huggingface.co/google/gemma-7b'>google/gemma-7b (few-shot)</a>,🧠,2.36@@2.36,8537680896.0,256000.0,8192.0,✓,✗,36.25 ± 2.87 / 57.06 ± 1.95@@36.25480525552353,35.58 ± 1.89 / 32.80 ± 1.36@@35.58030301003153,19.08 ± 1.10 / 57.82 ± 1.15@@19.07590632143174,65.03 ± 2.11 / 40.73 ± 3.67@@65.03114180007205,61.70 ± 0.40 / 17.65 ± 0.70@@61.70130994389182,40.67 ± 1.02 / 53.78 ± 0.76@@40.66539530812612,23.72 ± 2.69 / 38.76 ± 2.17@@23.718312160380368,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/neuralmagic/Sparse-Llama-3.1-8B-2of4'>neuralmagic/Sparse-Llama-3.1-8B-2of4 (few-shot)</a>,🧠,2.37@@2.37,8030261248.0,128256.0,131072.0,✓,✗,34.88 ± 3.54 / 54.53 ± 2.47@@34.877296691225155,51.49 ± 2.23 / 49.97 ± 1.90@@51.489512365823444,10.69 ± 2.26 / 49.86 ± 2.87@@10.685352915395637,66.04 ± 1.10 / 43.62 ± 1.03@@66.04105535691248,62.47 ± 0.32 / 18.46 ± 0.62@@62.470704487350304,28.80 ± 1.15 / 44.68 ± 1.13@@28.797906029065295,30.40 ± 2.65 / 44.58 ± 2.24@@30.400645527856618,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/google/gemma-2-2b-it'>google/gemma-2-2b-it (few-shot)</a>,📝,2.38@@2.38,2614341888.0,256000.0,8192.0,✓,✗,41.22 ± 2.81 / 57.68 ± 2.64@@41.21689613686154,37.31 ± 0.66 / 32.29 ± 0.53@@37.30593040212995,16.88 ± 2.68 / 52.75 ± 1.45@@16.87520327493777,60.20 ± 0.52 / 33.29 ± 1.42@@60.20134854365362,62.19 ± 0.52 / 11.64 ± 1.18@@62.194645388372,26.69 ± 0.85 / 45.09 ± 0.66@@26.69284171885017,36.36 ± 0.75 / 51.91 ± 0.56@@36.359048113191875,15.4.1.dev0@@150401,15.6.1.dev0@@150601,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/ibm-granite/granite-34b-code-base'>ibm-granite/granite-34b-code-base (few-shot)</a>,🧠,2.41@@2.41,33715603456.0,49152.0,8192.0,✓,✗,35.43 ± 1.93 / 50.38 ± 2.12@@35.42881763818461,64.41 ± 1.40 / 60.74 ± 1.53@@64.40893814063712,8.63 ± 2.60 / 45.96 ± 4.01@@8.629622706810276,67.74 ± 1.13 / 44.21 ± 1.55@@67.73912127171667,61.93 ± 0.26 / 18.07 ± 0.59@@61.93391220032935,18.37 ± 1.17 / 38.69 ± 0.89@@18.37274879432274,13.14 ± 1.09 / 34.04 ± 1.01@@13.139783058617565,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://huggingface.co/tiiuae/falcon-11B'>tiiuae/falcon-11B (few-shot)</a>,📝,2.41@@2.41,11102822400.0,65024.0,8192.0,✓,✗,43.53 ± 3.33 / 60.50 ± 3.00@@43.532532450081646,48.45 ± 3.02 / 43.63 ± 2.12@@48.452215806603796,25.29 ± 1.58 / 59.56 ± 1.76@@25.293808311724558,32.76 ± 5.36 / 12.52 ± 5.30@@32.76445602834538,60.84 ± 0.99 / 11.91 ± 0.76@@60.84140820938047,30.14 ± 1.16 / 47.26 ± 0.86@@30.14491640826219,27.44 ± 1.97 / 43.77 ± 1.80@@27.444958120383685,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt (few-shot)</a>,🧠,2.42@@2.42,4300079472.0,262144.0,,✓,✗,33.23 ± 3.26 / 47.76 ± 3.20@@33.225380664971816,38.78 ± 2.83 / 35.96 ± 2.66@@38.77749907219055,14.57 ± 2.82 / 53.64 ± 3.61@@14.565266958761452,63.40 ± 1.64 / 36.67 ± 3.22@@63.40194365136706,62.17 ± 0.34 / 17.09 ± 0.83@@62.1709110833035,38.83 ± 1.02 / 53.80 ± 0.78@@38.83344879772005,19.62 ± 1.16 / 38.54 ± 1.28@@19.618485770572576,15.5.0@@150500,15.6.1@@150601,15.6.0.dev0@@150600,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/meta-llama/Llama-2-70b-chat-hf'>meta-llama/Llama-2-70b-chat-hf (few-shot)</a>,📝,2.45@@2.45,68976653312.0,32000.0,4096.0,✓,✗,33.61 ± 1.42 / 46.22 ± 1.66@@33.610973101171886,60.30 ± 1.04 / 45.18 ± 1.93@@60.302769090950015,18.84 ± 1.75 / 53.73 ± 2.67@@18.84478411215539,59.27 ± 0.92 / 29.96 ± 1.61@@59.27344969348765,62.97 ± 0.07 / 12.47 ± 0.10@@62.97327874781331,15.20 ± 1.76 / 34.01 ± 1.79@@15.198508329045737,4.18 ± 2.33 / 26.75 ± 1.47@@4.1759631736043925,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701
<a href='https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.1'>mistralai/Mistral-7B-Instruct-v0.1 (few-shot)</a>,📝,2.46@@2.46,7241732096.0,32000.0,32768.0,✓,✗,41.35 ± 2.84 / 57.18 ± 2.62@@41.35388367214895,52.78 ± 2.02 / 42.80 ± 2.50@@52.77611861021294,14.11 ± 1.31 / 55.75 ± 1.05@@14.110664174016515,59.98 ± 1.39 / 35.80 ± 2.45@@59.977744874361335,62.20 ± 0.63 / 11.57 ± 1.71@@62.20196581620257,14.03 ± 1.07 / 33.82 ± 0.81@@14.031132462680219,13.55 ± 1.52 / 33.47 ± 1.58@@13.553613204274226,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/mistralai/Mistral-7B-v0.1'>mistralai/Mistral-7B-v0.1 (few-shot)</a>,🧠,2.49@@2.49,7241732096.0,32000.0,32768.0,✓,✗,27.39 ± 3.86 / 43.41 ± 2.41@@27.389111558439893,58.10 ± 2.18 / 52.95 ± 1.97@@58.101820882067656,6.59 ± 2.98 / 40.62 ± 3.58@@6.593409455277942,64.02 ± 2.29 / 40.54 ± 3.63@@64.02077792215056,62.11 ± 0.37 / 18.26 ± 0.58@@62.11102698900503,30.56 ± 0.53 / 47.56 ± 0.53@@30.558319931317957,14.66 ± 2.49 / 35.03 ± 1.77@@14.660590685399896,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/Qwen/Qwen2.5-Math-7B'>Qwen/Qwen2.5-Math-7B (few-shot)</a>,📝,2.49@@2.49,7615616512.0,152064.0,4096.0,✓,✗,40.68 ± 1.97 / 59.75 ± 1.57@@40.683696023999836,54.68 ± 1.87 / 48.83 ± 1.49@@54.67743305131646,9.62 ± 1.50 / 43.97 ± 3.77@@9.622824978640415,54.16 ± 4.13 / 30.63 ± 4.80@@54.16292607440911,58.09 ± 1.09 / 9.90 ± 1.93@@58.08587942294252,30.47 ± 1.03 / 46.54 ± 0.89@@30.474288224985745,14.94 ± 1.82 / 34.34 ± 1.80@@14.935867210375124,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1.dev0@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/ibm-granite/granite-34b-code-instruct'>ibm-granite/granite-34b-code-instruct (few-shot)</a>,📝,2.49@@2.49,33715603456.0,49152.0,8192.0,✓,✗,32.65 ± 2.75 / 49.03 ± 2.82@@32.64894024371283,62.39 ± 1.42 / 57.86 ± 1.71@@62.387173150217734,10.82 ± 1.92 / 53.93 ± 1.04@@10.82316956716954,64.12 ± 0.60 / 40.00 ± 0.79@@64.11508582589042,61.83 ± 0.29 / 13.78 ± 0.45@@61.830208983883495,18.95 ± 0.92 / 37.58 ± 0.91@@18.951987885587947,10.13 ± 0.65 / 30.22 ± 0.72@@10.134052772879471,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://huggingface.co/mistralai/Mistral-7B-v0.3'>mistralai/Mistral-7B-v0.3 (few-shot)</a>,🧠,2.50@@2.50,7248023552.0,32768.0,32768.0,✓,✗,31.21 ± 3.35 / 47.56 ± 2.65@@31.208176583705338,57.19 ± 2.01 / 53.11 ± 2.07@@57.19133620004146,4.85 ± 1.99 / 36.08 ± 2.17@@4.854978065203891,64.36 ± 1.72 / 41.29 ± 2.79@@64.36445016215343,61.92 ± 0.47 / 18.21 ± 0.62@@61.919609557808144,30.33 ± 1.20 / 47.07 ± 1.01@@30.325995602400173,15.85 ± 2.01 / 36.03 ± 1.36@@15.850018509393578,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.2'>mistralai/Mistral-7B-Instruct-v0.2 (few-shot)</a>,📝,2.54@@2.54,7241732096.0,32000.0,32768.0,✗,✗,39.56 ± 2.24 / 55.47 ± 2.09@@39.556138811309104,54.13 ± 1.89 / 46.95 ± 1.56@@54.13099514759716,14.15 ± 1.02 / 52.62 ± 2.25@@14.146871970071363,40.31 ± 2.24 / 11.38 ± 3.04@@40.30549587594878,60.44 ± 0.44 / 6.43 ± 1.23@@60.44185507475049,22.21 ± 0.99 / 39.88 ± 1.10@@22.207945636770525,24.24 ± 1.69 / 42.37 ± 1.53@@24.24360339763382,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct (few-shot)</a>,📝,2.54@@2.54,7241748480.0,32002.0,32768.0,✗,✗,47.51 ± 1.62 / 64.45 ± 1.16@@47.50505838750686,55.60 ± 2.46 / 49.58 ± 2.09@@55.60046072172704,14.09 ± 1.78 / 54.76 ± 1.67@@14.094736089912816,34.71 ± 0.56 / 0.07 ± 0.04@@34.713476247253105,62.85 ± 0.07 / 14.57 ± 0.18@@62.85249305772596,17.72 ± 1.11 / 36.67 ± 0.97@@17.716934165611985,12.74 ± 1.15 / 33.53 ± 0.88@@12.738973095313622,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5 (few-shot)</a>,🧠,2.54@@2.54,7241732096.0,32000.0,32768.0,✓,✗,35.33 ± 3.02 / 49.55 ± 3.89@@35.33414167278589,52.15 ± 2.54 / 48.88 ± 2.49@@52.149801651964665,8.66 ± 2.67 / 50.78 ± 3.37@@8.664223107023458,63.75 ± 2.64 / 39.77 ± 3.70@@63.754126537225076,62.30 ± 0.28 / 18.39 ± 0.61@@62.295049779859255,21.34 ± 0.89 / 38.19 ± 0.93@@21.340806541486305,9.21 ± 0.94 / 30.21 ± 0.88@@9.209984867017923,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.6.1@@150601
<a href='https://huggingface.co/ibm-granite/granite-20b-code-base'>ibm-granite/granite-20b-code-base (few-shot)</a>,🧠,2.57@@2.57,20066993152.0,49152.0,8192.0,✓,✗,32.26 ± 2.00 / 44.01 ± 1.96@@32.26265113650379,62.99 ± 1.73 / 58.33 ± 1.86@@62.98801517503628,6.14 ± 2.00 / 49.16 ± 2.22@@6.137809481664195,62.59 ± 1.62 / 39.31 ± 1.88@@62.58953719790422,61.57 ± 0.40 / 17.78 ± 0.67@@61.56979315957869,11.12 ± 0.62 / 33.21 ± 0.51@@11.120993125154246,9.11 ± 0.64 / 31.00 ± 0.63@@9.111288565857667,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://huggingface.co/ibm-granite/granite-8b-code-base-4k'>ibm-granite/granite-8b-code-base-4k (few-shot)</a>,🧠,2.60@@2.60,8054910976.0,49152.0,4096.0,✓,✗,37.73 ± 1.67 / 56.38 ± 1.20@@37.73444537698717,62.24 ± 1.62 / 58.12 ± 1.77@@62.24112464622997,4.53 ± 2.08 / 44.94 ± 4.03@@4.527323675268448,61.53 ± 1.82 / 38.63 ± 2.88@@61.53149970837222,61.56 ± 0.35 / 17.51 ± 0.58@@61.559385471337016,10.91 ± 0.96 / 32.90 ± 0.58@@10.912637586187387,2.56 ± 0.98 / 26.46 ± 0.82@@2.561325648314654,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/ibm-granite/granite-8b-code-instruct-4k'>ibm-granite/granite-8b-code-instruct-4k (few-shot)</a>,📝,2.61@@2.61,8054910976.0,49152.0,4096.0,✓,✗,37.42 ± 2.61 / 54.03 ± 3.30@@37.41519344961869,61.24 ± 1.92 / 56.67 ± 1.83@@61.242337400871726,6.37 ± 1.43 / 51.66 ± 1.20@@6.373797418938963,58.44 ± 1.26 / 36.87 ± 1.99@@58.43731165390368,62.19 ± 0.16 / 14.70 ± 0.46@@62.19391435442958,8.69 ± 1.21 / 31.33 ± 0.91@@8.688360092415772,3.50 ± 0.80 / 26.64 ± 0.78@@3.4972255409173503,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1.dev0@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/meta-llama/Llama-2-13b-hf'>meta-llama/Llama-2-13b-hf (few-shot)</a>,🧠,2.63@@2.63,13015866880.0,32000.0,4096.0,✓,✗,26.76 ± 4.63 / 46.63 ± 3.06@@26.757725812036803,54.73 ± 3.13 / 51.66 ± 2.99@@54.73471504189068,1.61 ± 2.11 / 33.93 ± 0.54@@1.6065369866502095,63.41 ± 1.78 / 36.54 ± 3.17@@63.409213042216095,61.94 ± 0.36 / 18.18 ± 0.78@@61.93733133681235,25.24 ± 1.07 / 43.79 ± 0.83@@25.239296112138938,7.72 ± 1.78 / 29.77 ± 0.97@@7.720232253979852,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/ibm-granite/granite-3.0-3b-a800m-instruct'>ibm-granite/granite-3.0-3b-a800m-instruct (few-shot)</a>,📝,2.64@@2.64,3374295552.0,49155.0,4096.0,✓,✗,29.53 ± 3.68 / 44.08 ± 4.26@@29.52734359972239,47.49 ± 2.67 / 40.08 ± 2.25@@47.49339784542883,4.87 ± 1.23 / 50.17 ± 1.52@@4.867944487646345,62.81 ± 1.12 / 37.79 ± 1.72@@62.80716527204682,62.35 ± 0.15 / 16.89 ± 0.51@@62.34888404185768,19.25 ± 1.15 / 39.46 ± 0.87@@19.246780471842655,19.35 ± 1.10 / 38.77 ± 1.05@@19.348274047419032,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/TrustLLMeu/baseline-7-8b_2-3t-tokens_llama'>TrustLLMeu/baseline-7-8b_2-3t-tokens_llama (few-shot)</a>,🧠,2.75@@2.75,7799574528.0,100096.0,4096.0,✓,✗,34.39 ± 1.89 / 48.71 ± 1.96@@34.385078881607946,52.25 ± 3.52 / 49.26 ± 2.90@@52.248926508247926,3.31 ± 2.43 / 35.85 ± 1.48@@3.3084362653715935,58.25 ± 2.06 / 37.74 ± 2.01@@58.24619474832315,61.63 ± 0.30 / 16.82 ± 0.46@@61.62566253246041,8.14 ± 0.84 / 26.93 ± 1.07@@8.14313264138174,2.67 ± 1.48 / 25.86 ± 0.50@@2.673666153150447,15.5.0.dev0@@150500,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B (few-shot)</a>,🤔,2.76@@2.76,751632384.0,151936.0,40960.0,✓,✗,32.76 ± 2.11 / 52.51 ± 1.92@@32.758686137518765,41.69 ± 0.78 / 36.42 ± 0.92@@41.68571823321717,6.49 ± 2.20 / 50.93 ± 1.10@@6.490795569815097,48.05 ± 0.94 / 29.17 ± 0.72@@48.04592561966106,62.26 ± 0.12 / 11.73 ± 0.17@@62.256725592305884,23.40 ± 0.96 / 41.79 ± 0.75@@23.401544459361002,12.49 ± 1.12 / 34.07 ± 0.77@@12.48955375994297,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701
<a href='https://huggingface.co/ibm-granite/granite-3b-code-base-2k'>ibm-granite/granite-3b-code-base-2k (few-shot)</a>,🧠,2.81@@2.81,3482503680.0,49152.0,2048.0,✓,✗,31.17 ± 2.88 / 50.35 ± 3.37@@31.168495095705346,51.69 ± 2.51 / 47.98 ± 2.59@@51.691154796776175,2.93 ± 2.06 / 40.85 ± 4.20@@2.934981429251611,56.38 ± 1.54 / 34.88 ± 1.93@@56.384944730148376,59.55 ± 0.30 / 15.22 ± 0.63@@59.54809871473117,5.16 ± 0.85 / 28.69 ± 0.50@@5.159256197478812,6.44 ± 0.78 / 29.65 ± 0.76@@6.44164236252551,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/openGPT-X/Teuken-7B-instruct-research-v0.4'>openGPT-X/Teuken-7B-instruct-research-v0.4 (few-shot)</a>,📝,2.82@@2.82,7452725248.0,250680.0,4096.0,✗,✗,33.08 ± 3.34 / 48.78 ± 4.43@@33.080222513946964,43.84 ± 1.88 / 32.22 ± 1.47@@43.8425004519243,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,59.32 ± 0.70 / 34.54 ± 1.54@@59.323879459150966,62.73 ± 0.12 / 12.32 ± 0.34@@62.72550389476237,7.15 ± 1.16 / 30.65 ± 0.71@@7.151785853339705,4.54 ± 1.10 / 27.98 ± 0.81@@4.543219373453534,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/ibm-granite/granite-3.0-3b-a800m-base'>ibm-granite/granite-3.0-3b-a800m-base (few-shot)</a>,🧠,2.83@@2.83,3374286336.0,49152.0,4096.0,✓,✗,23.70 ± 2.59 / 37.45 ± 3.30@@23.696277088266314,44.12 ± 3.75 / 37.51 ± 2.78@@44.122029406133755,4.28 ± 2.31 / 45.12 ± 3.97@@4.284021371431893,59.26 ± 1.83 / 37.31 ± 2.41@@59.256421998327504,61.97 ± 0.25 / 17.74 ± 0.66@@61.969218878657564,12.31 ± 1.22 / 32.96 ± 1.24@@12.310347461092572,6.48 ± 1.05 / 28.96 ± 0.65@@6.481760032222526,15.7.2.dev0@@150702,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://huggingface.co/google/gemma-3-1b-it'>google/gemma-3-1b-it (few-shot)</a>,📝,2.86@@2.86,999885952.0,262144.0,32768.0,✓,✗,34.59 ± 2.43 / 54.02 ± 2.29@@34.59442318278054,45.75 ± 1.67 / 42.76 ± 1.54@@45.75059587021569,5.75 ± 1.64 / 49.56 ± 2.46@@5.746496840948265,44.07 ± 0.75 / 17.22 ± 1.68@@44.07076084155422,60.65 ± 0.65 / 7.47 ± 1.38@@60.646705614199156,7.16 ± 1.07 / 28.77 ± 0.81@@7.155596600297268,6.64 ± 1.48 / 29.38 ± 1.15@@6.636185899129749,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/google/gemma-2-2b'>google/gemma-2-2b (few-shot)</a>,🧠,2.92@@2.92,2614341888.0,256000.0,8192.0,✓,✗,27.69 ± 4.00 / 42.52 ± 4.56@@27.692024508899273,25.00 ± 4.09 / 25.12 ± 3.39@@25.004154037059923,5.04 ± 1.97 / 50.14 ± 1.96@@5.042859710652758,58.40 ± 4.12 / 35.31 ± 4.57@@58.39679932877461,60.25 ± 0.78 / 15.55 ± 0.80@@60.254038819330155,19.21 ± 0.83 / 35.46 ± 0.86@@19.208204513809758,9.44 ± 0.60 / 29.61 ± 0.73@@9.439605221466483,15.8.1.dev0@@150801,15.8.2@@150802,15.8.1.dev0@@150801,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/ibm-granite/granite-3b-code-instruct-2k'>ibm-granite/granite-3b-code-instruct-2k (few-shot)</a>,📝,2.96@@2.96,3482503680.0,49152.0,2048.0,✓,✗,18.38 ± 2.36 / 31.51 ± 3.27@@18.37687299779543,48.47 ± 1.66 / 45.91 ± 1.65@@48.47307253870873,1.47 ± 1.37 / 41.37 ± 2.68@@1.4723928102645838,57.68 ± 0.89 / 36.14 ± 1.27@@57.68260176332585,60.85 ± 0.20 / 13.02 ± 0.33@@60.85476837572059,6.95 ± 0.89 / 29.03 ± 0.67@@6.954568928967059,5.62 ± 0.95 / 28.81 ± 0.89@@5.622737165009654,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/TrustLLMeu/baseline-7-8b_1t-tokens_llama'>TrustLLMeu/baseline-7-8b_1t-tokens_llama (few-shot)</a>,🧠,2.99@@2.99,7799574528.0,100096.0,4096.0,✓,✗,19.77 ± 3.30 / 32.29 ± 3.41@@19.774384316123054,44.85 ± 3.81 / 42.10 ± 3.73@@44.84876806921109,2.86 ± 1.67 / 41.92 ± 3.58@@2.8569870477908745,55.05 ± 2.41 / 33.64 ± 2.61@@55.04827481386131,61.33 ± 0.34 / 15.63 ± 0.55@@61.33281191185234,2.14 ± 0.84 / 23.81 ± 0.86@@2.135436032886604,0.96 ± 1.07 / 25.95 ± 0.78@@0.9554647746940653,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/OpenLLM-France/Lucie-7B'>OpenLLM-France/Lucie-7B (few-shot)</a>,📝,2.99@@2.99,6706960384.0,65024.0,32000.0,✓,✗,41.13 ± 1.89 / 58.13 ± 2.02@@41.13471810275387,41.80 ± 1.43 / 39.60 ± 1.37@@41.8009967212363,2.69 ± 3.17 / 42.23 ± 4.80@@2.6909016254344915,31.53 ± 1.47 / 0.33 ± 0.31@@31.52839820010319,59.43 ± 0.53 / 16.62 ± 0.80@@59.42993520307937,5.07 ± 0.77 / 26.61 ± 0.86@@5.074765582763411,3.06 ± 0.94 / 26.05 ± 0.57@@3.060026566806077,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://huggingface.co/openGPT-X/Teuken-7B-instruct-commercial-v0.4'>openGPT-X/Teuken-7B-instruct-commercial-v0.4 (few-shot)</a>,📝,2.99@@2.99,7452725248.0,250680.0,4096.0,✓,✗,20.54 ± 2.40 / 33.57 ± 2.52@@20.53511631951767,39.49 ± 1.61 / 31.79 ± 1.86@@39.49234494904744,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,54.25 ± 1.20 / 32.29 ± 1.77@@54.25269462174803,62.83 ± 0.15 / 16.55 ± 0.29@@62.825145903188975,10.41 ± 1.41 / 33.00 ± 0.95@@10.40898806489799,8.17 ± 1.46 / 28.26 ± 1.23@@8.166362186279821,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct (few-shot)</a>,📝,2.99@@2.99,1235814400.0,128256.0,131072.0,✓,✗,26.82 ± 2.82 / 38.37 ± 3.37@@26.816837387698655,50.46 ± 1.77 / 43.74 ± 2.04@@50.45792159322219,0.67 ± 0.94 / 33.44 ± 0.31@@0.6722386395294958,46.49 ± 0.87 / 24.84 ± 1.41@@46.48935416543624,61.29 ± 0.29 / 12.59 ± 0.47@@61.292563095048536,0.88 ± 1.00 / 26.50 ± 0.70@@0.8839437046733709,-0.69 ± 1.00 / 24.14 ± 0.93@@-0.6889013170593472,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/LumiOpen/Viking-13B'>LumiOpen/Viking-13B (few-shot)</a>,🧠,3.02@@3.02,14030361600.0,131072.0,4096.0,✓,✗,28.31 ± 1.76 / 39.78 ± 0.79@@28.308042267323124,44.28 ± 3.36 / 41.23 ± 2.84@@44.27697761245564,0.57 ± 1.25 / 39.80 ± 3.70@@0.5732591052231986,47.69 ± 2.62 / 28.80 ± 2.39@@47.68541581786737,60.11 ± 0.77 / 13.66 ± 0.77@@60.114376789861126,1.83 ± 0.92 / 25.79 ± 0.90@@1.8258151893273475,-0.69 ± 1.60 / 24.53 ± 0.69@@-0.6856444678042745,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
