model,rank,parameters,vocabulary_size,context,speed,generative_type,commercial,merge,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,no_sammendrag,nrk_quiz_qa,nor_common_sense_qa,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,nrk_quiz_qa_version,nor_common_sense_qa_version
danish-foundation-models/munin-7b-alpha (few-shot),3.09,7241732096.0,32000.0,32768,6116.08,🧠,✓,✗,20.54 ± 6.01 / 36.30 ± 6.77@@20.54343273066692,48.89 ± 3.42 / 35.46 ± 2.58@@48.889580864095535,51.95 ± 1.59 / 36.45 ± 2.57@@51.945841364374054,4.39 ± 3.94 / 35.23 ± 2.81@@4.389038909036108,1.20 ± 1.64 / 34.54 ± 1.31@@1.2031916972104737,70.08 ± 3.96 / 47.16 ± 4.15@@70.07747481431105,63.67 ± 1.16 / 15.98 ± 1.26@@63.6651701068331,24.75 ± 1.69 / 42.72 ± 1.23@@24.74714326120616,26.59 ± 2.14 / 39.91 ± 1.91@@26.58595563546905,12.4.0@@120400,12.5.2@@120502,12.5.2@@120502,12.4.0@@120400,12.4.0@@120400,12.4.0@@120400,12.4.0@@120400,15.2.0.dev0@@150200,15.2.0.dev0@@150200
microsoft/Phi-3-mini-4k-instruct (few-shot),3.11,3821079552.0,32064.0,2047,8681.12,📝,✓,✗,37.18 ± 1.30 / 55.44 ± 1.46@@37.17736308217597,56.33 ± 1.63 / 36.68 ± 3.27@@56.32711642666093,54.68 ± 1.29 / 37.85 ± 3.79@@54.68466927971127,6.76 ± 2.81 / 41.69 ± 2.82@@6.757813113678764,6.79 ± 1.51 / 45.45 ± 3.51@@6.7873138024975646,52.56 ± 2.38 / 30.11 ± 2.09@@52.55847694986538,61.44 ± 0.71 / 13.62 ± 0.60@@61.44457467235043,15.97 ± 1.24 / 37.66 ± 0.73@@15.967472547669622,25.61 ± 1.88 / 39.92 ± 1.57@@25.608789120129995,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,15.2.0.dev0@@150200,15.2.0.dev0@@150200
meta-llama/Llama-3.2-3B (few-shot),3.12,3212749824.0,128256.0,131073,3713.14,🧠,✓,✗,39.96 ± 2.25 / 58.34 ± 1.66@@39.95624832692931,49.57 ± 2.20 / 37.13 ± 2.52@@49.568672063977175,52.13 ± 3.94 / 38.26 ± 3.77@@52.12791346360457,3.20 ± 3.84 / 37.62 ± 4.94@@3.199990382252756,3.72 ± 3.66 / 38.51 ± 4.61@@3.715386642423342,68.67 ± 2.58 / 45.54 ± 3.50@@68.67345134152194,58.99 ± 1.85 / 11.04 ± 1.25@@58.99369929436944,17.18 ± 0.67 / 36.40 ± 0.52@@17.17572268859761,20.00 ± 0.97 / 34.68 ± 1.16@@19.997487489925145,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
Qwen/Qwen1.5-4B-Chat (few-shot),3.13,3950369280.0,151936.0,32768,4347.23,📝,✗,✗,32.70 ± 1.59 / 45.73 ± 2.82@@32.700467367576216,44.83 ± 1.58 / 40.11 ± 2.00@@44.82674371684558,46.29 ± 1.65 / 41.63 ± 3.45@@46.288355884504654,3.57 ± 1.55 / 37.05 ± 2.34@@3.5719227886204,1.61 ± 2.11 / 37.85 ± 3.99@@1.6058656209806288,67.11 ± 2.50 / 42.55 ± 3.36@@67.11360941393411,60.53 ± 1.97 / 12.86 ± 1.03@@60.52784506791795,16.36 ± 0.92 / 37.30 ± 0.51@@16.355300449219495,36.81 ± 1.34 / 49.24 ± 1.13@@36.81252790682193,10.0.1@@100001,12.5.2@@120502,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.5.2@@120502,12.1.0@@120100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
mistralai/Mistral-7B-Instruct-v0.2 (few-shot),3.14,7241732096.0,32000.0,32768,2928.2,📝,✗,✗,34.86 ± 1.05 / 41.88 ± 2.28@@34.856445099675206,46.39 ± 1.43 / 33.20 ± 2.23@@46.392898301882965,46.03 ± 0.90 / 33.43 ± 2.13@@46.02506084645056,18.12 ± 1.77 / 55.69 ± 1.74@@18.116785875345567,11.68 ± 1.38 / 54.85 ± 1.02@@11.67602423030025,47.90 ± 1.09 / 16.72 ± 1.88@@47.89833953410609,61.53 ± 0.17 / 8.42 ± 0.46@@61.531961683358524,20.35 ± 1.44 / 38.96 ± 0.91@@20.35245088321103,26.51 ± 2.06 / 39.06 ± 1.62@@26.508657367425837,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
abhishek/autotrain-llama3-orpo-v2 (few-shot),3.16,8030326784.0,128264.0,8192,1471.31,📝,✗,✗,22.79 ± 1.34 / 30.95 ± 1.20@@22.787454047068064,62.25 ± 2.48 / 54.17 ± 2.66@@62.254913172955554,59.50 ± 1.84 / 54.00 ± 2.95@@59.49775292044601,8.51 ± 1.84 / 42.76 ± 2.98@@8.511653230980258,5.10 ± 1.82 / 40.49 ± 2.88@@5.097303535277775,68.05 ± 3.80 / 43.34 ± 4.84@@68.05377168576716,61.69 ± 1.17 / 13.10 ± 1.48@@61.685936278954614,15.70 ± 2.25 / 37.59 ± 1.96@@15.700924274649925,18.27 ± 2.69 / 32.28 ± 2.55@@18.27203412275338,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,15.2.0.dev0@@150200,15.2.0.dev0@@150200
emillykkejensen/Phi-3-mini-4k-instruct-dansk (few-shot),3.16,3821079552.0,32064.0,4096,1360.1,📝,✗,✗,42.27 ± 1.52 / 56.76 ± 2.10@@42.265009434335084,56.41 ± 2.05 / 37.55 ± 3.57@@56.41481585355993,53.95 ± 1.23 / 38.44 ± 4.85@@53.94502258573015,0.00 ± 0.00 / 33.41 ± 0.30@@0.0,0.21 ± 1.00 / 34.08 ± 0.56@@0.2112218958498363,53.48 ± 2.01 / 29.35 ± 1.40@@53.48090483900474,60.58 ± 0.98 / 12.77 ± 0.70@@60.57671570873936,15.70 ± 1.21 / 37.47 ± 0.90@@15.70488442282075,22.78 ± 1.62 / 37.57 ± 1.29@@22.784006712512863,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,15.2.0.dev0@@150200,15.2.0.dev0@@150200
neuralmagic/Sparse-Llama-3.1-8B-2of4 (few-shot),3.17,8030261248.0,128256.0,131072,2996.46,🧠,✓,✗,32.18 ± 6.27 / 50.19 ± 5.62@@32.181597449706786,35.54 ± 2.35 / 35.62 ± 2.50@@35.53700265010219,36.61 ± 1.95 / 37.38 ± 1.88@@36.60943930631837,0.00 ± 0.00 / 33.25 ± 0.30@@0.0,0.00 ± 0.00 / 32.79 ± 0.34@@0.0,68.45 ± 2.93 / 43.47 ± 3.30@@68.45421602866423,60.89 ± 1.28 / 14.01 ± 1.12@@60.892870965981274,20.23 ± 0.99 / 39.10 ± 0.87@@20.226007347996475,37.10 ± 1.81 / 48.24 ± 1.57@@37.100821863421785,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,15.2.0.dev0@@150200,15.2.0.dev0@@150200
NorwAI/NorwAI-Mistral-7B (few-shot),3.19,7536586752.0,67993.0,4065,3034.67,🧠,✓,✗,49.00 ± 3.88 / 65.98 ± 2.95@@49.00158064857729,21.09 ± 6.44 / 20.45 ± 2.65@@21.0894961650699,26.31 ± 4.64 / 26.42 ± 2.98@@26.310542027871676,7.15 ± 2.14 / 40.83 ± 3.95@@7.1495869106174865,7.98 ± 2.64 / 45.21 ± 4.95@@7.977124333180504,68.04 ± 5.37 / 47.70 ± 5.32@@68.04214510030667,63.87 ± 1.60 / 17.88 ± 1.49@@63.86610781890341,10.05 ± 1.16 / 29.66 ± 1.16@@10.04672136773674,2.11 ± 1.18 / 21.30 ± 0.88@@2.1083066295529815,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,15.2.0.dev0@@150200,15.2.0.dev0@@150200
mistralai/Mistral-7B-Instruct-v0.1 (few-shot),3.19,7241732096.0,32000.0,4096,2942.47,📝,✓,✗,29.11 ± 0.78 / 34.52 ± 0.76@@29.110325350549704,49.41 ± 1.57 / 30.20 ± 1.34@@49.41004885163613,49.07 ± 1.47 / 30.88 ± 2.32@@49.07328604515257,17.93 ± 1.84 / 57.01 ± 2.12@@17.92739904370443,8.98 ± 1.46 / 53.67 ± 1.14@@8.980605986281756,56.72 ± 3.24 / 30.84 ± 2.65@@56.722807747208535,61.20 ± 0.18 / 9.14 ± 0.41@@61.20451502138167,16.73 ± 0.94 / 34.77 ± 0.80@@16.73034616148503,19.13 ± 1.44 / 34.24 ± 1.10@@19.125555194301466,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
microsoft/Phi-3-mini-128k-instruct (few-shot),3.19,3821079552.0,32064.0,130817,7311.73,📝,✓,✗,33.30 ± 2.01 / 51.15 ± 2.93@@33.29575783212563,52.18 ± 2.03 / 29.83 ± 3.23@@52.1816424889613,50.53 ± 1.49 / 31.94 ± 4.20@@50.530762175391644,2.63 ± 2.56 / 40.21 ± 3.98@@2.6346704213114296,4.00 ± 1.87 / 44.87 ± 3.17@@4.001693665339736,61.14 ± 2.01 / 37.08 ± 2.44@@61.13906919868013,60.69 ± 0.97 / 12.72 ± 0.74@@60.69043653114932,13.50 ± 0.97 / 35.50 ± 0.61@@13.497156805121834,22.65 ± 1.42 / 37.04 ± 1.23@@22.647373201599528,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901,12.10.0@@121000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
norallm/normistral-7b-warm-instruct (few-shot),3.22,7248023552.0,32768.0,2048,6193.5,📝,✓,✗,37.98 ± 1.72 / 43.91 ± 2.51@@37.97720081854903,46.49 ± 2.30 / 31.87 ± 1.92@@46.48972810857138,51.46 ± 2.36 / 35.87 ± 2.14@@51.46404557948572,7.86 ± 2.74 / 47.20 ± 2.71@@7.861975869164353,7.23 ± 1.97 / 46.62 ± 3.92@@7.230859450066681,59.27 ± 1.53 / 33.31 ± 1.03@@59.2736474419637,64.52 ± 0.50 / 17.03 ± 1.00@@64.51576339168241,6.38 ± 1.09 / 28.75 ± 1.00@@6.376193306522818,5.45 ± 1.37 / 22.63 ± 0.93@@5.453094994215547,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,15.2.0.dev0@@150200,15.2.0.dev0@@150200
AI-Sweden-Models/gpt-sw3-20b-instruct (few-shot),3.23,20918423552.0,64000.0,1793,1830.86,📝,✓,✗,40.89 ± 3.60 / 59.86 ± 3.59@@40.890489174218,23.95 ± 1.93 / 21.43 ± 1.89@@23.95077124916275,26.55 ± 1.50 / 25.06 ± 1.61@@26.54502205426571,9.45 ± 1.58 / 44.62 ± 3.29@@9.453374049856123,8.32 ± 1.89 / 42.30 ± 2.78@@8.318819433778838,67.93 ± 1.55 / 43.19 ± 1.82@@67.93429711884497,65.90 ± 0.33 / 19.68 ± 0.55@@65.89769775760942,10.94 ± 0.78 / 27.33 ± 0.58@@10.940408510002412,4.06 ± 1.76 / 22.01 ± 1.50@@4.057863985859779,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,15.2.0.dev0@@150200,15.2.0.dev0@@150200
meta-llama/Llama-2-7b-hf (few-shot),3.24,6738417664.0,32000.0,3841,930.05,📝,✓,✗,41.74 ± 2.25 / 57.91 ± 2.82@@41.74391540577504,42.13 ± 3.82 / 37.17 ± 3.44@@42.133529851718386,43.80 ± 2.85 / 37.48 ± 4.00@@43.79880868034872,0.00 ± 0.00 / 33.41 ± 0.30@@0.0,0.02 ± 0.04 / 33.88 ± 0.35@@0.021626086470078586,66.18 ± 4.05 / 44.19 ± 4.13@@66.18440124666571,62.30 ± 1.81 / 14.85 ± 1.88@@62.303582508538966,11.37 ± 1.43 / 32.60 ± 0.54@@11.368535008916458,4.51 ± 2.09 / 22.78 ± 1.30@@4.511327045527202,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,12.5.1@@120501,11.0.0@@110000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
Qwen/Qwen1.5-4B (few-shot),3.24,3950369280.0,151936.0,32768,3247.86,📝,✓,✗,36.97 ± 1.94 / 55.08 ± 2.30@@36.972221471321284,32.12 ± 5.17 / 32.01 ± 2.80@@32.124326709211246,36.86 ± 3.53 / 35.46 ± 3.07@@36.86041412748552,5.27 ± 3.31 / 40.91 ± 5.24@@5.270981695524403,1.40 ± 1.87 / 33.64 ± 0.74@@1.4048844233300914,62.87 ± 1.60 / 40.00 ± 2.26@@62.867765532257295,57.64 ± 2.16 / 11.53 ± 1.29@@57.63691706073587,16.89 ± 1.05 / 36.47 ± 0.65@@16.890531214429853,35.96 ± 1.36 / 48.45 ± 1.10@@35.95636751339457,10.0.1@@100001,12.5.2@@120502,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
ibm-granite/granite-8b-code-base-4k (few-shot),3.25,8054910976.0,49152.0,4096,1305.9,🧠,✓,✗,28.54 ± 0.79 / 35.12 ± 0.59@@28.537855956154246,68.82 ± 1.69 / 62.89 ± 2.45@@68.81689953408102,64.05 ± 0.95 / 57.41 ± 2.37@@64.05303163102701,7.33 ± 2.23 / 41.67 ± 4.60@@7.327214546988439,2.63 ± 2.24 / 37.28 ± 2.51@@2.6340550758006067,58.94 ± 3.34 / 36.11 ± 3.02@@58.93632736632088,61.59 ± 0.50 / 13.82 ± 0.38@@61.589901309707784,7.67 ± 1.29 / 27.31 ± 0.67@@7.670977388087934,11.24 ± 1.11 / 27.65 ± 0.88@@11.238301919923606,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
tollefj/nordavind-7b-instruct-warm (few-shot),3.25,7248023552.0,32768.0,2048,6450.44,📝,✗,✗,38.05 ± 1.85 / 47.06 ± 3.97@@38.053313090258065,38.82 ± 5.36 / 30.48 ± 1.91@@38.8183613987618,43.28 ± 3.13 / 33.87 ± 3.30@@43.284450697793616,8.45 ± 2.47 / 46.75 ± 3.97@@8.44716221780491,7.50 ± 1.65 / 48.14 ± 4.65@@7.501020343021768,64.21 ± 2.94 / 40.47 ± 2.77@@64.20762151765562,64.04 ± 1.06 / 17.41 ± 1.19@@64.04304594456335,8.05 ± 1.35 / 31.61 ± 0.89@@8.051188944250978,3.15 ± 1.92 / 22.23 ± 1.24@@3.1549641647975983,12.3.2@@120302,12.5.2@@120502,12.5.2@@120502,12.3.2@@120302,12.3.2@@120302,12.4.0@@120400,12.4.0@@120400,15.2.0.dev0@@150200,15.2.0.dev0@@150200
occiglot/occiglot-7b-eu5 (few-shot),3.27,7241732096.0,32000.0,4096,2943.39,🧠,✓,✗,27.32 ± 2.92 / 31.60 ± 2.75@@27.319625732986175,44.62 ± 2.38 / 41.61 ± 2.45@@44.62010471447833,49.52 ± 2.40 / 45.74 ± 2.41@@49.52218086465964,0.00 ± 0.00 / 33.36 ± 0.21@@0.0,0.00 ± 0.00 / 33.69 ± 0.24@@0.0,64.84 ± 3.80 / 42.89 ± 4.53@@64.83649198157211,62.97 ± 1.34 / 16.03 ± 1.35@@62.96653205572511,16.51 ± 1.10 / 34.41 ± 1.14@@16.512070147741767,12.60 ± 1.40 / 29.04 ± 0.87@@12.597330213919747,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
ibm-granite/granite-8b-code-instruct-4k (few-shot),3.28,8054910976.0,49152.0,4096,2752.01,📝,✓,✗,27.29 ± 0.77 / 34.47 ± 0.60@@27.29174640691087,66.61 ± 1.43 / 59.07 ± 1.76@@66.60975162972191,62.01 ± 1.09 / 55.32 ± 1.83@@62.009153875980004,11.95 ± 1.83 / 50.85 ± 2.49@@11.945945947470346,11.61 ± 1.48 / 48.95 ± 1.79@@11.6055377841584,52.69 ± 2.26 / 31.04 ± 2.07@@52.68841315089354,61.08 ± 0.27 / 11.34 ± 0.34@@61.07844629237661,3.42 ± 0.71 / 27.35 ± 0.49@@3.423110971064163,14.44 ± 1.36 / 28.48 ± 1.12@@14.436280378689318,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
timpal0l/Mistral-7B-v0.1-flashback-v2-instruct (few-shot),3.29,7241732096.0,32000.0,32768,5172.48,📝,✓,✗,32.19 ± 2.52 / 43.19 ± 4.63@@32.190166889382915,50.34 ± 3.17 / 45.09 ± 2.65@@50.342007075908626,52.06 ± 2.41 / 46.88 ± 2.39@@52.05966259850763,-0.22 ± 0.43 / 33.41 ± 0.30@@-0.21887682828821772,0.00 ± 0.00 / 33.86 ± 0.33@@0.0,40.19 ± 1.13 / 20.57 ± 0.64@@40.18826168590614,58.71 ± 4.08 / 11.81 ± 0.96@@58.71005254368355,21.00 ± 1.36 / 41.41 ± 1.01@@20.995856218069736,32.41 ± 2.66 / 44.71 ± 2.27@@32.413351787060094,12.3.2@@120302,12.5.2@@120502,12.5.2@@120502,12.3.2@@120302,12.3.2@@120302,12.4.0@@120400,12.4.0@@120400,15.2.0.dev0@@150200,15.2.0.dev0@@150200
ibm-granite/granite-3.0-2b-base (few-shot),3.32,2533525504.0,49152.0,4097,10186.88,🧠,✓,✗,35.36 ± 2.31 / 54.88 ± 2.08@@35.36197143512842,43.00 ± 2.81 / 35.39 ± 2.28@@43.00269532059039,45.08 ± 0.83 / 38.16 ± 1.91@@45.08363577911719,2.79 ± 1.92 / 41.90 ± 4.62@@2.793007595854491,1.95 ± 2.02 / 38.91 ± 3.27@@1.9519031753101583,59.74 ± 2.74 / 37.33 ± 3.11@@59.73660286066024,62.00 ± 0.62 / 14.22 ± 0.76@@61.99833284612396,12.74 ± 0.79 / 35.01 ± 0.64@@12.741861272959785,6.34 ± 1.83 / 24.58 ± 1.37@@6.34429137682396,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
infly/OpenCoder-8B-Instruct (few-shot),3.33,7771262976.0,96640.0,8192,3009.29,📝,✓,✗,26.08 ± 1.10 / 32.23 ± 1.35@@26.079251550235487,51.60 ± 2.81 / 32.62 ± 3.48@@51.60117334211378,54.76 ± 1.83 / 35.34 ± 5.13@@54.763487422022486,10.80 ± 1.80 / 53.30 ± 1.86@@10.795449370963176,10.38 ± 1.46 / 54.21 ± 1.02@@10.377973066435173,58.83 ± 1.39 / 35.72 ± 2.06@@58.83033185625062,60.64 ± 0.39 / 9.66 ± 0.59@@60.635868388271774,5.89 ± 0.78 / 30.58 ± 0.65@@5.891966033938347,14.03 ± 2.05 / 30.12 ± 1.86@@14.025972868372305,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.2.0.dev0@@150200,15.2.0.dev0@@150200
meta-llama/Llama-2-7b-chat-hf (few-shot),3.33,6738417664.0,32000.0,4096,2643.05,📝,✓,✗,29.62 ± 0.75 / 37.49 ± 0.65@@29.616136474601408,45.09 ± 1.31 / 30.77 ± 1.10@@45.08536219362974,46.82 ± 1.13 / 33.02 ± 1.37@@46.818409106877766,7.63 ± 2.95 / 46.45 ± 5.09@@7.630063508138496,4.60 ± 1.36 / 45.42 ± 3.49@@4.604167201236798,61.99 ± 2.34 / 33.77 ± 2.11@@61.99093740480638,63.59 ± 0.40 / 14.15 ± 0.70@@63.589390238194035,7.53 ± 1.20 / 29.29 ± 1.53@@7.526352221542762,4.91 ± 1.16 / 23.24 ± 0.73@@4.911872551393888,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,12.4.0@@120400,12.4.0@@120400,15.2.0.dev0@@150200,15.2.0.dev0@@150200
AI-Sweden-Models/gpt-sw3-20b (few-shot),3.33,20918423552.0,64000.0,2046,1875.24,🧠,✓,✗,34.75 ± 1.68 / 43.12 ± 2.35@@34.747878470919055,39.29 ± 3.14 / 30.53 ± 2.28@@39.285495834118656,36.01 ± 2.76 / 30.60 ± 1.97@@36.01152785137268,13.86 ± 3.09 / 50.46 ± 4.53@@13.85660974602421,12.32 ± 2.38 / 49.73 ± 4.79@@12.319344805067065,65.28 ± 3.34 / 42.63 ± 3.67@@65.27971518466939,59.49 ± 2.30 / 12.32 ± 2.03@@59.49398007884156,6.31 ± 1.52 / 31.39 ± 0.52@@6.313246192784755,3.64 ± 1.80 / 22.03 ± 1.48@@3.6369981583790323,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,15.2.0.dev0@@150200,15.2.0.dev0@@150200
google/gemma-2-2b (few-shot),3.33,2614341888.0,256000.0,8193,5235.32,🧠,✓,✗,32.61 ± 1.86 / 47.91 ± 2.11@@32.60886524869812,20.47 ± 4.02 / 21.28 ± 2.58@@20.46934046237045,24.18 ± 4.24 / 24.41 ± 3.40@@24.18285537658101,3.22 ± 1.55 / 36.61 ± 2.49@@3.2174385573428075,3.91 ± 2.50 / 45.37 ± 4.56@@3.9113494747933464,63.31 ± 3.73 / 41.16 ± 3.73@@63.30697760613604,60.17 ± 2.18 / 13.48 ± 1.53@@60.16902406692679,16.22 ± 0.42 / 35.70 ± 0.94@@16.219242321806732,32.06 ± 1.91 / 42.37 ± 1.60@@32.06451440896952,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
TrustLLMeu/baseline-7-8b_1t-tokens_llama (few-shot),3.34,7799574528.0,100096.0,4096,1416.09,🧠,✓,✗,39.50 ± 2.25 / 58.87 ± 1.77@@39.50345065251458,43.97 ± 1.77 / 41.81 ± 1.78@@43.96801882080587,45.75 ± 2.07 / 42.89 ± 1.88@@45.74899084159591,7.81 ± 2.01 / 49.68 ± 3.75@@7.8115872445483685,8.33 ± 2.25 / 50.61 ± 3.67@@8.327614692496747,63.76 ± 3.80 / 42.25 ± 4.76@@63.76068782367241,62.01 ± 1.42 / 14.01 ± 1.48@@62.008418084078585,0.25 ± 1.04 / 24.57 ± 0.55@@0.2537819537931702,-1.25 ± 1.58 / 19.27 ± 1.05@@-1.2484893649228088,15.0.0.dev0@@150000,15.0.0.dev0@@150000,15.0.0.dev0@@150000,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
NorwAI/NorwAI-Llama2-7B (few-shot),3.35,7033270272.0,67993.0,4096,4437.75,🧠,✓,✗,36.06 ± 3.96 / 52.59 ± 4.67@@36.0559728642595,31.45 ± 1.64 / 31.64 ± 1.89@@31.453770823879314,33.85 ± 1.95 / 34.29 ± 1.91@@33.84989536654232,8.34 ± 2.97 / 45.11 ± 4.57@@8.335342990013144,6.84 ± 3.88 / 45.28 ± 5.45@@6.836897743244966,69.39 ± 4.10 / 48.31 ± 4.22@@69.38981448187221,63.06 ± 2.34 / 17.34 ± 1.88@@63.063931906435755,3.93 ± 1.06 / 28.13 ± 1.13@@3.926329400251538,3.32 ± 0.74 / 21.12 ± 0.69@@3.318987802593023,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,15.2.0.dev0@@150200,15.2.0.dev0@@150200
meta-llama/Llama-2-13b-chat-hf (few-shot),3.36,13015866880.0,32000.0,4096,1719.8,📝,✓,✗,31.27 ± 0.82 / 37.99 ± 0.57@@31.27447586488909,42.55 ± 1.18 / 26.65 ± 1.60@@42.54579267281803,45.74 ± 1.77 / 29.54 ± 1.79@@45.74415635492255,14.48 ± 2.37 / 55.39 ± 1.84@@14.477648977750585,7.04 ± 2.09 / 50.25 ± 2.23@@7.044215405066239,58.02 ± 2.28 / 32.57 ± 1.56@@58.021323875703864,60.48 ± 0.88 / 7.43 ± 0.86@@60.483499817200936,10.79 ± 1.41 / 32.74 ± 0.94@@10.79382817135343,6.82 ± 1.91 / 24.22 ± 1.38@@6.8214025020060935,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,15.2.0.dev0@@150200,15.2.0.dev0@@150200
occiglot/occiglot-7b-eu5-instruct (few-shot),3.36,7241748480.0,32002.0,4096,4838.43,📝,✗,✗,29.10 ± 1.17 / 34.27 ± 1.06@@29.099707591430544,50.40 ± 1.97 / 37.49 ± 2.22@@50.39625199147662,52.35 ± 1.91 / 38.35 ± 2.37@@52.34657165733003,7.09 ± 2.15 / 38.81 ± 1.96@@7.086797209979364,2.24 ± 1.42 / 36.42 ± 1.35@@2.2374172001766097,36.61 ± 2.08 / 0.23 ± 0.09@@36.61286364213685,61.44 ± 0.34 / 12.22 ± 0.49@@61.442349999415455,16.99 ± 1.35 / 37.93 ± 0.82@@16.994466277636292,17.04 ± 1.09 / 32.67 ± 0.93@@17.03616720825129,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct (few-shot),3.36,7111057408.0,64000.0,2048,1472.78,📝,✓,✗,34.39 ± 5.34 / 50.45 ± 6.08@@34.38774910770138,24.67 ± 1.69 / 24.58 ± 1.95@@24.667116423047737,29.03 ± 2.12 / 29.83 ± 2.15@@29.02788696311237,2.42 ± 1.83 / 35.49 ± 2.63@@2.417969567223074,5.11 ± 2.68 / 38.37 ± 3.31@@5.106557601094556,68.98 ± 2.23 / 42.52 ± 2.05@@68.98443260265176,64.07 ± 0.86 / 17.41 ± 0.90@@64.07157648573047,8.16 ± 1.12 / 27.13 ± 0.73@@8.164335091226002,5.59 ± 1.48 / 22.47 ± 1.08@@5.590435640760695,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,12.4.0@@120400,12.4.0@@120400,15.2.0.dev0@@150200,15.2.0.dev0@@150200
