model,generative_type,rank,french,italian,spanish,parameters,vocabulary_size,context,commercial,merge,allocine,eltec,scala_fr,fquad,sentipolc16,multinerd_it,scala_it,squad_it,sentiment_headlines_es,conll_es,scala_es,mlqa_es,allocine_version,eltec_version,scala_fr_version,fquad_version,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version,sentiment_headlines_es_version,conll_es_version,scala_es_version,mlqa_es_version
<a href='https://huggingface.co/croissantllm/CroissantLLMBase'>croissantllm/CroissantLLMBase (few-shot)</a>,🧠,3.81@@3.81,3.70@@3.70,3.89@@3.89,3.84@@3.84,,32000.0,2048.0,✓,✗,32.85 ± 14.64 / 56.15 ± 12.12@@32.85255838229023,29.87 ± 6.04 / 29.78 ± 5.81@@29.868953386548235,1.53 ± 1.05 / 42.38 ± 4.01@@1.5274161991308544,30.91 ± 2.08 / 0.41 ± 0.14@@30.909737942427352,9.77 ± 4.09 / 21.47 ± 2.81@@9.76813140013128,27.81 ± 5.96 / 23.90 ± 5.47@@27.80588023423508,1.66 ± 2.06 / 39.48 ± 2.82@@1.6604752066115689,31.76 ± 1.31 / 21.92 ± 1.18@@31.758421722464412,2.26 ± 3.68 / 17.42 ± 3.84@@2.259233248175279,28.80 ± 4.86 / 28.26 ± 5.11@@28.796276154365618,0.08 ± 1.64 / 35.91 ± 2.68@@0.0814407256497416,25.78 ± 2.33 / 0.06 ± 0.08@@25.782318060619957,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview (few-shot)</a>,🧠,3.86@@3.86,3.90@@3.90,3.94@@3.94,3.75@@3.75,353424384.0,65536.0,2048.0,✓,✗,14.11 ± 9.43 / 47.34 ± 6.34@@14.108851939034642,34.07 ± 3.25 / 32.71 ± 3.59@@34.07456038394495,-1.82 ± 1.14 / 38.02 ± 3.12@@-1.8230880567642427,23.31 ± 1.70 / 10.98 ± 1.57@@23.310815545918565,9.42 ± 4.74 / 30.85 ± 4.55@@9.423465884163589,33.03 ± 4.10 / 30.99 ± 3.59@@33.0339324504975,0.55 ± 1.81 / 40.89 ± 3.68@@0.5470662609651962,24.96 ± 1.43 / 16.01 ± 1.80@@24.96254037730297,2.94 ± 3.60 / 25.39 ± 3.53@@2.9383574975699314,40.23 ± 3.10 / 39.46 ± 2.99@@40.22803754070098,0.28 ± 1.90 / 37.40 ± 3.73@@0.2764247356216916,24.61 ± 1.59 / 10.24 ± 1.58@@24.606796460912594,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/Qwen/Qwen2.5-Math-1.5B'>Qwen/Qwen2.5-Math-1.5B (few-shot)</a>,📝,3.87@@3.87,3.74@@3.74,4.17@@4.17,3.69@@3.69,1543714304.0,151936.0,4096.0,✓,✗,54.36 ± 8.27 / 73.28 ± 7.01@@54.36278063186235,25.83 ± 4.46 / 23.06 ± 4.53@@25.82946770409426,2.12 ± 1.53 / 34.35 ± 1.32@@2.1203793190786633,13.01 ± 0.56 / 0.02 ± 0.02@@13.012425576494795,0.00 ± 0.00 / 16.92 ± 0.39@@0.0,28.17 ± 4.33 / 26.93 ± 2.76@@28.171333609157568,5.26 ± 1.08 / 46.53 ± 3.15@@5.256004463853322,10.58 ± 1.14 / 0.01 ± 0.02@@10.581923854906709,18.35 ± 2.76 / 33.53 ± 3.16@@18.354398390263192,36.50 ± 3.11 / 34.83 ± 3.16@@36.503553677901806,0.48 ± 0.63 / 33.64 ± 0.61@@0.4813140174716129,14.29 ± 1.01 / 0.01 ± 0.02@@14.28979298781949,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.6.1@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct (few-shot)</a>,📝,3.95@@3.95,3.93@@3.93,4.09@@4.09,3.84@@3.84,361821120.0,49152.0,8192.0,✓,✗,16.96 ± 10.24 / 44.72 ± 7.01@@16.95663846360439,25.75 ± 2.83 / 25.29 ± 2.70@@25.74558931432992,0.00 ± 0.00 / 33.30 ± 0.27@@0.0,27.58 ± 2.16 / 14.44 ± 1.77@@27.58076425577398,2.08 ± 3.22 / 18.68 ± 3.43@@2.0809949912715524,27.40 ± 2.16 / 25.95 ± 2.23@@27.399938491343978,0.33 ± 1.47 / 42.10 ± 2.96@@0.3285660200186182,23.08 ± 2.07 / 13.95 ± 2.36@@23.079615387606076,3.87 ± 3.31 / 24.12 ± 4.16@@3.8670937630623694,23.52 ± 5.56 / 23.21 ± 5.15@@23.52452353519266,2.12 ± 1.56 / 42.74 ± 4.88@@2.1237436213000804,28.48 ± 2.93 / 13.71 ± 2.54@@28.475058314598677,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/PleIAs/Pleias-Pico'>PleIAs/Pleias-Pico (few-shot)</a>,🧠,3.99@@3.99,4.06@@4.06,4.02@@4.02,3.88@@3.88,353424384.0,65536.0,2048.0,✓,✗,10.56 ± 8.59 / 46.89 ± 7.21@@10.563439075625816,28.21 ± 3.31 / 27.73 ± 3.27@@28.214063851378572,-0.06 ± 1.47 / 41.04 ± 3.81@@-0.058162901614069486,22.60 ± 1.34 / 9.06 ± 1.66@@22.59869925360749,5.91 ± 4.97 / 25.49 ± 4.69@@5.914782205886643,27.00 ± 4.79 / 26.27 ± 4.40@@26.99883331207598,1.81 ± 1.92 / 42.82 ± 3.94@@1.814860131895106,17.73 ± 1.47 / 10.96 ± 1.57@@17.72683233997605,3.87 ± 2.96 / 24.63 ± 3.34@@3.8744771397353848,32.21 ± 4.95 / 32.70 ± 4.23@@32.21054882529557,0.10 ± 1.98 / 37.86 ± 3.49@@0.09540664906127094,21.46 ± 1.55 / 5.87 ± 2.01@@21.462640064774092,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M (few-shot)</a>,🧠,4.09@@4.09,4.01@@4.01,4.29@@4.29,3.98@@3.98,134515008.0,49152.0,8192.0,✓,✗,15.51 ± 9.09 / 49.00 ± 8.37@@15.507266137871802,30.79 ± 3.88 / 30.79 ± 3.74@@30.78648546464312,-0.20 ± 1.10 / 35.86 ± 2.53@@-0.2017172559208929,14.39 ± 1.09 / 7.55 ± 0.97@@14.38592325739308,3.51 ± 3.34 / 23.45 ± 4.92@@3.5058499590496672,24.86 ± 1.30 / 22.85 ± 1.33@@24.862773508804377,0.37 ± 2.02 / 42.65 ± 2.74@@0.3686206325180161,9.67 ± 1.83 / 5.88 ± 1.97@@9.672897792988682,4.50 ± 1.30 / 24.80 ± 2.94@@4.500190480866184,32.27 ± 2.81 / 31.23 ± 2.83@@32.27420353291024,-0.83 ± 0.71 / 33.65 ± 0.46@@-0.8311361507718459,14.70 ± 1.77 / 6.96 ± 1.54@@14.70179829525839,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/Qwen/Qwen1.5-0.5B'>Qwen/Qwen1.5-0.5B (few-shot)</a>,📝,4.14@@4.14,4.25@@4.25,4.33@@4.33,3.85@@3.85,619570176.0,151936.0,32768.0,✓,✗,24.01 ± 3.63 / 45.05 ± 3.52@@24.011618864259056,20.01 ± 1.80 / 18.72 ± 2.17@@20.011811178270538,-0.35 ± 1.05 / 36.80 ± 2.85@@-0.3504287814460924,10.26 ± 0.35 / 0.00 ± 0.00@@10.256443581627728,-0.25 ± 1.74 / 22.51 ± 1.67@@-0.2468061070170871,23.89 ± 2.21 / 21.73 ± 1.98@@23.886834832051413,0.69 ± 1.91 / 40.32 ± 4.35@@0.689154015831729,9.44 ± 0.22 / 0.03 ± 0.02@@9.441262384307045,10.14 ± 2.59 / 24.48 ± 4.26@@10.142472453109013,30.50 ± 3.13 / 28.43 ± 2.71@@30.498377338252403,1.58 ± 1.62 / 41.49 ± 4.03@@1.584219324740415,13.93 ± 0.96 / 0.01 ± 0.02@@13.933347525650031,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/croissantllm/CroissantLLMChat-v0.1'>croissantllm/CroissantLLMChat-v0.1 (few-shot)</a>,📝,4.14@@4.14,4.16@@4.16,4.16@@4.16,4.10@@4.10,1345431552.0,32002.0,2048.0,✗,✗,-1.64 ± 1.96 / 38.62 ± 3.53@@-1.643655299598279,21.33 ± 5.64 / 21.21 ± 5.41@@21.33001852560313,0.00 ± 0.00 / 33.30 ± 0.27@@0.0,33.89 ± 2.17 / 12.35 ± 1.79@@33.88933380013453,3.94 ± 2.00 / 19.79 ± 2.00@@3.9365584660249677,24.05 ± 7.66 / 23.43 ± 5.58@@24.054642286660506,-0.17 ± 1.78 / 42.36 ± 3.34@@-0.17197912328295611,20.31 ± 2.45 / 8.94 ± 2.05@@20.305290855922827,1.02 ± 1.04 / 19.83 ± 1.07@@1.018450642951392,20.90 ± 3.73 / 21.04 ± 3.30@@20.901681380624655,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,17.67 ± 1.39 / 1.89 ± 0.78@@17.67426080249188,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-356m'>AI-Sweden-Models/gpt-sw3-356m (few-shot)</a>,🧠,4.25@@4.25,4.47@@4.47,4.27@@4.27,4.01@@4.01,470607872.0,64000.0,2048.0,✓,✗,0.39 ± 0.77 / 34.44 ± 0.30@@0.3932491114883971,19.59 ± 6.26 / 19.70 ± 6.36@@19.591343457869552,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,10.20 ± 1.19 / 5.43 ± 0.93@@10.199457072655525,17.51 ± 2.99 / 32.29 ± 2.46@@17.5060010244002,11.98 ± 9.41 / 12.22 ± 8.36@@11.981222865291112,0.36 ± 1.45 / 38.67 ± 4.22@@0.3553424143914899,6.76 ± 1.27 / 3.96 ± 1.44@@6.755930404463629,6.01 ± 2.62 / 24.43 ± 2.96@@6.010234816300343,30.94 ± 4.32 / 30.32 ± 3.68@@30.93876394068678,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,9.00 ± 1.42 / 4.30 ± 1.29@@9.004601449373979,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401
fresh-xlm-roberta-base,🔍,4.25@@4.25,4.26@@4.26,4.39@@4.39,4.10@@4.10,278885778.0,250002.0,512.0,✓,✗,12.64 ± 10.12 / 44.61 ± 9.50@@12.64017535080628,22.07 ± 3.39 / 21.62 ± 3.46@@22.067878455925158,0.66 ± 1.56 / 40.53 ± 3.91@@0.6552232688414006,0.03 ± 0.04 / 0.00 ± 0.00@@0.025082384132276,13.35 ± 4.67 / 33.80 ± 6.77@@13.351063531339616,7.75 ± 2.17 / 7.03 ± 2.07@@7.74707210053803,0.43 ± 1.48 / 40.69 ± 4.52@@0.43171948760454826,1.12 ± 1.02 / 0.09 ± 0.09@@1.115805810037037,6.91 ± 4.81 / 29.37 ± 7.17@@6.911334838274072,25.06 ± 1.90 / 24.55 ± 1.96@@25.057943057929556,-0.46 ± 1.47 / 36.10 ± 3.20@@-0.4581012101548611,3.92 ± 2.22 / 0.22 ± 0.13@@3.9229552019406264,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct (few-shot)</a>,📝,4.28@@4.28,4.24@@4.24,4.44@@4.44,4.15@@4.15,134515008.0,49152.0,8192.0,✓,✗,9.97 ± 3.91 / 46.31 ± 5.49@@9.965712822316572,25.57 ± 2.15 / 26.26 ± 2.28@@25.574017677444523,-0.06 ± 1.26 / 33.94 ± 0.98@@-0.06424785504692938,11.47 ± 0.71 / 2.57 ± 0.56@@11.467572371287284,0.38 ± 1.01 / 19.34 ± 1.81@@0.3790379318723095,17.65 ± 4.75 / 17.75 ± 3.16@@17.652429430177815,-0.50 ± 1.00 / 36.65 ± 3.00@@-0.4981638161470338,9.90 ± 1.35 / 4.06 ± 1.50@@9.895265151132739,0.44 ± 1.12 / 19.90 ± 1.56@@0.43661945307324573,21.31 ± 4.02 / 21.69 ± 3.77@@21.311317917779572,0.22 ± 0.43 / 34.51 ± 2.35@@0.21820693906359567,13.02 ± 1.60 / 3.28 ± 1.40@@13.015833153966886,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-356m-instruct'>AI-Sweden-Models/gpt-sw3-356m-instruct (few-shot)</a>,📝,4.38@@4.38,4.50@@4.50,4.32@@4.32,4.31@@4.31,470607872.0,64000.0,2048.0,✓,✗,0.00 ± 0.00 / 34.41 ± 0.31@@0.0,16.89 ± 3.31 / 16.92 ± 3.37@@16.894741841385816,0.49 ± 0.93 / 39.75 ± 3.76@@0.48704227904432784,7.34 ± 0.57 / 0.00 ± 0.00@@7.337645110501931,6.35 ± 2.74 / 19.00 ± 1.53@@6.345896100037968,19.04 ± 2.61 / 19.48 ± 2.60@@19.043240411843986,-0.19 ± 1.38 / 36.03 ± 2.95@@-0.187259986988799,5.35 ± 0.48 / 0.00 ± 0.00@@5.351391810750047,2.48 ± 2.61 / 24.24 ± 2.70@@2.4791775695592215,15.84 ± 6.55 / 15.82 ± 6.74@@15.84190296435351,-0.84 ± 0.85 / 33.35 ± 0.27@@-0.8421911867887188,9.49 ± 0.80 / 0.00 ± 0.00@@9.487117996503633,15.4.1@@150401,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.1@@150401,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.1@@150401,15.6.1.dev0@@150601,15.4.2@@150402,15.4.2@@150402
fresh-electra-small,🔍,4.42@@4.42,4.40@@4.40,4.52@@4.52,4.33@@4.33,13738755.0,32000.0,128.0,✓,✗,17.58 ± 13.25 / 48.75 ± 11.91@@17.582263863510427,16.34 ± 1.71 / 15.89 ± 1.72@@16.336348715074507,0.15 ± 0.29 / 34.35 ± 1.94@@0.1483672607611241,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,7.48 ± 6.97 / 27.15 ± 9.37@@7.479455332142175,5.85 ± 1.53 / 5.23 ± 1.38@@5.848128428129122,0.19 ± 0.38 / 33.91 ± 1.09@@0.19497942890228923,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 19.15 ± 0.28@@0.0,21.57 ± 0.99 / 20.45 ± 0.95@@21.566102639877172,0.19 ± 0.37 / 33.42 ± 0.27@@0.1899837703138306,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-126m-instruct'>AI-Sweden-Models/gpt-sw3-126m-instruct (few-shot)</a>,📝,4.47@@4.47,4.51@@4.51,4.52@@4.52,4.37@@4.37,186112512.0,64000.0,2048.0,✓,✗,0.00 ± 0.00 / 34.41 ± 0.31@@0.0,19.48 ± 4.09 / 20.00 ± 4.03@@19.481546362769162,0.25 ± 1.10 / 33.67 ± 0.35@@0.25446733938054483,6.20 ± 0.53 / 0.01 ± 0.01@@6.201293363543941,-0.69 ± 0.92 / 17.68 ± 2.19@@-0.6869144045043856,19.27 ± 2.36 / 19.86 ± 2.31@@19.270090195842954,-0.60 ± 1.35 / 36.49 ± 3.38@@-0.6030833533220468,3.87 ± 0.35 / 0.00 ± 0.00@@3.8749603298671196,0.35 ± 2.27 / 22.00 ± 3.17@@0.3507661710506149,13.68 ± 5.02 / 13.92 ± 5.12@@13.684056830018879,-0.05 ± 0.46 / 33.54 ± 0.44@@-0.04668932329657281,6.30 ± 0.71 / 0.00 ± 0.00@@6.304846451256942,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/openai-community/gpt2-medium'>openai-community/gpt2-medium (few-shot)</a>,🧠,4.57@@4.57,4.73@@4.73,4.55@@4.55,4.44@@4.44,379988992.0,50257.0,1024.0,✓,✗,0.00 ± 0.00 / 34.41 ± 0.31@@0.0,5.90 ± 4.13 / 6.11 ± 4.14@@5.897661357408822,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,1.37 ± 0.70 / 0.69 ± 0.51@@1.3738969053678274,0.80 ± 2.74 / 22.56 ± 2.78@@0.7973163271179875,13.14 ± 6.42 / 16.88 ± 4.54@@13.142005237468146,0.34 ± 2.09 / 40.00 ± 4.67@@0.33812625225161375,1.62 ± 0.62 / 0.64 ± 0.39@@1.6174129400494301,1.86 ± 3.13 / 17.32 ± 2.33@@1.8612421423232721,2.88 ± 3.93 / 2.75 ± 3.74@@2.884709619194675,0.73 ± 1.59 / 37.25 ± 3.67@@0.7296759978770532,4.79 ± 0.99 / 1.63 ± 0.82@@4.786223116036354,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/dbmdz/bert-tiny-historic-multilingual-cased'>dbmdz/bert-tiny-historic-multilingual-cased</a>,🔍,4.58@@4.58,4.69@@4.69,4.60@@4.60,4.47@@4.47,4624642.0,32000.0,512.0,✓,✗,4.89 ± 6.63 / 41.70 ± 6.98@@4.890768876590691,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.15 ± 1.27 / 37.71 ± 3.52@@0.14792754817265308,6.70 ± 0.39 / 0.14 ± 0.07@@6.696086020448095,2.14 ± 2.93 / 20.24 ± 3.26@@2.139570673447628,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,-0.27 ± 1.54 / 38.24 ± 3.79@@-0.2740321005323917,4.96 ± 0.45 / 0.38 ± 0.22@@4.955998542903726,2.01 ± 2.28 / 22.44 ± 3.03@@2.0070256285817276,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.44 ± 1.57 / 38.42 ± 3.84@@0.44022854941476913,8.40 ± 1.49 / 0.38 ± 0.13@@8.40034583507561,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/openai-community/gpt2-large'>openai-community/gpt2-large (few-shot)</a>,🧠,4.59@@4.59,4.74@@4.74,4.50@@4.50,4.51@@4.51,811778816.0,50257.0,1024.0,✓,✗,0.00 ± 0.00 / 34.41 ± 0.31@@0.0,3.40 ± 2.32 / 4.51 ± 3.11@@3.3971490916993856,-0.64 ± 1.01 / 34.50 ± 2.35@@-0.6371217562227217,1.89 ± 0.86 / 1.01 ± 0.61@@1.8904899154579617,-1.14 ± 3.08 / 21.26 ± 2.54@@-1.1357598479955389,17.87 ± 4.73 / 17.20 ± 3.53@@17.866660451693186,0.24 ± 2.02 / 44.19 ± 3.02@@0.23672967088538172,1.98 ± 0.59 / 0.63 ± 0.29@@1.9758978608903053,1.36 ± 3.49 / 20.76 ± 3.11@@1.3559506039403268,2.04 ± 2.80 / 2.69 ± 3.62@@2.0369675011401327,-0.08 ± 0.85 / 34.32 ± 1.75@@-0.08178613198577697,5.20 ± 1.13 / 1.57 ± 0.95@@5.199694311676343,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-126m'>AI-Sweden-Models/gpt-sw3-126m (few-shot)</a>,🧠,4.59@@4.59,4.72@@4.72,4.60@@4.60,4.46@@4.46,186112512.0,64000.0,2048.0,✓,✗,-0.03 ± 1.26 / 36.66 ± 3.24@@-0.026066328055747434,7.41 ± 6.94 / 8.25 ± 6.75@@7.411645139959651,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,3.58 ± 0.58 / 0.99 ± 0.41@@3.5807835907779824,6.56 ± 2.90 / 24.89 ± 2.96@@6.560666292384311,2.55 ± 3.79 / 3.80 ± 3.48@@2.5516162364475625,-1.02 ± 2.17 / 39.94 ± 3.37@@-1.0241877569058835,2.20 ± 1.06 / 1.05 ± 0.75@@2.1950184366714893,3.07 ± 1.57 / 22.86 ± 3.67@@3.0682305689268485,7.67 ± 3.94 / 8.47 ± 3.46@@7.670276092129144,0.41 ± 2.05 / 41.63 ± 4.30@@0.4109727894700019,2.97 ± 1.18 / 1.04 ± 0.69@@2.970382447257644,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/openai-community/gpt2'>openai-community/gpt2 (few-shot)</a>,🧠,4.64@@4.64,4.76@@4.76,4.56@@4.56,4.59@@4.59,137022720.0,50257.0,1024.0,✓,✗,0.00 ± 0.00 / 34.41 ± 0.31@@0.0,4.71 ± 3.21 / 4.58 ± 3.14@@4.708016324132219,-0.32 ± 1.98 / 38.23 ± 2.81@@-0.3185816644770161,0.99 ± 0.39 / 0.35 ± 0.22@@0.9927837397507899,0.57 ± 2.45 / 19.85 ± 2.46@@0.5730041040000416,12.40 ± 4.51 / 13.88 ± 3.88@@12.398897753451035,1.07 ± 1.68 / 39.00 ± 4.20@@1.074822522660799,1.04 ± 0.46 / 0.45 ± 0.22@@1.0391982081520275,0.04 ± 1.32 / 15.63 ± 0.94@@0.03591479855112982,1.33 ± 1.84 / 1.79 ± 2.51@@1.3300366905023353,0.01 ± 0.68 / 39.06 ± 3.73@@0.006531608552268519,2.24 ± 0.88 / 0.62 ± 0.40@@2.243258686925315,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/alea-institute/kl3m-003-3.7b'>alea-institute/kl3m-003-3.7b (few-shot)</a>,🧠,4.68@@4.68,4.85@@4.85,4.64@@4.64,4.56@@4.56,3691382784.0,32768.0,4096.0,✓,✗,-0.51 ± 1.26 / 37.10 ± 2.76@@-0.5069210383866359,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,-0.59 ± 0.59 / 36.21 ± 2.57@@-0.585455111783329,2.45 ± 1.07 / 0.01 ± 0.02@@2.4488380072356617,3.67 ± 2.94 / 25.89 ± 4.91@@3.6715909981185346,0.01 ± 0.02 / 0.01 ± 0.02@@0.010222335803731155,0.00 ± 0.00 / 33.30 ± 0.27@@0.0,1.42 ± 0.80 / 0.05 ± 0.05@@1.4189095033124413,-0.73 ± 2.17 / 21.88 ± 1.78@@-0.7344190683525722,0.41 ± 0.41 / 0.36 ± 0.34@@0.4100712960855466,0.34 ± 1.42 / 37.11 ± 3.21@@0.34090231801811355,4.22 ± 1.71 / 0.04 ± 0.03@@4.219769619230187,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.8.0@@150800,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/HPLT/gpt-13b-nordic-prerelease'>HPLT/gpt-13b-nordic-prerelease (few-shot)</a>,🧠,-@@100,-@@100,-@@100,-@@100,14030361600.0,131072.0,4096.0,✓,✗,85.48 ± 1.60 / 92.47 ± 0.97@@85.48061896549066,40.03 ± 1.90 / 37.31 ± 2.66@@40.03104149664375,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,14.4.0@@140400,14.4.0@@140400,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
